Epoch 0, Train Loss: 33.02, Val Loss: 68.66, Test Loss: 484.45
Epoch 1, Train Loss: 59.68, Val Loss: 107.33, Test Loss: 1317.31
Epoch 2, Train Loss: 132.68, Val Loss: 74.13, Test Loss: 398.41
Epoch 3, Train Loss: 49.78, Val Loss: 109.47, Test Loss: 2025.67
Epoch 4, Train Loss: 199.83, Val Loss: 59.41, Test Loss: 254.84
Epoch 5, Train Loss: 42.58, Val Loss: 75.93, Test Loss: 610.63
Epoch 6, Train Loss: 66.32, Val Loss: 68.55, Test Loss: 284.67
Epoch 7, Train Loss: 41.20, Val Loss: 37.66, Test Loss: 158.18
Epoch 8, Train Loss: 44.08, Val Loss: 43.79, Test Loss: 250.34
Epoch 9, Train Loss: 40.01, Val Loss: 37.06, Test Loss: 114.13
Epoch 10, Train Loss: 34.71, Val Loss: 36.85, Test Loss: 87.71
Epoch 11, Train Loss: 34.11, Val Loss: 34.57, Test Loss: 96.55
Epoch 12, Train Loss: 34.32, Val Loss: 29.48, Test Loss: 36.35
Epoch 13, Train Loss: 29.50, Val Loss: 27.93, Test Loss: 32.88
Epoch 14, Train Loss: 28.19, Val Loss: 27.51, Test Loss: 35.48
Epoch 15, Train Loss: 28.59, Val Loss: 27.11, Test Loss: 34.46
Epoch 16, Train Loss: 28.33, Val Loss: 26.95, Test Loss: 29.83
Epoch 17, Train Loss: 26.97, Val Loss: 26.50, Test Loss: 58.77
Epoch 18, Train Loss: 30.95, Val Loss: 27.44, Test Loss: 35.63
Epoch 19, Train Loss: 28.21, Val Loss: 26.67, Test Loss: 27.50
Epoch 20, Train Loss: 26.47, Val Loss: 26.26, Test Loss: 29.37
Epoch 21, Train Loss: 26.64, Val Loss: 26.30, Test Loss: 29.52
Epoch 22, Train Loss: 26.67, Val Loss: 26.00, Test Loss: 28.42
Epoch 23, Train Loss: 26.21, Val Loss: 25.82, Test Loss: 26.85
Epoch 24, Train Loss: 25.88, Val Loss: 25.65, Test Loss: 26.99
Epoch 25, Train Loss: 25.80, Val Loss: 25.57, Test Loss: 27.15
Epoch 26, Train Loss: 25.80, Val Loss: 25.73, Test Loss: 31.10
Epoch 27, Train Loss: 26.37, Val Loss: 25.65, Test Loss: 28.62
Epoch 28, Train Loss: 25.91, Val Loss: 25.51, Test Loss: 28.30
Epoch 29, Train Loss: 25.88, Val Loss: 25.39, Test Loss: 27.51
Epoch 30, Train Loss: 25.71, Val Loss: 25.90, Test Loss: 37.04
Epoch 31, Train Loss: 27.72, Val Loss: 25.74, Test Loss: 28.09
Epoch 32, Train Loss: 25.71, Val Loss: 25.39, Test Loss: 27.74
Epoch 33, Train Loss: 25.63, Val Loss: 25.13, Test Loss: 30.30
Epoch 34, Train Loss: 26.20, Val Loss: 25.01, Test Loss: 29.87
Epoch 35, Train Loss: 25.74, Val Loss: 24.96, Test Loss: 31.11
Epoch 36, Train Loss: 25.56, Val Loss: 24.41, Test Loss: 25.50
