Epoch 0, Train Loss: 32.88, Val Loss: 49.59, Test Loss: 193.89
Epoch 1, Train Loss: 48.85, Val Loss: 56.53, Test Loss: 385.21
Epoch 2, Train Loss: 68.57, Val Loss: 32.40, Test Loss: 44.43
Epoch 3, Train Loss: 33.52, Val Loss: 31.30, Test Loss: 32.23
Epoch 4, Train Loss: 30.71, Val Loss: 29.60, Test Loss: 31.69
Epoch 5, Train Loss: 29.06, Val Loss: 28.05, Test Loss: 29.96
Epoch 6, Train Loss: 27.87, Val Loss: 27.85, Test Loss: 39.43
Epoch 7, Train Loss: 28.80, Val Loss: 26.79, Test Loss: 27.93
Epoch 8, Train Loss: 26.64, Val Loss: 26.29, Test Loss: 28.57
Epoch 9, Train Loss: 26.45, Val Loss: 26.10, Test Loss: 28.45
Epoch 10, Train Loss: 26.18, Val Loss: 26.02, Test Loss: 33.32
Epoch 11, Train Loss: 26.66, Val Loss: 25.62, Test Loss: 32.70
Epoch 12, Train Loss: 26.62, Val Loss: 25.19, Test Loss: 30.06
Epoch 13, Train Loss: 25.77, Val Loss: 24.82, Test Loss: 28.40
Epoch 14, Train Loss: 25.02, Val Loss: 24.41, Test Loss: 28.20
Epoch 15, Train Loss: 24.53, Val Loss: 24.76, Test Loss: 31.13
Epoch 16, Train Loss: 25.84, Val Loss: 23.92, Test Loss: 25.68
Epoch 17, Train Loss: 23.71, Val Loss: 23.43, Test Loss: 29.00
Epoch 18, Train Loss: 25.17, Val Loss: 23.40, Test Loss: 26.02
Epoch 19, Train Loss: 23.55, Val Loss: 22.93, Test Loss: 27.22
Epoch 20, Train Loss: 23.44, Val Loss: 22.84, Test Loss: 28.76
Epoch 21, Train Loss: 23.61, Val Loss: 22.60, Test Loss: 27.20
Epoch 22, Train Loss: 23.19, Val Loss: 22.64, Test Loss: 28.33
Epoch 23, Train Loss: 23.10, Val Loss: 36.68, Test Loss: 244.66
Epoch 24, Train Loss: 38.70, Val Loss: 26.45, Test Loss: 30.69
Epoch 25, Train Loss: 26.75, Val Loss: 25.99, Test Loss: 28.20
Epoch 26, Train Loss: 26.07, Val Loss: 25.66, Test Loss: 28.22
Epoch    28: reducing learning rate of group 0 to 7.5000e-04.
Epoch 27, Train Loss: 25.84, Val Loss: 25.35, Test Loss: 26.50
Epoch 28, Train Loss: 25.42, Val Loss: 25.17, Test Loss: 25.57
Epoch 29, Train Loss: 25.09, Val Loss: 25.12, Test Loss: 27.52
Epoch 30, Train Loss: 25.31, Val Loss: 24.85, Test Loss: 25.94
Epoch 31, Train Loss: 24.85, Val Loss: 24.63, Test Loss: 26.58
Epoch 32, Train Loss: 24.85, Val Loss: 24.45, Test Loss: 26.28
Epoch    34: reducing learning rate of group 0 to 5.6250e-04.
Epoch 33, Train Loss: 24.70, Val Loss: 24.27, Test Loss: 26.22
Epoch 34, Train Loss: 24.46, Val Loss: 24.03, Test Loss: 25.51
Epoch 35, Train Loss: 24.07, Val Loss: 23.84, Test Loss: 26.02
Epoch 36, Train Loss: 23.98, Val Loss: 23.61, Test Loss: 24.66
Epoch 37, Train Loss: 23.64, Val Loss: 23.56, Test Loss: 26.63
Epoch 38, Train Loss: 23.92, Val Loss: 23.45, Test Loss: 24.87
Epoch    40: reducing learning rate of group 0 to 4.2188e-04.
Epoch 39, Train Loss: 23.49, Val Loss: 23.38, Test Loss: 25.65
Epoch 40, Train Loss: 23.55, Val Loss: 23.21, Test Loss: 23.64
Epoch 41, Train Loss: 23.13, Val Loss: 23.12, Test Loss: 23.76
Epoch 42, Train Loss: 23.07, Val Loss: 23.07, Test Loss: 25.34
Epoch 43, Train Loss: 23.24, Val Loss: 22.90, Test Loss: 23.51
Epoch 44, Train Loss: 22.84, Val Loss: 22.81, Test Loss: 23.71
