Epoch 0, Train Loss: 32.79, Val Loss: 59.77, Test Loss: 540.57
Epoch 1, Train Loss: 101.39, Val Loss: 33.60, Test Loss: 90.97
Epoch 2, Train Loss: 39.79, Val Loss: 31.65, Test Loss: 32.10
Epoch 3, Train Loss: 30.87, Val Loss: 30.39, Test Loss: 31.50
Epoch 4, Train Loss: 29.39, Val Loss: 29.28, Test Loss: 47.43
Epoch 5, Train Loss: 31.05, Val Loss: 28.92, Test Loss: 46.10
Epoch 6, Train Loss: 30.93, Val Loss: 28.78, Test Loss: 37.12
Epoch 7, Train Loss: 28.99, Val Loss: 27.41, Test Loss: 28.24
Epoch 8, Train Loss: 27.02, Val Loss: 26.82, Test Loss: 35.11
Epoch 9, Train Loss: 27.82, Val Loss: 26.32, Test Loss: 27.44
Epoch 10, Train Loss: 26.08, Val Loss: 25.74, Test Loss: 27.33
Epoch 11, Train Loss: 25.60, Val Loss: 25.35, Test Loss: 29.71
Epoch 12, Train Loss: 25.69, Val Loss: 25.05, Test Loss: 30.83
Epoch 13, Train Loss: 25.68, Val Loss: 24.74, Test Loss: 29.27
Epoch 14, Train Loss: 25.25, Val Loss: 24.55, Test Loss: 27.09
Epoch 15, Train Loss: 24.56, Val Loss: 24.11, Test Loss: 26.95
Epoch 16, Train Loss: 24.34, Val Loss: 23.82, Test Loss: 25.54
Epoch 17, Train Loss: 23.87, Val Loss: 26.86, Test Loss: 94.33
Epoch 18, Train Loss: 31.57, Val Loss: 27.09, Test Loss: 28.91
Epoch 19, Train Loss: 26.70, Val Loss: 26.30, Test Loss: 28.80
Epoch 20, Train Loss: 26.41, Val Loss: 25.85, Test Loss: 26.26
Epoch 21, Train Loss: 25.55, Val Loss: 25.38, Test Loss: 29.72
Epoch    23: reducing learning rate of group 0 to 7.5000e-04.
Epoch 22, Train Loss: 25.65, Val Loss: 24.77, Test Loss: 26.41
Epoch 23, Train Loss: 24.61, Val Loss: 24.25, Test Loss: 25.96
Epoch 24, Train Loss: 24.23, Val Loss: 24.13, Test Loss: 30.87
Epoch 25, Train Loss: 25.09, Val Loss: 23.90, Test Loss: 24.20
Epoch 26, Train Loss: 23.63, Val Loss: 23.72, Test Loss: 26.56
Epoch 27, Train Loss: 23.98, Val Loss: 23.52, Test Loss: 24.09
Epoch 28, Train Loss: 23.40, Val Loss: 23.45, Test Loss: 24.05
Epoch 29, Train Loss: 23.34, Val Loss: 23.37, Test Loss: 24.10
Epoch 30, Train Loss: 23.28, Val Loss: 23.43, Test Loss: 27.68
Epoch 31, Train Loss: 23.81, Val Loss: 23.28, Test Loss: 24.27
Epoch 32, Train Loss: 23.22, Val Loss: 23.59, Test Loss: 32.44
Epoch 33, Train Loss: 25.21, Val Loss: 23.87, Test Loss: 24.98
Epoch 34, Train Loss: 23.37, Val Loss: 23.32, Test Loss: 25.29
Epoch 35, Train Loss: 23.36, Val Loss: 23.52, Test Loss: 29.03
Epoch 36, Train Loss: 23.89, Val Loss: 23.28, Test Loss: 24.73
Epoch 37, Train Loss: 23.12, Val Loss: 23.30, Test Loss: 26.66
Epoch 38, Train Loss: 23.46, Val Loss: 23.16, Test Loss: 25.12
Epoch 39, Train Loss: 23.18, Val Loss: 23.12, Test Loss: 24.80
Epoch 40, Train Loss: 23.07, Val Loss: 23.06, Test Loss: 24.66
Epoch 41, Train Loss: 23.02, Val Loss: 23.12, Test Loss: 25.58
Epoch 42, Train Loss: 23.07, Val Loss: 23.15, Test Loss: 25.50
Epoch 43, Train Loss: 23.11, Val Loss: 23.21, Test Loss: 28.29
Epoch 44, Train Loss: 23.60, Val Loss: 23.01, Test Loss: 24.18
Epoch 45, Train Loss: 22.80, Val Loss: 23.04, Test Loss: 27.23
Epoch 46, Train Loss: 23.30, Val Loss: 23.02, Test Loss: 25.45
Epoch 47, Train Loss: 22.91, Val Loss: 23.05, Test Loss: 27.00
Epoch 48, Train Loss: 23.23, Val Loss: 22.86, Test Loss: 25.03
Epoch 49, Train Loss: 22.79, Val Loss: 22.75, Test Loss: 24.02
Epoch 50, Train Loss: 22.56, Val Loss: 23.11, Test Loss: 36.54
Epoch 51, Train Loss: 25.56, Val Loss: 23.93, Test Loss: 24.76
Epoch 52, Train Loss: 23.28, Val Loss: 22.99, Test Loss: 23.94
Epoch 53, Train Loss: 22.64, Val Loss: 22.72, Test Loss: 25.61
Epoch 54, Train Loss: 22.76, Val Loss: 22.74, Test Loss: 27.35
Epoch 55, Train Loss: 23.05, Val Loss: 22.45, Test Loss: 23.49
Epoch 56, Train Loss: 22.21, Val Loss: 22.34, Test Loss: 23.89
Epoch 57, Train Loss: 22.19, Val Loss: 22.36, Test Loss: 26.22
Epoch 58, Train Loss: 22.51, Val Loss: 22.01, Test Loss: 22.72
Epoch 59, Train Loss: 21.67, Val Loss: 21.83, Test Loss: 28.36
Epoch 60, Train Loss: 22.64, Val Loss: 21.44, Test Loss: 23.02
Epoch 61, Train Loss: 21.03, Val Loss: 20.86, Test Loss: 23.07
Epoch 62, Train Loss: 20.68, Val Loss: 20.31, Test Loss: 22.44
Epoch 63, Train Loss: 20.20, Val Loss: 20.01, Test Loss: 23.71
Epoch 64, Train Loss: 20.01, Val Loss: 22.55, Test Loss: 77.65
Epoch 65, Train Loss: 26.23, Val Loss: 23.32, Test Loss: 47.86
Epoch 66, Train Loss: 26.30, Val Loss: 23.02, Test Loss: 23.37
Epoch 67, Train Loss: 21.91, Val Loss: 21.72, Test Loss: 27.87
Epoch 68, Train Loss: 22.09, Val Loss: 21.19, Test Loss: 23.01
Epoch    70: reducing learning rate of group 0 to 5.6250e-04.
Epoch 69, Train Loss: 21.11, Val Loss: 21.26, Test Loss: 27.63
Epoch 70, Train Loss: 21.87, Val Loss: 20.89, Test Loss: 21.05
Epoch 71, Train Loss: 20.54, Val Loss: 20.76, Test Loss: 21.56
Epoch 72, Train Loss: 20.50, Val Loss: 20.65, Test Loss: 20.90
Epoch 73, Train Loss: 20.33, Val Loss: 20.55, Test Loss: 21.21
Epoch 74, Train Loss: 20.29, Val Loss: 20.44, Test Loss: 21.62
Epoch    76: reducing learning rate of group 0 to 4.2188e-04.
Epoch 75, Train Loss: 20.19, Val Loss: 20.29, Test Loss: 22.19
Epoch 76, Train Loss: 20.05, Val Loss: 19.86, Test Loss: 20.32
Epoch 77, Train Loss: 19.39, Val Loss: 19.49, Test Loss: 21.10
Epoch 78, Train Loss: 19.21, Val Loss: 19.08, Test Loss: 19.95
Epoch 79, Train Loss: 18.69, Val Loss: 18.80, Test Loss: 20.36
Epoch 80, Train Loss: 18.57, Val Loss: 18.54, Test Loss: 19.38
Epoch 81, Train Loss: 18.20, Val Loss: 18.31, Test Loss: 19.11
