Epoch 0, Train Loss: 32.72, Val Loss: 44.11, Test Loss: 222.72
Epoch 1, Train Loss: 51.55, Val Loss: 33.38, Test Loss: 91.82
Epoch 2, Train Loss: 36.60, Val Loss: 29.27, Test Loss: 42.95
Epoch 3, Train Loss: 30.54, Val Loss: 27.98, Test Loss: 28.77
Epoch 4, Train Loss: 27.37, Val Loss: 27.21, Test Loss: 37.87
Epoch 5, Train Loss: 28.81, Val Loss: 26.70, Test Loss: 28.47
Epoch 6, Train Loss: 26.59, Val Loss: 26.67, Test Loss: 37.87
Epoch 7, Train Loss: 28.15, Val Loss: 26.22, Test Loss: 28.30
Epoch 8, Train Loss: 26.14, Val Loss: 25.84, Test Loss: 29.28
Epoch 9, Train Loss: 26.11, Val Loss: 25.49, Test Loss: 26.79
Epoch 10, Train Loss: 25.47, Val Loss: 25.27, Test Loss: 28.69
Epoch 11, Train Loss: 25.58, Val Loss: 25.00, Test Loss: 29.40
Epoch 12, Train Loss: 25.52, Val Loss: 24.81, Test Loss: 32.84
Epoch 13, Train Loss: 25.91, Val Loss: 24.28, Test Loss: 26.58
Epoch 14, Train Loss: 24.42, Val Loss: 24.03, Test Loss: 28.45
Epoch 15, Train Loss: 24.84, Val Loss: 24.33, Test Loss: 35.16
Epoch 16, Train Loss: 25.44, Val Loss: 24.01, Test Loss: 25.00
Epoch 17, Train Loss: 23.92, Val Loss: 23.61, Test Loss: 25.08
