Epoch 0, Train Loss: 32.74, Val Loss: 83.78, Test Loss: 535.36
Epoch 1, Train Loss: 92.72, Val Loss: 39.86, Test Loss: 115.49
Epoch 2, Train Loss: 41.19, Val Loss: 32.04, Test Loss: 44.62
Epoch 3, Train Loss: 32.24, Val Loss: 29.93, Test Loss: 32.71
Epoch 4, Train Loss: 29.70, Val Loss: 28.57, Test Loss: 30.79
Epoch 5, Train Loss: 28.57, Val Loss: 28.77, Test Loss: 49.23
Epoch 6, Train Loss: 31.24, Val Loss: 28.08, Test Loss: 29.56
Epoch 7, Train Loss: 27.93, Val Loss: 27.47, Test Loss: 29.17
Epoch 8, Train Loss: 27.63, Val Loss: 27.18, Test Loss: 29.02
Epoch 9, Train Loss: 27.32, Val Loss: 26.84, Test Loss: 28.69
Epoch 10, Train Loss: 26.97, Val Loss: 26.58, Test Loss: 31.82
Epoch 11, Train Loss: 27.09, Val Loss: 26.21, Test Loss: 29.12
Epoch 12, Train Loss: 26.48, Val Loss: 26.54, Test Loss: 45.43
Epoch 13, Train Loss: 28.93, Val Loss: 26.82, Test Loss: 28.29
Epoch 14, Train Loss: 26.88, Val Loss: 26.63, Test Loss: 28.80
Epoch 15, Train Loss: 26.81, Val Loss: 26.34, Test Loss: 27.04
Epoch 16, Train Loss: 26.15, Val Loss: 25.69, Test Loss: 26.72
Epoch 17, Train Loss: 25.51, Val Loss: 25.29, Test Loss: 35.13
Epoch 18, Train Loss: 26.75, Val Loss: 24.87, Test Loss: 29.65
Epoch 19, Train Loss: 25.20, Val Loss: 24.11, Test Loss: 26.01
Epoch 20, Train Loss: 24.11, Val Loss: 23.50, Test Loss: 26.46
Epoch 21, Train Loss: 23.83, Val Loss: 23.58, Test Loss: 26.83
Epoch 22, Train Loss: 23.46, Val Loss: 29.20, Test Loss: 134.13
Epoch 23, Train Loss: 32.34, Val Loss: 26.87, Test Loss: 37.25
Epoch 24, Train Loss: 27.86, Val Loss: 26.10, Test Loss: 26.73
Epoch 25, Train Loss: 25.94, Val Loss: 25.73, Test Loss: 26.40
Epoch    27: reducing learning rate of group 0 to 7.5000e-04.
Epoch 26, Train Loss: 25.64, Val Loss: 25.52, Test Loss: 27.05
Epoch 27, Train Loss: 25.62, Val Loss: 25.45, Test Loss: 27.80
Epoch 28, Train Loss: 25.54, Val Loss: 25.29, Test Loss: 31.69
Epoch 29, Train Loss: 26.22, Val Loss: 25.05, Test Loss: 26.03
Epoch 30, Train Loss: 25.00, Val Loss: 24.86, Test Loss: 28.45
Epoch 31, Train Loss: 25.33, Val Loss: 24.66, Test Loss: 25.92
Epoch    33: reducing learning rate of group 0 to 5.6250e-04.
Epoch 32, Train Loss: 24.66, Val Loss: 24.44, Test Loss: 26.22
Epoch 33, Train Loss: 24.57, Val Loss: 24.26, Test Loss: 24.96
Epoch 34, Train Loss: 24.28, Val Loss: 24.14, Test Loss: 24.54
Epoch 35, Train Loss: 24.14, Val Loss: 24.16, Test Loss: 26.48
Epoch 36, Train Loss: 24.37, Val Loss: 23.93, Test Loss: 24.40
Epoch 37, Train Loss: 23.82, Val Loss: 23.63, Test Loss: 24.69
Epoch 38, Train Loss: 23.45, Val Loss: 23.12, Test Loss: 24.54
Epoch 39, Train Loss: 23.00, Val Loss: 22.70, Test Loss: 23.99
Epoch 40, Train Loss: 22.60, Val Loss: 22.26, Test Loss: 23.77
Epoch 41, Train Loss: 22.27, Val Loss: 21.95, Test Loss: 23.35
Epoch 42, Train Loss: 21.95, Val Loss: 21.82, Test Loss: 24.40
Epoch 43, Train Loss: 22.06, Val Loss: 21.61, Test Loss: 24.30
Epoch 44, Train Loss: 21.95, Val Loss: 21.61, Test Loss: 24.40
Epoch 45, Train Loss: 21.77, Val Loss: 21.55, Test Loss: 24.85
Epoch 46, Train Loss: 21.82, Val Loss: 21.25, Test Loss: 21.85
Epoch 47, Train Loss: 21.18, Val Loss: 21.22, Test Loss: 24.35
Epoch 48, Train Loss: 21.54, Val Loss: 21.28, Test Loss: 25.99
Epoch 49, Train Loss: 21.76, Val Loss: 21.22, Test Loss: 25.02
Epoch 50, Train Loss: 21.53, Val Loss: 21.03, Test Loss: 24.22
Epoch 51, Train Loss: 21.27, Val Loss: 20.90, Test Loss: 22.69
Epoch 52, Train Loss: 20.93, Val Loss: 20.98, Test Loss: 25.16
Epoch 53, Train Loss: 21.37, Val Loss: 20.67, Test Loss: 22.51
Epoch 54, Train Loss: 20.70, Val Loss: 20.51, Test Loss: 23.80
Epoch 55, Train Loss: 20.84, Val Loss: 20.36, Test Loss: 21.90
Epoch 56, Train Loss: 20.32, Val Loss: 20.75, Test Loss: 38.46
Epoch 57, Train Loss: 24.31, Val Loss: 22.12, Test Loss: 25.82
Epoch 58, Train Loss: 21.99, Val Loss: 21.08, Test Loss: 22.48
Epoch 59, Train Loss: 20.91, Val Loss: 20.45, Test Loss: 22.91
Epoch 60, Train Loss: 20.50, Val Loss: 20.06, Test Loss: 22.56
Epoch 61, Train Loss: 20.13, Val Loss: 19.66, Test Loss: 20.99
Epoch 62, Train Loss: 19.68, Val Loss: 19.35, Test Loss: 20.38
Epoch 63, Train Loss: 19.25, Val Loss: 19.19, Test Loss: 23.71
Epoch 64, Train Loss: 19.92, Val Loss: 18.96, Test Loss: 20.58
Epoch 65, Train Loss: 18.91, Val Loss: 18.75, Test Loss: 22.17
Epoch 66, Train Loss: 19.63, Val Loss: 18.86, Test Loss: 23.49
Epoch 67, Train Loss: 19.16, Val Loss: 18.55, Test Loss: 20.61
Epoch 68, Train Loss: 18.60, Val Loss: 18.63, Test Loss: 23.88
Epoch 69, Train Loss: 19.17, Val Loss: 18.42, Test Loss: 21.42
Epoch 70, Train Loss: 18.59, Val Loss: 18.25, Test Loss: 20.50
Epoch 71, Train Loss: 18.40, Val Loss: 18.12, Test Loss: 19.78
Epoch 72, Train Loss: 18.14, Val Loss: 18.27, Test Loss: 25.48
Epoch 73, Train Loss: 19.31, Val Loss: 18.01, Test Loss: 19.61
Epoch 74, Train Loss: 18.01, Val Loss: 18.24, Test Loss: 27.76
Epoch 75, Train Loss: 20.77, Val Loss: 19.00, Test Loss: 20.56
Epoch 76, Train Loss: 18.24, Val Loss: 17.95, Test Loss: 20.03
Epoch 77, Train Loss: 17.98, Val Loss: 17.73, Test Loss: 19.21
Epoch 78, Train Loss: 17.67, Val Loss: 17.75, Test Loss: 22.36
Epoch 79, Train Loss: 18.22, Val Loss: 17.59, Test Loss: 19.82
Epoch 80, Train Loss: 17.66, Val Loss: 17.53, Test Loss: 19.98
Epoch 81, Train Loss: 17.54, Val Loss: 17.36, Test Loss: 19.19
Epoch 82, Train Loss: 17.38, Val Loss: 17.28, Test Loss: 19.29
Epoch 83, Train Loss: 17.34, Val Loss: 17.25, Test Loss: 19.80
Epoch 84, Train Loss: 17.42, Val Loss: 17.58, Test Loss: 26.68
Epoch 85, Train Loss: 18.60, Val Loss: 17.14, Test Loss: 18.44
Epoch 86, Train Loss: 17.00, Val Loss: 17.06, Test Loss: 19.61
Epoch 87, Train Loss: 17.11, Val Loss: 17.30, Test Loss: 22.15
Epoch 88, Train Loss: 17.76, Val Loss: 17.25, Test Loss: 28.11
Epoch 89, Train Loss: 19.51, Val Loss: 17.93, Test Loss: 20.41
Epoch 90, Train Loss: 17.43, Val Loss: 17.02, Test Loss: 21.51
Epoch 91, Train Loss: 17.47, Val Loss: 16.81, Test Loss: 18.66
Epoch 92, Train Loss: 16.70, Val Loss: 16.59, Test Loss: 17.31
Epoch 93, Train Loss: 16.40, Val Loss: 16.65, Test Loss: 20.97
Epoch 94, Train Loss: 17.14, Val Loss: 16.55, Test Loss: 19.62
Epoch 95, Train Loss: 16.63, Val Loss: 16.41, Test Loss: 19.17
Epoch 96, Train Loss: 16.45, Val Loss: 16.20, Test Loss: 17.14
Epoch 97, Train Loss: 16.03, Val Loss: 16.15, Test Loss: 17.71
Epoch 98, Train Loss: 16.06, Val Loss: 16.17, Test Loss: 21.67
Epoch 99, Train Loss: 17.02, Val Loss: 16.07, Test Loss: 18.84
Epoch 100, Train Loss: 16.10, Val Loss: 16.26, Test Loss: 27.30
Epoch 101, Train Loss: 18.85, Val Loss: 16.04, Test Loss: 17.37
Epoch 102, Train Loss: 15.81, Val Loss: 15.74, Test Loss: 17.09
Epoch 103, Train Loss: 15.56, Val Loss: 15.69, Test Loss: 18.50
Epoch 104, Train Loss: 15.73, Val Loss: 15.67, Test Loss: 20.58
Epoch 105, Train Loss: 15.92, Val Loss: 15.41, Test Loss: 17.40
