Epoch 0, Train Loss: 32.75, Val Loss: 84.03, Test Loss: 542.80
Epoch 1, Train Loss: 94.43, Val Loss: 35.07, Test Loss: 51.71
Epoch 2, Train Loss: 34.32, Val Loss: 31.70, Test Loss: 32.39
Epoch 3, Train Loss: 30.40, Val Loss: 29.21, Test Loss: 32.70
Epoch 4, Train Loss: 29.30, Val Loss: 28.73, Test Loss: 40.71
Epoch 5, Train Loss: 29.67, Val Loss: 28.18, Test Loss: 34.07
Epoch 6, Train Loss: 28.48, Val Loss: 27.53, Test Loss: 33.73
Epoch 7, Train Loss: 28.54, Val Loss: 27.75, Test Loss: 39.86
Epoch 8, Train Loss: 28.97, Val Loss: 26.90, Test Loss: 28.62
Epoch 9, Train Loss: 26.94, Val Loss: 26.49, Test Loss: 28.15
Epoch 10, Train Loss: 26.74, Val Loss: 26.30, Test Loss: 28.54
Epoch 11, Train Loss: 26.61, Val Loss: 26.14, Test Loss: 28.75
Epoch 12, Train Loss: 26.48, Val Loss: 25.77, Test Loss: 29.26
Epoch 13, Train Loss: 26.72, Val Loss: 26.05, Test Loss: 31.54
Epoch 14, Train Loss: 26.63, Val Loss: 25.50, Test Loss: 30.65
Epoch 15, Train Loss: 26.18, Val Loss: 25.03, Test Loss: 26.12
Epoch 16, Train Loss: 24.91, Val Loss: 24.99, Test Loss: 43.62
Epoch 17, Train Loss: 27.91, Val Loss: 26.28, Test Loss: 27.14
Epoch 18, Train Loss: 26.18, Val Loss: 26.00, Test Loss: 28.13
Epoch 19, Train Loss: 26.10, Val Loss: 25.80, Test Loss: 35.67
Epoch 20, Train Loss: 27.17, Val Loss: 25.37, Test Loss: 37.19
Epoch 21, Train Loss: 26.37, Val Loss: 24.24, Test Loss: 26.95
Epoch 22, Train Loss: 24.48, Val Loss: 23.64, Test Loss: 31.51
Epoch 23, Train Loss: 25.99, Val Loss: 25.01, Test Loss: 28.69
Epoch 24, Train Loss: 24.74, Val Loss: 23.40, Test Loss: 24.67
Epoch 25, Train Loss: 23.11, Val Loss: 22.77, Test Loss: 26.42
Epoch 26, Train Loss: 23.22, Val Loss: 22.44, Test Loss: 24.77
