Epoch 0, Train Loss: 35.16, Val Loss: 32.62, Test Loss: 38.32
Epoch 1, Train Loss: 34.41, Val Loss: 32.34, Test Loss: 32.22
Epoch 2, Train Loss: 31.54, Val Loss: 30.41, Test Loss: 34.04
Epoch 3, Train Loss: 31.45, Val Loss: 29.73, Test Loss: 34.34
Epoch 4, Train Loss: 31.40, Val Loss: 29.49, Test Loss: 29.48
Epoch 5, Train Loss: 28.93, Val Loss: 28.42, Test Loss: 29.56
Epoch 6, Train Loss: 28.41, Val Loss: 28.33, Test Loss: 41.29
Epoch 7, Train Loss: 31.80, Val Loss: 28.83, Test Loss: 28.65
Epoch 8, Train Loss: 27.78, Val Loss: 27.13, Test Loss: 27.62
Epoch 9, Train Loss: 26.79, Val Loss: 26.35, Test Loss: 30.02
Epoch 10, Train Loss: 27.70, Val Loss: 26.33, Test Loss: 26.80
Epoch 11, Train Loss: 26.11, Val Loss: 25.80, Test Loss: 27.17
Epoch 12, Train Loss: 26.36, Val Loss: 25.73, Test Loss: 28.74
Epoch 13, Train Loss: 27.06, Val Loss: 25.70, Test Loss: 26.29
Epoch 14, Train Loss: 25.75, Val Loss: 25.39, Test Loss: 25.87
Epoch 15, Train Loss: 25.38, Val Loss: 25.17, Test Loss: 26.67
Epoch 16, Train Loss: 25.61, Val Loss: 25.30, Test Loss: 32.34
Epoch 17, Train Loss: 27.39, Val Loss: 25.48, Test Loss: 25.94
Epoch 18, Train Loss: 25.41, Val Loss: 25.12, Test Loss: 25.22
Epoch 19, Train Loss: 24.94, Val Loss: 24.91, Test Loss: 25.29
Epoch 20, Train Loss: 24.79, Val Loss: 24.69, Test Loss: 25.38
Epoch 21, Train Loss: 24.67, Val Loss: 24.46, Test Loss: 24.87
Epoch 22, Train Loss: 24.32, Val Loss: 24.18, Test Loss: 25.07
Epoch 23, Train Loss: 24.33, Val Loss: 24.24, Test Loss: 30.33
Epoch 24, Train Loss: 26.70, Val Loss: 24.86, Test Loss: 28.40
Epoch 25, Train Loss: 26.25, Val Loss: 25.00, Test Loss: 25.37
Epoch 26, Train Loss: 24.61, Val Loss: 24.35, Test Loss: 25.69
Epoch 27, Train Loss: 24.33, Val Loss: 24.17, Test Loss: 25.11
Epoch 28, Train Loss: 24.01, Val Loss: 23.86, Test Loss: 24.17
Epoch 29, Train Loss: 23.69, Val Loss: 23.74, Test Loss: 24.41
Epoch 30, Train Loss: 23.74, Val Loss: 23.74, Test Loss: 27.30
Epoch 31, Train Loss: 25.19, Val Loss: 23.99, Test Loss: 26.28
Epoch 32, Train Loss: 24.41, Val Loss: 23.79, Test Loss: 25.35
Epoch 33, Train Loss: 23.87, Val Loss: 23.58, Test Loss: 23.84
Epoch 34, Train Loss: 23.33, Val Loss: 23.52, Test Loss: 25.11
Epoch 35, Train Loss: 23.68, Val Loss: 23.48, Test Loss: 25.95
Epoch 36, Train Loss: 24.03, Val Loss: 23.43, Test Loss: 24.68
Epoch 37, Train Loss: 23.56, Val Loss: 23.52, Test Loss: 27.13
Epoch 38, Train Loss: 24.31, Val Loss: 23.45, Test Loss: 23.87
Epoch 39, Train Loss: 23.10, Val Loss: 23.17, Test Loss: 23.78
Epoch 40, Train Loss: 22.99, Val Loss: 23.14, Test Loss: 26.31
Epoch 41, Train Loss: 24.31, Val Loss: 23.30, Test Loss: 24.21
Epoch 42, Train Loss: 23.26, Val Loss: 23.10, Test Loss: 23.56
Epoch 43, Train Loss: 22.80, Val Loss: 22.99, Test Loss: 23.64
Epoch 44, Train Loss: 22.70, Val Loss: 22.89, Test Loss: 24.00
Epoch 45, Train Loss: 22.82, Val Loss: 22.85, Test Loss: 24.86
Epoch 46, Train Loss: 23.24, Val Loss: 22.85, Test Loss: 23.23
Epoch 47, Train Loss: 22.42, Val Loss: 22.78, Test Loss: 26.15
Epoch 48, Train Loss: 23.55, Val Loss: 22.74, Test Loss: 23.93
Epoch 49, Train Loss: 22.62, Val Loss: 22.57, Test Loss: 23.84
Epoch 50, Train Loss: 22.38, Val Loss: 22.38, Test Loss: 22.83
Epoch 51, Train Loss: 21.92, Val Loss: 22.12, Test Loss: 23.62
Epoch 52, Train Loss: 22.01, Val Loss: 21.83, Test Loss: 23.39
Epoch 53, Train Loss: 21.92, Val Loss: 21.59, Test Loss: 22.56
Epoch 54, Train Loss: 21.43, Val Loss: 21.26, Test Loss: 22.20
Epoch 55, Train Loss: 20.95, Val Loss: 20.96, Test Loss: 23.51
Epoch 56, Train Loss: 21.35, Val Loss: 20.74, Test Loss: 21.97
Epoch 57, Train Loss: 20.58, Val Loss: 20.33, Test Loss: 21.08
Epoch 58, Train Loss: 19.99, Val Loss: 20.18, Test Loss: 28.83
Epoch 59, Train Loss: 23.58, Val Loss: 22.48, Test Loss: 24.80
Epoch 60, Train Loss: 22.68, Val Loss: 21.90, Test Loss: 22.95
Epoch 61, Train Loss: 21.54, Val Loss: 21.38, Test Loss: 22.95
Epoch 62, Train Loss: 21.17, Val Loss: 20.95, Test Loss: 22.81
Epoch 63, Train Loss: 20.85, Val Loss: 20.58, Test Loss: 22.52
Epoch    65: reducing learning rate of group 0 to 7.5000e-04.
Epoch 64, Train Loss: 20.68, Val Loss: 20.27, Test Loss: 21.78
Epoch 65, Train Loss: 20.05, Val Loss: 19.93, Test Loss: 21.03
Epoch 66, Train Loss: 19.67, Val Loss: 19.60, Test Loss: 20.11
Epoch 67, Train Loss: 19.22, Val Loss: 19.39, Test Loss: 20.16
Epoch 68, Train Loss: 19.03, Val Loss: 19.20, Test Loss: 20.17
Epoch 69, Train Loss: 18.96, Val Loss: 19.08, Test Loss: 19.51
Epoch 70, Train Loss: 18.61, Val Loss: 19.04, Test Loss: 20.48
Epoch 71, Train Loss: 18.71, Val Loss: 18.96, Test Loss: 22.73
Epoch 72, Train Loss: 19.65, Val Loss: 18.88, Test Loss: 19.79
Epoch 73, Train Loss: 18.63, Val Loss: 18.67, Test Loss: 19.01
Epoch 74, Train Loss: 18.07, Val Loss: 18.63, Test Loss: 20.29
Epoch 75, Train Loss: 18.46, Val Loss: 18.51, Test Loss: 20.17
Epoch 76, Train Loss: 18.33, Val Loss: 18.40, Test Loss: 19.05
Epoch 77, Train Loss: 18.01, Val Loss: 18.39, Test Loss: 21.02
Epoch 78, Train Loss: 18.67, Val Loss: 18.62, Test Loss: 23.05
Epoch 79, Train Loss: 20.43, Val Loss: 18.63, Test Loss: 19.02
Epoch 80, Train Loss: 17.87, Val Loss: 18.24, Test Loss: 18.71
Epoch 81, Train Loss: 17.63, Val Loss: 18.10, Test Loss: 19.37
Epoch 82, Train Loss: 17.84, Val Loss: 18.05, Test Loss: 19.16
Epoch 83, Train Loss: 17.69, Val Loss: 18.55, Test Loss: 36.30
Epoch 84, Train Loss: 23.81, Val Loss: 21.50, Test Loss: 21.83
Epoch 85, Train Loss: 20.75, Val Loss: 20.52, Test Loss: 21.25
Epoch 86, Train Loss: 19.99, Val Loss: 19.93, Test Loss: 20.65
Epoch 87, Train Loss: 19.55, Val Loss: 19.83, Test Loss: 25.77
Epoch    89: reducing learning rate of group 0 to 5.6250e-04.
Epoch 88, Train Loss: 22.09, Val Loss: 20.13, Test Loss: 20.30
Epoch 89, Train Loss: 19.33, Val Loss: 19.23, Test Loss: 19.36
Epoch 90, Train Loss: 18.56, Val Loss: 18.89, Test Loss: 19.01
Epoch 91, Train Loss: 18.26, Val Loss: 18.77, Test Loss: 19.18
Epoch 92, Train Loss: 18.14, Val Loss: 18.58, Test Loss: 19.04
Epoch 93, Train Loss: 17.99, Val Loss: 18.51, Test Loss: 19.44
Epoch    95: reducing learning rate of group 0 to 4.2188e-04.
Epoch 94, Train Loss: 18.10, Val Loss: 18.42, Test Loss: 18.80
Epoch 95, Train Loss: 17.82, Val Loss: 18.40, Test Loss: 18.74
Epoch 96, Train Loss: 17.59, Val Loss: 18.23, Test Loss: 18.78
Epoch 97, Train Loss: 17.64, Val Loss: 18.26, Test Loss: 19.08
