Epoch 0, Train Loss: 74.01, Val Loss: 71.26, Test Loss: 71.14
Epoch 1, Train Loss: 67.36, Val Loss: 63.14, Test Loss: 62.79
Epoch 2, Train Loss: 59.15, Val Loss: 57.12, Test Loss: 56.54
Epoch 3, Train Loss: 55.69, Val Loss: 55.77, Test Loss: 55.13
Epoch 4, Train Loss: 54.52, Val Loss: 54.84, Test Loss: 54.21
Epoch 5, Train Loss: 53.58, Val Loss: 54.00, Test Loss: 53.37
Epoch 6, Train Loss: 52.67, Val Loss: 53.15, Test Loss: 52.54
Epoch 7, Train Loss: 51.76, Val Loss: 52.31, Test Loss: 51.71
Epoch 8, Train Loss: 50.82, Val Loss: 51.42, Test Loss: 50.83
Epoch 9, Train Loss: 49.85, Val Loss: 50.52, Test Loss: 49.94
Epoch 10, Train Loss: 48.82, Val Loss: 49.58, Test Loss: 49.02
Epoch 11, Train Loss: 47.75, Val Loss: 48.59, Test Loss: 48.04
Epoch 12, Train Loss: 46.63, Val Loss: 47.56, Test Loss: 47.04
Epoch 13, Train Loss: 45.46, Val Loss: 46.52, Test Loss: 46.01
Epoch 14, Train Loss: 44.25, Val Loss: 45.42, Test Loss: 44.94
Epoch 15, Train Loss: 43.01, Val Loss: 44.33, Test Loss: 43.86
Epoch 16, Train Loss: 41.77, Val Loss: 43.21, Test Loss: 42.77
Epoch 17, Train Loss: 40.51, Val Loss: 42.10, Test Loss: 41.69
Epoch 18, Train Loss: 39.26, Val Loss: 41.02, Test Loss: 40.63
Epoch 19, Train Loss: 38.03, Val Loss: 39.93, Test Loss: 39.59
Epoch 20, Train Loss: 36.83, Val Loss: 38.87, Test Loss: 38.57
Epoch 21, Train Loss: 35.66, Val Loss: 37.86, Test Loss: 37.59
Epoch 22, Train Loss: 34.54, Val Loss: 36.89, Test Loss: 36.67
Epoch 23, Train Loss: 33.47, Val Loss: 35.95, Test Loss: 35.78
Epoch 24, Train Loss: 32.45, Val Loss: 35.09, Test Loss: 34.95
Epoch 25, Train Loss: 31.49, Val Loss: 34.25, Test Loss: 34.16
Epoch 26, Train Loss: 30.59, Val Loss: 33.48, Test Loss: 33.44
Epoch 27, Train Loss: 29.74, Val Loss: 32.75, Test Loss: 32.75
Epoch 28, Train Loss: 28.94, Val Loss: 32.08, Test Loss: 32.12
Epoch 29, Train Loss: 28.19, Val Loss: 31.45, Test Loss: 31.54
Epoch 30, Train Loss: 27.49, Val Loss: 30.87, Test Loss: 31.00
Epoch 31, Train Loss: 26.84, Val Loss: 30.34, Test Loss: 30.51
Epoch 32, Train Loss: 26.23, Val Loss: 29.84, Test Loss: 30.04
Epoch 33, Train Loss: 25.66, Val Loss: 29.39, Test Loss: 29.62
Epoch 34, Train Loss: 25.12, Val Loss: 28.96, Test Loss: 29.24
Epoch 35, Train Loss: 24.62, Val Loss: 28.57, Test Loss: 28.87
Epoch 36, Train Loss: 24.15, Val Loss: 28.22, Test Loss: 28.55
Epoch 37, Train Loss: 23.70, Val Loss: 27.89, Test Loss: 28.24
Epoch 38, Train Loss: 23.28, Val Loss: 27.58, Test Loss: 27.97
Epoch 39, Train Loss: 22.88, Val Loss: 27.30, Test Loss: 27.71
Epoch 40, Train Loss: 22.50, Val Loss: 27.04, Test Loss: 27.48
Epoch 41, Train Loss: 22.15, Val Loss: 26.81, Test Loss: 27.26
Epoch 42, Train Loss: 21.80, Val Loss: 26.58, Test Loss: 27.06
Epoch 43, Train Loss: 21.47, Val Loss: 26.37, Test Loss: 26.86
Epoch 44, Train Loss: 21.16, Val Loss: 26.18, Test Loss: 26.69
Epoch 45, Train Loss: 20.86, Val Loss: 26.00, Test Loss: 26.53
Epoch 46, Train Loss: 20.58, Val Loss: 25.83, Test Loss: 26.38
Epoch 47, Train Loss: 20.30, Val Loss: 25.69, Test Loss: 26.23
Epoch 48, Train Loss: 20.04, Val Loss: 25.54, Test Loss: 26.10
Epoch 49, Train Loss: 19.78, Val Loss: 25.41, Test Loss: 25.98
Epoch 50, Train Loss: 19.53, Val Loss: 25.28, Test Loss: 25.86
Epoch 51, Train Loss: 19.30, Val Loss: 25.16, Test Loss: 25.76
Epoch 52, Train Loss: 19.06, Val Loss: 25.05, Test Loss: 25.66
Epoch 53, Train Loss: 18.84, Val Loss: 24.94, Test Loss: 25.56
Epoch 54, Train Loss: 18.62, Val Loss: 24.84, Test Loss: 25.48
Epoch 55, Train Loss: 18.41, Val Loss: 24.75, Test Loss: 25.38
Epoch 56, Train Loss: 18.21, Val Loss: 24.67, Test Loss: 25.31
Epoch 57, Train Loss: 18.01, Val Loss: 24.59, Test Loss: 25.23
Epoch 58, Train Loss: 17.81, Val Loss: 24.50, Test Loss: 25.17
Epoch 59, Train Loss: 17.63, Val Loss: 24.44, Test Loss: 25.10
Epoch 60, Train Loss: 17.44, Val Loss: 24.37, Test Loss: 25.05
Epoch 61, Train Loss: 17.26, Val Loss: 24.31, Test Loss: 24.99
Epoch 62, Train Loss: 17.09, Val Loss: 24.25, Test Loss: 24.93
