Epoch 0, Train Loss: 75.13, Val Loss: 73.40, Test Loss: 73.32
Epoch 1, Train Loss: 70.41, Val Loss: 66.76, Test Loss: 66.54
Epoch 2, Train Loss: 62.29, Val Loss: 58.76, Test Loss: 58.35
Epoch 3, Train Loss: 56.79, Val Loss: 56.34, Test Loss: 55.76
Epoch 4, Train Loss: 55.18, Val Loss: 55.28, Test Loss: 54.66
Epoch 5, Train Loss: 54.10, Val Loss: 54.38, Test Loss: 53.71
Epoch 6, Train Loss: 53.10, Val Loss: 53.47, Test Loss: 52.78
Epoch 7, Train Loss: 52.09, Val Loss: 52.54, Test Loss: 51.88
Epoch 8, Train Loss: 51.09, Val Loss: 51.65, Test Loss: 50.98
Epoch 9, Train Loss: 50.10, Val Loss: 50.74, Test Loss: 50.11
Epoch 10, Train Loss: 49.10, Val Loss: 49.84, Test Loss: 49.24
Epoch 11, Train Loss: 48.09, Val Loss: 48.93, Test Loss: 48.37
Epoch 12, Train Loss: 47.07, Val Loss: 48.01, Test Loss: 47.49
Epoch 13, Train Loss: 46.04, Val Loss: 47.09, Test Loss: 46.62
Epoch 14, Train Loss: 45.00, Val Loss: 46.17, Test Loss: 45.75
Epoch 15, Train Loss: 43.95, Val Loss: 45.28, Test Loss: 44.86
Epoch 16, Train Loss: 42.90, Val Loss: 44.35, Test Loss: 43.98
Epoch 17, Train Loss: 41.84, Val Loss: 43.44, Test Loss: 43.13
Epoch 18, Train Loss: 40.80, Val Loss: 42.54, Test Loss: 42.25
Epoch 19, Train Loss: 39.75, Val Loss: 41.63, Test Loss: 41.39
Epoch 20, Train Loss: 38.73, Val Loss: 40.79, Test Loss: 40.56
Epoch 21, Train Loss: 37.71, Val Loss: 39.89, Test Loss: 39.72
Epoch 22, Train Loss: 36.73, Val Loss: 39.10, Test Loss: 38.90
Epoch 23, Train Loss: 35.76, Val Loss: 38.26, Test Loss: 38.13
Epoch 24, Train Loss: 34.82, Val Loss: 37.47, Test Loss: 37.38
Epoch 25, Train Loss: 33.92, Val Loss: 36.71, Test Loss: 36.63
Epoch 26, Train Loss: 33.06, Val Loss: 35.98, Test Loss: 35.91
Epoch 27, Train Loss: 32.23, Val Loss: 35.28, Test Loss: 35.27
Epoch 28, Train Loss: 31.43, Val Loss: 34.63, Test Loss: 34.61
Epoch 29, Train Loss: 30.68, Val Loss: 33.97, Test Loss: 34.01
Epoch 30, Train Loss: 29.95, Val Loss: 33.39, Test Loss: 33.41
Epoch 31, Train Loss: 29.27, Val Loss: 32.83, Test Loss: 32.87
Epoch 32, Train Loss: 28.62, Val Loss: 32.29, Test Loss: 32.35
Epoch 33, Train Loss: 28.00, Val Loss: 31.79, Test Loss: 31.86
Epoch 34, Train Loss: 27.42, Val Loss: 31.30, Test Loss: 31.42
Epoch 35, Train Loss: 26.88, Val Loss: 30.87, Test Loss: 30.97
Epoch 36, Train Loss: 26.35, Val Loss: 30.43, Test Loss: 30.56
