Epoch 0, Train Loss: 75.86, Val Loss: 75.28, Test Loss: 75.28
Epoch 1, Train Loss: 72.58, Val Loss: 65.51, Test Loss: 65.57
Epoch 2, Train Loss: 59.93, Val Loss: 57.33, Test Loss: 57.46
Epoch 3, Train Loss: 56.58, Val Loss: 55.95, Test Loss: 55.98
Epoch 4, Train Loss: 55.52, Val Loss: 55.18, Test Loss: 55.19
Epoch 5, Train Loss: 54.97, Val Loss: 54.84, Test Loss: 54.85
Epoch 6, Train Loss: 54.68, Val Loss: 54.67, Test Loss: 54.65
Epoch 7, Train Loss: 54.45, Val Loss: 54.51, Test Loss: 54.44
Epoch 8, Train Loss: 54.17, Val Loss: 54.27, Test Loss: 54.12
Epoch 9, Train Loss: 53.70, Val Loss: 53.87, Test Loss: 53.60
Epoch 10, Train Loss: 53.11, Val Loss: 53.52, Test Loss: 53.09
Epoch 11, Train Loss: 52.62, Val Loss: 53.10, Test Loss: 52.69
Epoch 12, Train Loss: 52.24, Val Loss: 52.82, Test Loss: 52.37
Epoch 13, Train Loss: 51.90, Val Loss: 52.52, Test Loss: 52.07
Epoch 14, Train Loss: 51.52, Val Loss: 52.20, Test Loss: 51.74
Epoch 15, Train Loss: 51.06, Val Loss: 51.68, Test Loss: 51.31
Epoch 16, Train Loss: 50.44, Val Loss: 51.08, Test Loss: 50.68
Epoch 17, Train Loss: 49.67, Val Loss: 50.33, Test Loss: 50.06
Epoch 18, Train Loss: 48.83, Val Loss: 49.64, Test Loss: 49.46
Epoch 19, Train Loss: 47.96, Val Loss: 48.90, Test Loss: 48.74
Epoch 20, Train Loss: 47.07, Val Loss: 48.21, Test Loss: 48.24
Epoch 21, Train Loss: 46.16, Val Loss: 47.46, Test Loss: 47.50
Epoch 22, Train Loss: 45.21, Val Loss: 46.78, Test Loss: 46.91
Epoch 23, Train Loss: 44.32, Val Loss: 46.17, Test Loss: 46.33
Epoch 24, Train Loss: 43.54, Val Loss: 45.83, Test Loss: 46.05
Epoch 25, Train Loss: 42.86, Val Loss: 45.42, Test Loss: 45.73
Epoch 26, Train Loss: 42.29, Val Loss: 45.05, Test Loss: 45.30
Epoch 27, Train Loss: 41.69, Val Loss: 44.85, Test Loss: 45.08
