Epoch 0, Train Loss: 76.12, Val Loss: 75.55, Test Loss: 75.59
Epoch 1, Train Loss: 72.50, Val Loss: 65.22, Test Loss: 65.37
Epoch 2, Train Loss: 59.76, Val Loss: 57.48, Test Loss: 57.39
Epoch 3, Train Loss: 56.56, Val Loss: 56.15, Test Loss: 55.90
Epoch 4, Train Loss: 55.50, Val Loss: 55.45, Test Loss: 55.27
Epoch 5, Train Loss: 54.93, Val Loss: 55.12, Test Loss: 55.04
Epoch 6, Train Loss: 54.63, Val Loss: 54.92, Test Loss: 54.79
Epoch 7, Train Loss: 54.37, Val Loss: 54.66, Test Loss: 54.59
Epoch 8, Train Loss: 54.04, Val Loss: 54.29, Test Loss: 54.15
Epoch 9, Train Loss: 53.52, Val Loss: 53.85, Test Loss: 53.54
Epoch 10, Train Loss: 52.94, Val Loss: 53.38, Test Loss: 53.07
Epoch 11, Train Loss: 52.55, Val Loss: 53.15, Test Loss: 52.78
Epoch 12, Train Loss: 52.25, Val Loss: 52.85, Test Loss: 52.55
Epoch 13, Train Loss: 51.99, Val Loss: 52.67, Test Loss: 52.35
Epoch 14, Train Loss: 51.74, Val Loss: 52.41, Test Loss: 52.11
Epoch 15, Train Loss: 51.41, Val Loss: 52.05, Test Loss: 51.79
Epoch 16, Train Loss: 50.95, Val Loss: 51.56, Test Loss: 51.31
Epoch 17, Train Loss: 50.29, Val Loss: 50.90, Test Loss: 50.60
Epoch 18, Train Loss: 49.45, Val Loss: 50.13, Test Loss: 49.79
Epoch 19, Train Loss: 48.55, Val Loss: 49.37, Test Loss: 48.97
Epoch 20, Train Loss: 47.69, Val Loss: 48.70, Test Loss: 48.31
Epoch 21, Train Loss: 46.84, Val Loss: 48.01, Test Loss: 47.55
Epoch 22, Train Loss: 46.02, Val Loss: 47.39, Test Loss: 46.89
Epoch 23, Train Loss: 45.23, Val Loss: 46.79, Test Loss: 46.31
Epoch 24, Train Loss: 44.44, Val Loss: 46.19, Test Loss: 45.49
Epoch 25, Train Loss: 43.60, Val Loss: 45.50, Test Loss: 44.80
Epoch 26, Train Loss: 42.79, Val Loss: 44.92, Test Loss: 44.24
Epoch 27, Train Loss: 42.03, Val Loss: 44.42, Test Loss: 43.56
Epoch 28, Train Loss: 41.31, Val Loss: 43.89, Test Loss: 43.04
Epoch 29, Train Loss: 40.65, Val Loss: 43.48, Test Loss: 42.61
Epoch 30, Train Loss: 40.04, Val Loss: 43.12, Test Loss: 42.03
Epoch 31, Train Loss: 39.47, Val Loss: 42.95, Test Loss: 41.91
Epoch 32, Train Loss: 39.00, Val Loss: 42.50, Test Loss: 41.43
Epoch 33, Train Loss: 38.47, Val Loss: 42.20, Test Loss: 41.13
Epoch 34, Train Loss: 38.06, Val Loss: 42.16, Test Loss: 40.95
Epoch 35, Train Loss: 37.71, Val Loss: 41.92, Test Loss: 40.63
Epoch 36, Train Loss: 37.30, Val Loss: 41.88, Test Loss: 40.64
Epoch 37, Train Loss: 37.01, Val Loss: 41.81, Test Loss: 40.44
Epoch 38, Train Loss: 36.62, Val Loss: 41.44, Test Loss: 40.04
Epoch 39, Train Loss: 36.28, Val Loss: 41.35, Test Loss: 39.91
Epoch 40, Train Loss: 35.94, Val Loss: 41.18, Test Loss: 39.80
Epoch 41, Train Loss: 35.68, Val Loss: 41.06, Test Loss: 39.79
Epoch 42, Train Loss: 35.34, Val Loss: 40.86, Test Loss: 39.55
Epoch 43, Train Loss: 34.99, Val Loss: 40.64, Test Loss: 39.32
Epoch 44, Train Loss: 34.68, Val Loss: 40.62, Test Loss: 39.29
Epoch 45, Train Loss: 34.41, Val Loss: 40.61, Test Loss: 39.15
Epoch 46, Train Loss: 34.11, Val Loss: 40.27, Test Loss: 38.89
Epoch 47, Train Loss: 33.84, Val Loss: 40.14, Test Loss: 38.80
Epoch 48, Train Loss: 33.56, Val Loss: 40.13, Test Loss: 38.69
Epoch 49, Train Loss: 33.33, Val Loss: 40.04, Test Loss: 38.57
Epoch 50, Train Loss: 33.04, Val Loss: 40.09, Test Loss: 38.65
Epoch 51, Train Loss: 32.81, Val Loss: 39.82, Test Loss: 38.45
Epoch 52, Train Loss: 32.55, Val Loss: 39.65, Test Loss: 38.30
Epoch 53, Train Loss: 32.32, Val Loss: 39.69, Test Loss: 38.39
