Epoch 0, Train Loss: 54.18, Val Loss: 49.17, Test Loss: 49.18
Epoch 1, Train Loss: 46.82, Val Loss: 43.93, Test Loss: 43.75
Epoch 2, Train Loss: 42.46, Val Loss: 41.04, Test Loss: 40.72
Epoch 3, Train Loss: 39.99, Val Loss: 39.68, Test Loss: 39.51
Epoch 4, Train Loss: 38.45, Val Loss: 38.39, Test Loss: 38.25
Epoch 5, Train Loss: 37.35, Val Loss: 37.34, Test Loss: 37.34
Epoch 6, Train Loss: 36.46, Val Loss: 37.09, Test Loss: 37.15
Epoch 7, Train Loss: 35.79, Val Loss: 36.42, Test Loss: 36.56
Epoch 8, Train Loss: 35.38, Val Loss: 35.41, Test Loss: 35.39
Epoch 9, Train Loss: 34.95, Val Loss: 34.94, Test Loss: 35.08
Epoch 10, Train Loss: 34.37, Val Loss: 34.21, Test Loss: 34.69
Epoch 11, Train Loss: 34.12, Val Loss: 34.11, Test Loss: 34.45
Epoch 12, Train Loss: 33.68, Val Loss: 33.71, Test Loss: 34.10
Epoch 13, Train Loss: 33.39, Val Loss: 34.30, Test Loss: 34.62
Epoch 14, Train Loss: 33.14, Val Loss: 33.32, Test Loss: 33.67
Epoch 15, Train Loss: 32.94, Val Loss: 32.79, Test Loss: 33.21
Epoch 16, Train Loss: 32.70, Val Loss: 33.40, Test Loss: 34.02
Epoch 17, Train Loss: 32.49, Val Loss: 32.93, Test Loss: 33.41
Epoch 18, Train Loss: 32.46, Val Loss: 32.63, Test Loss: 33.14
Epoch 19, Train Loss: 32.15, Val Loss: 32.44, Test Loss: 32.72
Epoch 20, Train Loss: 32.10, Val Loss: 32.74, Test Loss: 33.20
Epoch 21, Train Loss: 32.14, Val Loss: 32.19, Test Loss: 32.71
Epoch 22, Train Loss: 32.09, Val Loss: 32.30, Test Loss: 32.71
Epoch 23, Train Loss: 31.96, Val Loss: 32.34, Test Loss: 32.77
Epoch 24, Train Loss: 31.96, Val Loss: 32.33, Test Loss: 33.05
Epoch 25, Train Loss: 31.77, Val Loss: 31.86, Test Loss: 32.33
Epoch 26, Train Loss: 31.95, Val Loss: 33.04, Test Loss: 33.51
Epoch 27, Train Loss: 31.98, Val Loss: 32.65, Test Loss: 33.05
Epoch 28, Train Loss: 31.77, Val Loss: 32.25, Test Loss: 32.64
Epoch 29, Train Loss: 31.85, Val Loss: 31.63, Test Loss: 32.08
Epoch 30, Train Loss: 32.02, Val Loss: 32.23, Test Loss: 32.42
Epoch 31, Train Loss: 31.89, Val Loss: 32.08, Test Loss: 32.17
Epoch 32, Train Loss: 31.80, Val Loss: 31.60, Test Loss: 32.01
Epoch 33, Train Loss: 31.79, Val Loss: 32.40, Test Loss: 32.38
Epoch 34, Train Loss: 31.77, Val Loss: 32.28, Test Loss: 32.35
Epoch 35, Train Loss: 31.88, Val Loss: 32.97, Test Loss: 32.97
Epoch 36, Train Loss: 31.79, Val Loss: 31.74, Test Loss: 32.07
Epoch 37, Train Loss: 31.88, Val Loss: 32.27, Test Loss: 32.21
Epoch    39: reducing learning rate of group 0 to 7.5000e-03.
Epoch 38, Train Loss: 31.77, Val Loss: 32.11, Test Loss: 32.33
Epoch 39, Train Loss: 30.53, Val Loss: 30.76, Test Loss: 30.88
Epoch 40, Train Loss: 30.46, Val Loss: 30.87, Test Loss: 31.08
Epoch 41, Train Loss: 30.40, Val Loss: 31.03, Test Loss: 31.30
Epoch 42, Train Loss: 30.32, Val Loss: 31.00, Test Loss: 31.38
Epoch 43, Train Loss: 30.22, Val Loss: 31.22, Test Loss: 31.51
Epoch 44, Train Loss: 30.29, Val Loss: 31.13, Test Loss: 31.34
Epoch    46: reducing learning rate of group 0 to 5.6250e-03.
Epoch 45, Train Loss: 30.27, Val Loss: 31.07, Test Loss: 31.09
Epoch 46, Train Loss: 29.40, Val Loss: 30.02, Test Loss: 30.23
Epoch 47, Train Loss: 29.36, Val Loss: 30.08, Test Loss: 30.24
Epoch 48, Train Loss: 29.40, Val Loss: 30.24, Test Loss: 30.24
Epoch 49, Train Loss: 29.19, Val Loss: 29.99, Test Loss: 30.05
Epoch 50, Train Loss: 29.13, Val Loss: 30.13, Test Loss: 30.27
Epoch 51, Train Loss: 29.18, Val Loss: 30.52, Test Loss: 30.59
Epoch 52, Train Loss: 29.17, Val Loss: 29.90, Test Loss: 30.09
Epoch 53, Train Loss: 29.10, Val Loss: 29.89, Test Loss: 30.16
Epoch 54, Train Loss: 28.97, Val Loss: 29.77, Test Loss: 29.89
Epoch 55, Train Loss: 29.21, Val Loss: 30.25, Test Loss: 30.40
Epoch 56, Train Loss: 28.90, Val Loss: 29.94, Test Loss: 30.15
Epoch 57, Train Loss: 29.13, Val Loss: 30.08, Test Loss: 30.31
Epoch 58, Train Loss: 29.14, Val Loss: 29.97, Test Loss: 30.19
Epoch 59, Train Loss: 28.86, Val Loss: 29.66, Test Loss: 29.98
Epoch 60, Train Loss: 28.91, Val Loss: 29.61, Test Loss: 29.97
Epoch 61, Train Loss: 29.03, Val Loss: 29.48, Test Loss: 29.71
Epoch 62, Train Loss: 29.30, Val Loss: 30.14, Test Loss: 30.42
Epoch 63, Train Loss: 29.00, Val Loss: 30.01, Test Loss: 30.34
Epoch 64, Train Loss: 28.81, Val Loss: 29.45, Test Loss: 29.73
Epoch 65, Train Loss: 28.95, Val Loss: 29.56, Test Loss: 29.86
Epoch 66, Train Loss: 29.01, Val Loss: 29.82, Test Loss: 30.06
Epoch 67, Train Loss: 28.85, Val Loss: 29.46, Test Loss: 29.79
Epoch 68, Train Loss: 28.79, Val Loss: 29.62, Test Loss: 29.91
Epoch 69, Train Loss: 28.66, Val Loss: 29.78, Test Loss: 29.96
Epoch    71: reducing learning rate of group 0 to 4.2188e-03.
Epoch 70, Train Loss: 28.89, Val Loss: 29.80, Test Loss: 30.10
Epoch 71, Train Loss: 28.20, Val Loss: 29.39, Test Loss: 29.57
Epoch 72, Train Loss: 28.05, Val Loss: 29.04, Test Loss: 29.21
Epoch 73, Train Loss: 27.97, Val Loss: 29.16, Test Loss: 29.51
Epoch 74, Train Loss: 27.96, Val Loss: 29.55, Test Loss: 29.67
Epoch 75, Train Loss: 28.08, Val Loss: 29.15, Test Loss: 29.32
Epoch 76, Train Loss: 27.91, Val Loss: 28.87, Test Loss: 29.10
Epoch 77, Train Loss: 27.90, Val Loss: 29.34, Test Loss: 29.56
Epoch 78, Train Loss: 27.94, Val Loss: 29.75, Test Loss: 29.95
Epoch 79, Train Loss: 27.97, Val Loss: 28.86, Test Loss: 29.12
