Epoch 0, Train Loss: 53.72, Val Loss: 51.56, Test Loss: 51.61
Epoch 1, Train Loss: 48.02, Val Loss: 46.73, Test Loss: 46.51
Epoch 2, Train Loss: 43.65, Val Loss: 42.73, Test Loss: 42.78
Epoch 3, Train Loss: 40.34, Val Loss: 39.75, Test Loss: 39.68
Epoch 4, Train Loss: 37.80, Val Loss: 37.78, Test Loss: 37.63
Epoch 5, Train Loss: 36.21, Val Loss: 37.28, Test Loss: 36.91
Epoch 6, Train Loss: 35.25, Val Loss: 36.11, Test Loss: 35.75
Epoch 7, Train Loss: 34.23, Val Loss: 35.48, Test Loss: 35.11
Epoch 8, Train Loss: 33.82, Val Loss: 35.12, Test Loss: 34.63
Epoch 9, Train Loss: 33.51, Val Loss: 35.37, Test Loss: 34.98
Epoch 10, Train Loss: 33.23, Val Loss: 34.69, Test Loss: 34.18
Epoch 11, Train Loss: 32.85, Val Loss: 34.97, Test Loss: 34.66
Epoch 12, Train Loss: 32.67, Val Loss: 34.07, Test Loss: 33.63
Epoch 13, Train Loss: 32.45, Val Loss: 34.24, Test Loss: 33.71
Epoch 14, Train Loss: 32.29, Val Loss: 34.42, Test Loss: 33.87
Epoch 15, Train Loss: 32.18, Val Loss: 34.41, Test Loss: 33.75
Epoch 16, Train Loss: 31.97, Val Loss: 33.91, Test Loss: 33.57
Epoch 17, Train Loss: 31.82, Val Loss: 33.11, Test Loss: 32.61
Epoch 18, Train Loss: 31.53, Val Loss: 33.11, Test Loss: 32.80
Epoch 19, Train Loss: 31.66, Val Loss: 33.56, Test Loss: 33.12
Epoch 20, Train Loss: 31.50, Val Loss: 33.08, Test Loss: 32.67
Epoch 21, Train Loss: 31.10, Val Loss: 32.84, Test Loss: 32.42
Epoch 22, Train Loss: 31.11, Val Loss: 32.92, Test Loss: 32.50
Epoch 23, Train Loss: 31.10, Val Loss: 33.49, Test Loss: 33.09
Epoch 24, Train Loss: 31.10, Val Loss: 33.09, Test Loss: 32.70
Epoch 25, Train Loss: 31.04, Val Loss: 32.82, Test Loss: 32.44
Epoch 26, Train Loss: 30.86, Val Loss: 32.32, Test Loss: 32.04
Epoch 27, Train Loss: 30.60, Val Loss: 32.30, Test Loss: 32.18
Epoch 28, Train Loss: 30.71, Val Loss: 32.29, Test Loss: 31.91
Epoch 29, Train Loss: 30.31, Val Loss: 32.74, Test Loss: 32.21
Epoch 30, Train Loss: 30.49, Val Loss: 31.87, Test Loss: 31.80
Epoch 31, Train Loss: 30.38, Val Loss: 32.50, Test Loss: 32.37
Epoch 32, Train Loss: 30.42, Val Loss: 32.44, Test Loss: 32.04
Epoch 33, Train Loss: 30.34, Val Loss: 32.56, Test Loss: 32.15
Epoch 34, Train Loss: 30.39, Val Loss: 31.50, Test Loss: 31.28
Epoch 35, Train Loss: 30.04, Val Loss: 32.05, Test Loss: 31.78
Epoch 36, Train Loss: 30.15, Val Loss: 32.28, Test Loss: 31.90
Epoch 37, Train Loss: 30.31, Val Loss: 32.42, Test Loss: 32.22
Epoch 38, Train Loss: 30.05, Val Loss: 31.88, Test Loss: 31.80
