Epoch 0, Train Loss: 42.72, Val Loss: 37.55, Test Loss: 37.69
Epoch 1, Train Loss: 35.54, Val Loss: 34.58, Test Loss: 34.65
Epoch 2, Train Loss: 34.28, Val Loss: 33.99, Test Loss: 34.01
Epoch 3, Train Loss: 33.84, Val Loss: 33.84, Test Loss: 33.79
Epoch 4, Train Loss: 33.94, Val Loss: 34.64, Test Loss: 34.66
Epoch 5, Train Loss: 34.45, Val Loss: 34.36, Test Loss: 34.39
Epoch 6, Train Loss: 34.81, Val Loss: 35.06, Test Loss: 35.08
Epoch 7, Train Loss: 34.54, Val Loss: 34.13, Test Loss: 34.17
Epoch 8, Train Loss: 34.81, Val Loss: 35.33, Test Loss: 35.36
Epoch    10: reducing learning rate of group 0 to 7.5000e-03.
Epoch 9, Train Loss: 35.01, Val Loss: 34.59, Test Loss: 34.63
Epoch 10, Train Loss: 33.92, Val Loss: 34.16, Test Loss: 34.12
Epoch 11, Train Loss: 33.65, Val Loss: 34.04, Test Loss: 34.04
Epoch 12, Train Loss: 33.45, Val Loss: 34.08, Test Loss: 34.11
Epoch 13, Train Loss: 33.39, Val Loss: 33.11, Test Loss: 33.10
Epoch 14, Train Loss: 33.12, Val Loss: 34.00, Test Loss: 34.07
Epoch 15, Train Loss: 33.20, Val Loss: 32.92, Test Loss: 33.03
Epoch 16, Train Loss: 33.21, Val Loss: 33.71, Test Loss: 33.79
Epoch 17, Train Loss: 33.14, Val Loss: 33.33, Test Loss: 33.32
Epoch 18, Train Loss: 33.39, Val Loss: 32.58, Test Loss: 32.64
Epoch 19, Train Loss: 33.30, Val Loss: 33.41, Test Loss: 33.46
Epoch 20, Train Loss: 34.51, Val Loss: 33.59, Test Loss: 33.63
Epoch 21, Train Loss: 33.65, Val Loss: 33.09, Test Loss: 33.15
Epoch 22, Train Loss: 33.41, Val Loss: 33.60, Test Loss: 33.66
Epoch 23, Train Loss: 33.32, Val Loss: 33.36, Test Loss: 33.41
Epoch    25: reducing learning rate of group 0 to 5.6250e-03.
Epoch 24, Train Loss: 33.08, Val Loss: 33.01, Test Loss: 32.98
Epoch 25, Train Loss: 32.45, Val Loss: 32.51, Test Loss: 32.54
Epoch 26, Train Loss: 32.35, Val Loss: 32.30, Test Loss: 32.30
Epoch 27, Train Loss: 32.21, Val Loss: 32.43, Test Loss: 32.50
Epoch 28, Train Loss: 32.24, Val Loss: 32.48, Test Loss: 32.49
Epoch 29, Train Loss: 32.15, Val Loss: 33.33, Test Loss: 33.33
Epoch 30, Train Loss: 32.45, Val Loss: 33.69, Test Loss: 33.81
Epoch 31, Train Loss: 32.31, Val Loss: 32.40, Test Loss: 32.43
Epoch 32, Train Loss: 32.27, Val Loss: 32.13, Test Loss: 32.16
Epoch 33, Train Loss: 32.31, Val Loss: 31.83, Test Loss: 31.92
Epoch 34, Train Loss: 32.01, Val Loss: 31.92, Test Loss: 31.93
Epoch 35, Train Loss: 32.09, Val Loss: 31.98, Test Loss: 32.02
Epoch 36, Train Loss: 32.09, Val Loss: 32.83, Test Loss: 32.75
Epoch 37, Train Loss: 32.03, Val Loss: 31.88, Test Loss: 31.99
Epoch 38, Train Loss: 32.14, Val Loss: 31.81, Test Loss: 31.87
