Epoch 0, Train Loss: 32.75, Val Loss: 29.31, Test Loss: 29.33
Epoch 1, Train Loss: 28.19, Val Loss: 27.44, Test Loss: 27.38
Epoch 2, Train Loss: 27.00, Val Loss: 26.78, Test Loss: 26.72
Epoch 3, Train Loss: 26.53, Val Loss: 26.28, Test Loss: 26.22
Epoch 4, Train Loss: 25.95, Val Loss: 25.59, Test Loss: 25.53
Epoch 5, Train Loss: 25.22, Val Loss: 24.91, Test Loss: 24.87
Epoch 6, Train Loss: 24.53, Val Loss: 24.21, Test Loss: 24.16
Epoch 7, Train Loss: 23.81, Val Loss: 23.70, Test Loss: 23.67
Epoch 8, Train Loss: 23.31, Val Loss: 23.28, Test Loss: 23.24
Epoch 9, Train Loss: 22.90, Val Loss: 22.72, Test Loss: 22.70
Epoch 10, Train Loss: 22.40, Val Loss: 22.32, Test Loss: 22.34
Epoch 11, Train Loss: 21.96, Val Loss: 21.78, Test Loss: 21.78
Epoch 12, Train Loss: 21.56, Val Loss: 21.33, Test Loss: 21.34
Epoch 13, Train Loss: 21.16, Val Loss: 21.27, Test Loss: 21.33
Epoch 14, Train Loss: 20.89, Val Loss: 20.98, Test Loss: 21.04
Epoch 15, Train Loss: 20.37, Val Loss: 20.24, Test Loss: 20.28
Epoch 16, Train Loss: 20.10, Val Loss: 20.00, Test Loss: 20.04
Epoch 17, Train Loss: 19.70, Val Loss: 19.62, Test Loss: 19.67
Epoch 18, Train Loss: 19.50, Val Loss: 19.40, Test Loss: 19.42
Epoch 19, Train Loss: 19.14, Val Loss: 19.11, Test Loss: 19.16
Epoch 20, Train Loss: 19.42, Val Loss: 19.00, Test Loss: 19.04
Epoch 21, Train Loss: 18.73, Val Loss: 18.78, Test Loss: 18.80
Epoch 22, Train Loss: 18.52, Val Loss: 18.75, Test Loss: 18.76
Epoch 23, Train Loss: 18.34, Val Loss: 18.41, Test Loss: 18.41
Epoch 24, Train Loss: 18.13, Val Loss: 18.20, Test Loss: 18.22
Epoch 25, Train Loss: 18.10, Val Loss: 18.11, Test Loss: 18.15
Epoch 26, Train Loss: 18.05, Val Loss: 17.92, Test Loss: 17.94
Epoch 27, Train Loss: 17.72, Val Loss: 17.77, Test Loss: 17.77
Epoch 28, Train Loss: 17.53, Val Loss: 17.63, Test Loss: 17.65
Epoch 29, Train Loss: 17.45, Val Loss: 17.51, Test Loss: 17.55
Epoch 30, Train Loss: 17.35, Val Loss: 17.51, Test Loss: 17.54
Epoch 31, Train Loss: 17.27, Val Loss: 17.40, Test Loss: 17.45
Epoch 32, Train Loss: 17.10, Val Loss: 17.29, Test Loss: 17.32
Epoch 33, Train Loss: 17.06, Val Loss: 17.31, Test Loss: 17.33
Epoch 34, Train Loss: 17.23, Val Loss: 17.17, Test Loss: 17.18
Epoch 35, Train Loss: 16.89, Val Loss: 17.02, Test Loss: 17.05
Epoch 36, Train Loss: 16.85, Val Loss: 17.08, Test Loss: 17.10
Epoch 37, Train Loss: 16.96, Val Loss: 16.99, Test Loss: 17.01
Epoch 38, Train Loss: 17.41, Val Loss: 17.49, Test Loss: 17.55
Epoch 39, Train Loss: 16.81, Val Loss: 16.89, Test Loss: 16.94
Epoch 40, Train Loss: 16.54, Val Loss: 16.78, Test Loss: 16.83
Epoch 41, Train Loss: 16.42, Val Loss: 16.65, Test Loss: 16.70
Epoch 42, Train Loss: 16.61, Val Loss: 20.22, Test Loss: 20.27
Epoch 43, Train Loss: 17.24, Val Loss: 16.65, Test Loss: 16.67
Epoch 44, Train Loss: 16.17, Val Loss: 16.37, Test Loss: 16.38
Epoch 45, Train Loss: 16.05, Val Loss: 16.29, Test Loss: 16.34
Epoch 46, Train Loss: 15.95, Val Loss: 16.19, Test Loss: 16.22
Epoch 47, Train Loss: 15.86, Val Loss: 16.26, Test Loss: 16.32
Epoch 48, Train Loss: 15.78, Val Loss: 15.98, Test Loss: 16.00
Epoch 49, Train Loss: 15.68, Val Loss: 15.91, Test Loss: 15.94
Epoch 50, Train Loss: 16.92, Val Loss: 15.99, Test Loss: 16.03
Epoch 51, Train Loss: 15.59, Val Loss: 15.73, Test Loss: 15.76
Epoch 52, Train Loss: 15.50, Val Loss: 15.74, Test Loss: 15.77
Epoch 53, Train Loss: 15.39, Val Loss: 15.64, Test Loss: 15.63
Epoch 54, Train Loss: 15.34, Val Loss: 15.67, Test Loss: 15.69
Epoch 55, Train Loss: 15.29, Val Loss: 15.63, Test Loss: 15.67
Epoch 56, Train Loss: 15.25, Val Loss: 15.52, Test Loss: 15.55
Epoch 57, Train Loss: 15.23, Val Loss: 15.49, Test Loss: 15.51
Epoch 58, Train Loss: 17.05, Val Loss: 15.75, Test Loss: 15.78
Epoch 59, Train Loss: 15.24, Val Loss: 15.39, Test Loss: 15.41
Epoch 60, Train Loss: 15.07, Val Loss: 15.45, Test Loss: 15.49
Epoch 61, Train Loss: 15.01, Val Loss: 15.34, Test Loss: 15.37
Epoch 62, Train Loss: 14.93, Val Loss: 15.27, Test Loss: 15.27
Epoch 63, Train Loss: 14.91, Val Loss: 15.18, Test Loss: 15.20
Epoch 64, Train Loss: 14.81, Val Loss: 15.10, Test Loss: 15.09
Epoch 65, Train Loss: 14.74, Val Loss: 15.05, Test Loss: 15.06
Epoch 66, Train Loss: 14.69, Val Loss: 14.97, Test Loss: 14.98
Epoch 67, Train Loss: 15.82, Val Loss: 16.26, Test Loss: 16.27
Epoch 68, Train Loss: 14.98, Val Loss: 14.93, Test Loss: 14.93
Epoch 69, Train Loss: 14.60, Val Loss: 14.92, Test Loss: 14.96
Epoch 70, Train Loss: 14.49, Val Loss: 14.79, Test Loss: 14.77
Epoch 71, Train Loss: 14.41, Val Loss: 14.80, Test Loss: 14.83
Epoch 72, Train Loss: 14.42, Val Loss: 14.96, Test Loss: 14.94
Epoch 73, Train Loss: 14.46, Val Loss: 14.61, Test Loss: 14.57
Epoch 74, Train Loss: 14.26, Val Loss: 14.71, Test Loss: 14.74
