Epoch 0, Train Loss: 31.41, Val Loss: 27.89, Test Loss: 27.90
Epoch 1, Train Loss: 26.76, Val Loss: 26.16, Test Loss: 26.11
Epoch 2, Train Loss: 25.68, Val Loss: 25.38, Test Loss: 25.29
Epoch 3, Train Loss: 25.00, Val Loss: 25.55, Test Loss: 25.56
Epoch 4, Train Loss: 24.03, Val Loss: 23.41, Test Loss: 23.43
Epoch 5, Train Loss: 23.29, Val Loss: 22.77, Test Loss: 22.80
Epoch 6, Train Loss: 22.60, Val Loss: 22.25, Test Loss: 22.31
Epoch 7, Train Loss: 22.20, Val Loss: 22.67, Test Loss: 22.81
Epoch 8, Train Loss: 22.41, Val Loss: 21.96, Test Loss: 22.00
Epoch 9, Train Loss: 21.66, Val Loss: 21.49, Test Loss: 21.53
Epoch 10, Train Loss: 21.27, Val Loss: 21.39, Test Loss: 21.43
Epoch 11, Train Loss: 21.45, Val Loss: 21.54, Test Loss: 21.57
Epoch 12, Train Loss: 20.91, Val Loss: 20.99, Test Loss: 21.01
Epoch 13, Train Loss: 20.77, Val Loss: 20.83, Test Loss: 20.91
Epoch 14, Train Loss: 20.95, Val Loss: 20.72, Test Loss: 20.78
Epoch 15, Train Loss: 20.44, Val Loss: 20.63, Test Loss: 20.70
Epoch 16, Train Loss: 20.27, Val Loss: 20.45, Test Loss: 20.45
Epoch 17, Train Loss: 20.11, Val Loss: 20.54, Test Loss: 20.54
Epoch 18, Train Loss: 19.81, Val Loss: 20.87, Test Loss: 20.83
Epoch 19, Train Loss: 19.58, Val Loss: 19.73, Test Loss: 19.70
Epoch 20, Train Loss: 20.63, Val Loss: 20.38, Test Loss: 20.38
Epoch 21, Train Loss: 19.47, Val Loss: 19.59, Test Loss: 19.60
Epoch 22, Train Loss: 19.04, Val Loss: 19.26, Test Loss: 19.27
Epoch 23, Train Loss: 18.77, Val Loss: 19.17, Test Loss: 19.20
Epoch 24, Train Loss: 18.75, Val Loss: 18.83, Test Loss: 18.88
Epoch 25, Train Loss: 18.83, Val Loss: 19.65, Test Loss: 19.65
Epoch 26, Train Loss: 18.23, Val Loss: 18.54, Test Loss: 18.51
Epoch 27, Train Loss: 17.95, Val Loss: 18.17, Test Loss: 18.19
Epoch 28, Train Loss: 17.69, Val Loss: 17.99, Test Loss: 17.99
Epoch 29, Train Loss: 17.58, Val Loss: 17.80, Test Loss: 17.85
Epoch 30, Train Loss: 17.19, Val Loss: 17.85, Test Loss: 17.85
Epoch 31, Train Loss: 16.87, Val Loss: 17.10, Test Loss: 17.11
Epoch 32, Train Loss: 17.55, Val Loss: 16.96, Test Loss: 16.96
Epoch 33, Train Loss: 16.43, Val Loss: 16.93, Test Loss: 16.89
Epoch 34, Train Loss: 16.33, Val Loss: 16.56, Test Loss: 16.59
Epoch 35, Train Loss: 16.52, Val Loss: 16.38, Test Loss: 16.39
Epoch 36, Train Loss: 15.75, Val Loss: 16.14, Test Loss: 16.17
Epoch 37, Train Loss: 15.53, Val Loss: 15.95, Test Loss: 15.95
