Epoch 0, Train Loss: 31.43, Val Loss: 27.78, Test Loss: 27.78
Epoch 1, Train Loss: 26.70, Val Loss: 26.08, Test Loss: 26.03
Epoch 2, Train Loss: 25.65, Val Loss: 25.46, Test Loss: 25.38
Epoch 3, Train Loss: 25.03, Val Loss: 24.81, Test Loss: 24.75
Epoch 4, Train Loss: 24.38, Val Loss: 24.43, Test Loss: 24.43
Epoch 5, Train Loss: 23.73, Val Loss: 23.32, Test Loss: 23.32
Epoch 6, Train Loss: 23.26, Val Loss: 22.81, Test Loss: 22.82
Epoch 7, Train Loss: 22.59, Val Loss: 22.48, Test Loss: 22.47
Epoch 8, Train Loss: 22.29, Val Loss: 22.47, Test Loss: 22.47
Epoch 9, Train Loss: 22.09, Val Loss: 22.15, Test Loss: 22.19
Epoch 10, Train Loss: 25.28, Val Loss: 23.47, Test Loss: 23.50
Epoch 11, Train Loss: 22.55, Val Loss: 22.12, Test Loss: 22.11
Epoch 12, Train Loss: 22.10, Val Loss: 21.75, Test Loss: 21.75
Epoch 13, Train Loss: 21.73, Val Loss: 21.43, Test Loss: 21.43
Epoch 14, Train Loss: 21.06, Val Loss: 21.03, Test Loss: 21.02
Epoch 15, Train Loss: 21.19, Val Loss: 22.11, Test Loss: 22.16
Epoch 16, Train Loss: 20.56, Val Loss: 20.34, Test Loss: 20.35
Epoch 17, Train Loss: 20.21, Val Loss: 19.86, Test Loss: 19.88
Epoch 18, Train Loss: 19.52, Val Loss: 19.57, Test Loss: 19.57
Epoch 19, Train Loss: 19.47, Val Loss: 19.36, Test Loss: 19.35
Epoch 20, Train Loss: 19.63, Val Loss: 19.36, Test Loss: 19.35
Epoch 21, Train Loss: 18.76, Val Loss: 19.33, Test Loss: 19.32
Epoch 22, Train Loss: 19.06, Val Loss: 18.76, Test Loss: 18.74
Epoch 23, Train Loss: 18.25, Val Loss: 18.66, Test Loss: 18.66
Epoch 24, Train Loss: 18.59, Val Loss: 18.33, Test Loss: 18.31
Epoch 25, Train Loss: 18.58, Val Loss: 18.33, Test Loss: 18.29
Epoch 26, Train Loss: 17.75, Val Loss: 18.04, Test Loss: 18.01
Epoch 27, Train Loss: 17.48, Val Loss: 17.77, Test Loss: 17.72
Epoch 28, Train Loss: 17.69, Val Loss: 17.54, Test Loss: 17.51
