Epoch 0, Train Loss: 31.37, Val Loss: 27.90, Test Loss: 27.91
Epoch 1, Train Loss: 26.67, Val Loss: 26.20, Test Loss: 26.16
Epoch 2, Train Loss: 25.78, Val Loss: 25.67, Test Loss: 25.58
Epoch 3, Train Loss: 25.32, Val Loss: 25.03, Test Loss: 24.98
Epoch 4, Train Loss: 24.73, Val Loss: 27.26, Test Loss: 27.42
Epoch 5, Train Loss: 24.15, Val Loss: 23.64, Test Loss: 23.62
Epoch 6, Train Loss: 23.60, Val Loss: 23.37, Test Loss: 23.39
Epoch 7, Train Loss: 23.09, Val Loss: 23.06, Test Loss: 23.08
Epoch 8, Train Loss: 24.01, Val Loss: 22.84, Test Loss: 22.90
Epoch 9, Train Loss: 22.63, Val Loss: 22.52, Test Loss: 22.53
Epoch 10, Train Loss: 22.41, Val Loss: 22.60, Test Loss: 22.65
Epoch 11, Train Loss: 22.26, Val Loss: 22.82, Test Loss: 22.82
Epoch 12, Train Loss: 22.01, Val Loss: 22.14, Test Loss: 22.20
Epoch 13, Train Loss: 21.77, Val Loss: 23.19, Test Loss: 23.19
Epoch 14, Train Loss: 21.72, Val Loss: 21.59, Test Loss: 21.65
Epoch 15, Train Loss: 21.57, Val Loss: 21.28, Test Loss: 21.31
Epoch 16, Train Loss: 21.64, Val Loss: 21.18, Test Loss: 21.20
Epoch 17, Train Loss: 20.77, Val Loss: 21.33, Test Loss: 21.36
Epoch 18, Train Loss: 20.87, Val Loss: 20.91, Test Loss: 20.93
Epoch 19, Train Loss: 20.29, Val Loss: 20.48, Test Loss: 20.49
Epoch 20, Train Loss: 21.05, Val Loss: 21.14, Test Loss: 21.18
Epoch 21, Train Loss: 19.96, Val Loss: 20.03, Test Loss: 20.05
Epoch 22, Train Loss: 21.37, Val Loss: 20.75, Test Loss: 20.78
Epoch 23, Train Loss: 19.65, Val Loss: 19.55, Test Loss: 19.56
Epoch 24, Train Loss: 19.03, Val Loss: 19.24, Test Loss: 19.25
Epoch 25, Train Loss: 18.81, Val Loss: 18.99, Test Loss: 18.97
Epoch 26, Train Loss: 18.56, Val Loss: 18.81, Test Loss: 18.80
Epoch 27, Train Loss: 18.63, Val Loss: 18.56, Test Loss: 18.59
Epoch 28, Train Loss: 18.05, Val Loss: 20.03, Test Loss: 20.13
Epoch 29, Train Loss: 18.47, Val Loss: 17.89, Test Loss: 17.87
Epoch 30, Train Loss: 17.31, Val Loss: 17.61, Test Loss: 17.61
Epoch 31, Train Loss: 17.03, Val Loss: 17.29, Test Loss: 17.33
Epoch 32, Train Loss: 16.76, Val Loss: 16.99, Test Loss: 17.04
Epoch 33, Train Loss: 16.45, Val Loss: 16.70, Test Loss: 16.75
Epoch 34, Train Loss: 16.18, Val Loss: 16.79, Test Loss: 16.85
Epoch 35, Train Loss: 19.63, Val Loss: 16.75, Test Loss: 16.78
Epoch 36, Train Loss: 15.80, Val Loss: 15.65, Test Loss: 15.69
Epoch 37, Train Loss: 14.91, Val Loss: 14.90, Test Loss: 14.94
Epoch 38, Train Loss: 14.29, Val Loss: 14.47, Test Loss: 14.50
Epoch 39, Train Loss: 13.87, Val Loss: 14.00, Test Loss: 14.01
Epoch 40, Train Loss: 13.46, Val Loss: 13.75, Test Loss: 13.77
Epoch 41, Train Loss: 13.23, Val Loss: 13.56, Test Loss: 13.58
Epoch 42, Train Loss: 13.03, Val Loss: 13.32, Test Loss: 13.30
Epoch 43, Train Loss: 12.81, Val Loss: 13.15, Test Loss: 13.16
Epoch 44, Train Loss: 12.66, Val Loss: 13.28, Test Loss: 13.30
Epoch 45, Train Loss: 12.50, Val Loss: 12.87, Test Loss: 12.86
Epoch 46, Train Loss: 12.38, Val Loss: 12.79, Test Loss: 12.79
Epoch 47, Train Loss: 12.29, Val Loss: 12.86, Test Loss: 12.84
Epoch 48, Train Loss: 12.15, Val Loss: 12.51, Test Loss: 12.51
Epoch 49, Train Loss: 11.98, Val Loss: 12.45, Test Loss: 12.43
Epoch 50, Train Loss: 11.90, Val Loss: 12.45, Test Loss: 12.38
Epoch 51, Train Loss: 11.76, Val Loss: 12.54, Test Loss: 12.54
Epoch 52, Train Loss: 15.18, Val Loss: 13.40, Test Loss: 13.36
Epoch 53, Train Loss: 12.32, Val Loss: 12.44, Test Loss: 12.40
Epoch 54, Train Loss: 11.73, Val Loss: 12.23, Test Loss: 12.20
Epoch 55, Train Loss: 11.55, Val Loss: 12.15, Test Loss: 12.10
Epoch 56, Train Loss: 11.42, Val Loss: 12.16, Test Loss: 12.12
Epoch 57, Train Loss: 11.48, Val Loss: 12.05, Test Loss: 12.00
Epoch 58, Train Loss: 11.26, Val Loss: 11.87, Test Loss: 11.82
Epoch 59, Train Loss: 11.15, Val Loss: 11.81, Test Loss: 11.76
Epoch 60, Train Loss: 11.09, Val Loss: 11.78, Test Loss: 11.77
Epoch 61, Train Loss: 11.02, Val Loss: 11.70, Test Loss: 11.67
Epoch 62, Train Loss: 10.91, Val Loss: 11.64, Test Loss: 11.61
Epoch 63, Train Loss: 10.86, Val Loss: 11.56, Test Loss: 11.55
Epoch 64, Train Loss: 10.77, Val Loss: 11.68, Test Loss: 11.67
Epoch 65, Train Loss: 10.74, Val Loss: 11.54, Test Loss: 11.51
Epoch 66, Train Loss: 10.64, Val Loss: 11.89, Test Loss: 11.90
Epoch 67, Train Loss: 10.72, Val Loss: 11.41, Test Loss: 11.38
Epoch 68, Train Loss: 10.52, Val Loss: 11.43, Test Loss: 11.42
Epoch 69, Train Loss: 10.47, Val Loss: 11.40, Test Loss: 11.44
Epoch 70, Train Loss: 10.36, Val Loss: 11.39, Test Loss: 11.38
Epoch 71, Train Loss: 10.52, Val Loss: 11.61, Test Loss: 11.64
Epoch 72, Train Loss: 10.33, Val Loss: 11.33, Test Loss: 11.32
Epoch 73, Train Loss: 10.23, Val Loss: 11.37, Test Loss: 11.38
Epoch 74, Train Loss: 10.19, Val Loss: 11.21, Test Loss: 11.18
Epoch 75, Train Loss: 10.11, Val Loss: 11.20, Test Loss: 11.19
Epoch 76, Train Loss: 10.11, Val Loss: 11.36, Test Loss: 11.40
Epoch 77, Train Loss: 10.20, Val Loss: 10.99, Test Loss: 10.99
Epoch 78, Train Loss: 10.00, Val Loss: 11.14, Test Loss: 11.14
Epoch 79, Train Loss: 9.97, Val Loss: 11.03, Test Loss: 11.06
Epoch 80, Train Loss: 9.91, Val Loss: 11.08, Test Loss: 11.06
Epoch 81, Train Loss: 10.76, Val Loss: 11.34, Test Loss: 11.35
Epoch 82, Train Loss: 10.17, Val Loss: 11.05, Test Loss: 11.04
Epoch    84: reducing learning rate of group 0 to 7.5000e-04.
Epoch 83, Train Loss: 9.94, Val Loss: 11.15, Test Loss: 11.13
Epoch 84, Train Loss: 9.80, Val Loss: 11.08, Test Loss: 11.08
Epoch 85, Train Loss: 9.76, Val Loss: 11.10, Test Loss: 11.10
Epoch 86, Train Loss: 9.73, Val Loss: 11.04, Test Loss: 11.04
Epoch 87, Train Loss: 9.72, Val Loss: 11.02, Test Loss: 11.02
Epoch 88, Train Loss: 9.70, Val Loss: 11.09, Test Loss: 11.11
Epoch    90: reducing learning rate of group 0 to 5.6250e-04.
Epoch 89, Train Loss: 9.68, Val Loss: 11.23, Test Loss: 11.20
Epoch 90, Train Loss: 9.59, Val Loss: 11.12, Test Loss: 11.12
Epoch 91, Train Loss: 9.54, Val Loss: 11.19, Test Loss: 11.20
Epoch 92, Train Loss: 9.56, Val Loss: 11.18, Test Loss: 11.24
Epoch 93, Train Loss: 9.54, Val Loss: 11.23, Test Loss: 11.29
Epoch 94, Train Loss: 9.51, Val Loss: 11.42, Test Loss: 11.41
Epoch    96: reducing learning rate of group 0 to 4.2188e-04.
Epoch 95, Train Loss: 9.56, Val Loss: 11.32, Test Loss: 11.31
Epoch 96, Train Loss: 9.46, Val Loss: 11.25, Test Loss: 11.31
Epoch 97, Train Loss: 9.44, Val Loss: 11.28, Test Loss: 11.35
Epoch 98, Train Loss: 9.44, Val Loss: 11.40, Test Loss: 11.45
Epoch 99, Train Loss: 9.41, Val Loss: 11.33, Test Loss: 11.43
