Epoch 0, Train Loss: 32.22, Val Loss: 29.93, Test Loss: 29.95
Epoch 1, Train Loss: 27.96, Val Loss: 26.44, Test Loss: 26.43
Epoch 2, Train Loss: 26.09, Val Loss: 25.96, Test Loss: 25.93
Epoch 3, Train Loss: 25.44, Val Loss: 24.62, Test Loss: 24.59
Epoch 4, Train Loss: 23.75, Val Loss: 23.36, Test Loss: 23.36
Epoch 5, Train Loss: 24.30, Val Loss: 23.11, Test Loss: 23.05
Epoch 6, Train Loss: 22.71, Val Loss: 22.23, Test Loss: 22.20
Epoch 7, Train Loss: 22.35, Val Loss: 21.99, Test Loss: 21.99
Epoch 8, Train Loss: 21.50, Val Loss: 20.91, Test Loss: 20.91
Epoch 9, Train Loss: 20.56, Val Loss: 20.69, Test Loss: 20.70
Epoch 10, Train Loss: 20.40, Val Loss: 20.05, Test Loss: 20.05
Epoch 11, Train Loss: 20.23, Val Loss: 19.79, Test Loss: 19.81
Epoch 12, Train Loss: 19.19, Val Loss: 19.27, Test Loss: 19.25
Epoch 13, Train Loss: 19.52, Val Loss: 18.96, Test Loss: 18.96
Epoch 14, Train Loss: 18.55, Val Loss: 20.66, Test Loss: 20.64
Epoch 15, Train Loss: 18.39, Val Loss: 18.16, Test Loss: 18.15
Epoch 16, Train Loss: 17.70, Val Loss: 17.84, Test Loss: 17.84
Epoch 17, Train Loss: 17.99, Val Loss: 18.56, Test Loss: 18.54
Epoch 18, Train Loss: 17.17, Val Loss: 17.18, Test Loss: 17.18
Epoch 19, Train Loss: 16.52, Val Loss: 16.29, Test Loss: 16.28
Epoch 20, Train Loss: 15.56, Val Loss: 16.08, Test Loss: 16.10
Epoch 21, Train Loss: 15.11, Val Loss: 15.39, Test Loss: 15.36
Epoch 22, Train Loss: 14.84, Val Loss: 15.04, Test Loss: 15.02
Epoch 23, Train Loss: 14.16, Val Loss: 14.45, Test Loss: 14.42
Epoch 24, Train Loss: 14.61, Val Loss: 14.15, Test Loss: 14.15
Epoch 25, Train Loss: 13.36, Val Loss: 14.15, Test Loss: 14.17
Epoch 26, Train Loss: 14.58, Val Loss: 13.45, Test Loss: 13.43
Epoch 27, Train Loss: 12.67, Val Loss: 13.21, Test Loss: 13.19
Epoch 28, Train Loss: 12.39, Val Loss: 13.00, Test Loss: 13.00
Epoch 29, Train Loss: 12.11, Val Loss: 12.85, Test Loss: 12.89
Epoch 30, Train Loss: 11.93, Val Loss: 12.54, Test Loss: 12.54
Epoch 31, Train Loss: 11.62, Val Loss: 12.58, Test Loss: 12.60
Epoch 32, Train Loss: 11.40, Val Loss: 12.19, Test Loss: 12.23
Epoch 33, Train Loss: 11.23, Val Loss: 12.05, Test Loss: 12.08
