Epoch 0, Train Loss: 31.57, Val Loss: 28.23, Test Loss: 28.22
Epoch 1, Train Loss: 27.01, Val Loss: 26.05, Test Loss: 26.00
Epoch 2, Train Loss: 25.49, Val Loss: 25.13, Test Loss: 25.08
Epoch 3, Train Loss: 24.84, Val Loss: 24.54, Test Loss: 24.49
Epoch 4, Train Loss: 24.25, Val Loss: 23.65, Test Loss: 23.67
Epoch 5, Train Loss: 23.32, Val Loss: 23.06, Test Loss: 23.08
Epoch 6, Train Loss: 22.95, Val Loss: 22.77, Test Loss: 22.75
Epoch 7, Train Loss: 22.97, Val Loss: 22.80, Test Loss: 22.76
Epoch 8, Train Loss: 22.35, Val Loss: 23.39, Test Loss: 23.45
Epoch 9, Train Loss: 22.27, Val Loss: 22.09, Test Loss: 22.08
Epoch 10, Train Loss: 21.75, Val Loss: 21.94, Test Loss: 21.99
Epoch 11, Train Loss: 21.65, Val Loss: 21.27, Test Loss: 21.28
Epoch 12, Train Loss: 21.13, Val Loss: 21.52, Test Loss: 21.56
Epoch 13, Train Loss: 20.44, Val Loss: 20.44, Test Loss: 20.52
Epoch 14, Train Loss: 19.98, Val Loss: 20.44, Test Loss: 20.44
Epoch 15, Train Loss: 19.81, Val Loss: 19.48, Test Loss: 19.48
Epoch 16, Train Loss: 19.07, Val Loss: 19.07, Test Loss: 19.09
Epoch 17, Train Loss: 18.46, Val Loss: 20.59, Test Loss: 20.63
Epoch 18, Train Loss: 18.76, Val Loss: 18.30, Test Loss: 18.34
Epoch 19, Train Loss: 18.43, Val Loss: 18.35, Test Loss: 18.37
Epoch 20, Train Loss: 17.57, Val Loss: 17.78, Test Loss: 17.80
Epoch 21, Train Loss: 17.31, Val Loss: 21.60, Test Loss: 21.67
Epoch 22, Train Loss: 17.77, Val Loss: 17.32, Test Loss: 17.34
Epoch 23, Train Loss: 17.40, Val Loss: 17.15, Test Loss: 17.19
Epoch 24, Train Loss: 17.35, Val Loss: 17.75, Test Loss: 17.77
Epoch 25, Train Loss: 16.54, Val Loss: 16.59, Test Loss: 16.63
Epoch 26, Train Loss: 16.69, Val Loss: 16.84, Test Loss: 16.83
Epoch 27, Train Loss: 16.00, Val Loss: 18.46, Test Loss: 18.53
Epoch 28, Train Loss: 16.05, Val Loss: 16.09, Test Loss: 16.08
Epoch 29, Train Loss: 15.32, Val Loss: 15.90, Test Loss: 15.93
Epoch 30, Train Loss: 15.46, Val Loss: 15.52, Test Loss: 15.50
Epoch 31, Train Loss: 14.72, Val Loss: 15.30, Test Loss: 15.29
Epoch 32, Train Loss: 14.39, Val Loss: 14.89, Test Loss: 14.84
Epoch 33, Train Loss: 14.10, Val Loss: 14.54, Test Loss: 14.48
Epoch 34, Train Loss: 13.79, Val Loss: 14.78, Test Loss: 14.67
Epoch 35, Train Loss: 13.68, Val Loss: 13.80, Test Loss: 13.75
Epoch 36, Train Loss: 13.10, Val Loss: 13.66, Test Loss: 13.59
Epoch 37, Train Loss: 12.87, Val Loss: 13.43, Test Loss: 13.39
Epoch 38, Train Loss: 12.73, Val Loss: 13.30, Test Loss: 13.25
Epoch 39, Train Loss: 12.47, Val Loss: 13.19, Test Loss: 13.14
Epoch 40, Train Loss: 12.34, Val Loss: 12.95, Test Loss: 12.90
Epoch 41, Train Loss: 12.16, Val Loss: 13.02, Test Loss: 12.95
Epoch 42, Train Loss: 12.12, Val Loss: 12.76, Test Loss: 12.72
Epoch 43, Train Loss: 11.85, Val Loss: 12.82, Test Loss: 12.77
Epoch 44, Train Loss: 11.80, Val Loss: 12.47, Test Loss: 12.46
Epoch 45, Train Loss: 11.68, Val Loss: 12.30, Test Loss: 12.25
Epoch 46, Train Loss: 11.43, Val Loss: 12.23, Test Loss: 12.18
Epoch 47, Train Loss: 11.39, Val Loss: 12.10, Test Loss: 12.05
Epoch 48, Train Loss: 11.22, Val Loss: 12.12, Test Loss: 12.04
Epoch 49, Train Loss: 11.18, Val Loss: 11.88, Test Loss: 11.83
Epoch 50, Train Loss: 10.89, Val Loss: 11.82, Test Loss: 11.77
Epoch 51, Train Loss: 10.74, Val Loss: 11.95, Test Loss: 11.93
Epoch 52, Train Loss: 10.63, Val Loss: 11.66, Test Loss: 11.62
Epoch 53, Train Loss: 10.94, Val Loss: 12.22, Test Loss: 12.25
Epoch 54, Train Loss: 10.61, Val Loss: 11.53, Test Loss: 11.51
Epoch 55, Train Loss: 10.32, Val Loss: 11.32, Test Loss: 11.30
Epoch 56, Train Loss: 10.21, Val Loss: 11.40, Test Loss: 11.42
Epoch 57, Train Loss: 10.12, Val Loss: 11.33, Test Loss: 11.35
Epoch 58, Train Loss: 10.18, Val Loss: 11.28, Test Loss: 11.26
Epoch 59, Train Loss: 9.99, Val Loss: 11.17, Test Loss: 11.14
Epoch 60, Train Loss: 10.02, Val Loss: 11.27, Test Loss: 11.23
Epoch 61, Train Loss: 9.90, Val Loss: 11.07, Test Loss: 11.06
Epoch 62, Train Loss: 9.78, Val Loss: 11.16, Test Loss: 11.15
Epoch 63, Train Loss: 9.74, Val Loss: 11.05, Test Loss: 11.04
Epoch 64, Train Loss: 9.78, Val Loss: 10.96, Test Loss: 10.90
Epoch 65, Train Loss: 9.65, Val Loss: 10.90, Test Loss: 10.87
Epoch 66, Train Loss: 9.64, Val Loss: 11.24, Test Loss: 11.19
Epoch 67, Train Loss: 9.64, Val Loss: 10.98, Test Loss: 10.92
Epoch 68, Train Loss: 9.54, Val Loss: 10.90, Test Loss: 10.85
Epoch 69, Train Loss: 9.44, Val Loss: 10.89, Test Loss: 10.83
