Epoch 0, Train Loss: 31.78, Val Loss: 28.31, Test Loss: 28.32
Epoch 1, Train Loss: 26.85, Val Loss: 25.86, Test Loss: 25.81
Epoch 2, Train Loss: 25.36, Val Loss: 24.85, Test Loss: 24.80
Epoch 3, Train Loss: 24.31, Val Loss: 23.84, Test Loss: 23.83
Epoch 4, Train Loss: 23.48, Val Loss: 23.09, Test Loss: 23.09
Epoch 5, Train Loss: 23.02, Val Loss: 23.69, Test Loss: 23.71
Epoch 6, Train Loss: 22.63, Val Loss: 22.60, Test Loss: 22.61
Epoch 7, Train Loss: 22.14, Val Loss: 21.97, Test Loss: 22.00
Epoch 8, Train Loss: 21.64, Val Loss: 21.36, Test Loss: 21.37
Epoch 9, Train Loss: 21.11, Val Loss: 21.83, Test Loss: 21.83
Epoch 10, Train Loss: 20.78, Val Loss: 20.45, Test Loss: 20.43
Epoch 11, Train Loss: 20.25, Val Loss: 20.00, Test Loss: 19.99
Epoch 12, Train Loss: 19.53, Val Loss: 19.27, Test Loss: 19.25
Epoch 13, Train Loss: 18.72, Val Loss: 18.65, Test Loss: 18.65
Epoch 14, Train Loss: 18.13, Val Loss: 18.19, Test Loss: 18.16
Epoch 15, Train Loss: 17.63, Val Loss: 17.94, Test Loss: 17.96
Epoch 16, Train Loss: 17.06, Val Loss: 17.30, Test Loss: 17.28
Epoch 17, Train Loss: 16.70, Val Loss: 16.75, Test Loss: 16.73
Epoch 18, Train Loss: 18.46, Val Loss: 18.32, Test Loss: 18.35
Epoch 19, Train Loss: 16.69, Val Loss: 16.16, Test Loss: 16.15
Epoch 20, Train Loss: 15.52, Val Loss: 15.52, Test Loss: 15.52
Epoch 21, Train Loss: 15.63, Val Loss: 15.12, Test Loss: 15.14
Epoch 22, Train Loss: 14.58, Val Loss: 14.70, Test Loss: 14.71
Epoch 23, Train Loss: 14.25, Val Loss: 14.43, Test Loss: 14.46
Epoch 24, Train Loss: 13.82, Val Loss: 14.12, Test Loss: 14.14
Epoch 25, Train Loss: 13.52, Val Loss: 13.82, Test Loss: 13.85
Epoch 26, Train Loss: 13.23, Val Loss: 13.64, Test Loss: 13.67
Epoch 27, Train Loss: 13.08, Val Loss: 13.48, Test Loss: 13.53
Epoch 28, Train Loss: 12.95, Val Loss: 13.41, Test Loss: 13.44
Epoch 29, Train Loss: 12.54, Val Loss: 13.03, Test Loss: 13.08
Epoch 30, Train Loss: 12.34, Val Loss: 12.78, Test Loss: 12.80
Epoch 31, Train Loss: 12.16, Val Loss: 12.75, Test Loss: 12.74
Epoch 32, Train Loss: 11.94, Val Loss: 12.44, Test Loss: 12.39
Epoch 33, Train Loss: 11.68, Val Loss: 12.28, Test Loss: 12.23
Epoch 34, Train Loss: 11.52, Val Loss: 12.20, Test Loss: 12.21
Epoch 35, Train Loss: 11.40, Val Loss: 12.10, Test Loss: 12.11
Epoch 36, Train Loss: 11.21, Val Loss: 11.80, Test Loss: 11.78
Epoch 37, Train Loss: 10.98, Val Loss: 11.81, Test Loss: 11.81
