Epoch 0, Train Loss: 31.78, Val Loss: 28.34, Test Loss: 28.34
Epoch 1, Train Loss: 26.80, Val Loss: 25.80, Test Loss: 25.78
Epoch 2, Train Loss: 25.35, Val Loss: 24.81, Test Loss: 24.77
Epoch 3, Train Loss: 24.30, Val Loss: 23.81, Test Loss: 23.81
Epoch 4, Train Loss: 23.52, Val Loss: 23.07, Test Loss: 23.09
Epoch 5, Train Loss: 23.45, Val Loss: 22.80, Test Loss: 22.80
Epoch 6, Train Loss: 22.54, Val Loss: 22.77, Test Loss: 22.77
Epoch 7, Train Loss: 22.15, Val Loss: 22.34, Test Loss: 22.40
Epoch 8, Train Loss: 21.66, Val Loss: 21.90, Test Loss: 21.94
Epoch 9, Train Loss: 21.02, Val Loss: 20.72, Test Loss: 20.78
Epoch 10, Train Loss: 20.76, Val Loss: 20.31, Test Loss: 20.32
Epoch 11, Train Loss: 20.34, Val Loss: 19.97, Test Loss: 19.97
Epoch 12, Train Loss: 19.63, Val Loss: 19.60, Test Loss: 19.61
Epoch 13, Train Loss: 19.46, Val Loss: 19.51, Test Loss: 19.51
Epoch 14, Train Loss: 19.56, Val Loss: 20.89, Test Loss: 20.90
Epoch 15, Train Loss: 18.65, Val Loss: 18.22, Test Loss: 18.21
Epoch 16, Train Loss: 18.16, Val Loss: 17.69, Test Loss: 17.67
Epoch 17, Train Loss: 17.76, Val Loss: 17.73, Test Loss: 17.71
Epoch 18, Train Loss: 16.81, Val Loss: 16.77, Test Loss: 16.74
Epoch 19, Train Loss: 16.79, Val Loss: 16.37, Test Loss: 16.34
Epoch 20, Train Loss: 16.92, Val Loss: 17.37, Test Loss: 17.40
Epoch 21, Train Loss: 15.87, Val Loss: 15.81, Test Loss: 15.80
Epoch 22, Train Loss: 16.95, Val Loss: 15.81, Test Loss: 15.80
Epoch 23, Train Loss: 15.14, Val Loss: 15.33, Test Loss: 15.33
Epoch 24, Train Loss: 14.94, Val Loss: 15.20, Test Loss: 15.21
Epoch 25, Train Loss: 14.46, Val Loss: 14.76, Test Loss: 14.76
Epoch 26, Train Loss: 14.19, Val Loss: 14.85, Test Loss: 14.89
Epoch 27, Train Loss: 14.82, Val Loss: 17.87, Test Loss: 17.84
Epoch 28, Train Loss: 14.43, Val Loss: 14.14, Test Loss: 14.14
Epoch 29, Train Loss: 13.47, Val Loss: 13.97, Test Loss: 13.97
Epoch 30, Train Loss: 13.26, Val Loss: 13.83, Test Loss: 13.82
Epoch 31, Train Loss: 13.05, Val Loss: 13.59, Test Loss: 13.59
Epoch 32, Train Loss: 12.85, Val Loss: 13.44, Test Loss: 13.43
