Epoch 0, Train Loss: 31.76, Val Loss: 28.27, Test Loss: 28.28
Epoch 1, Train Loss: 26.90, Val Loss: 26.20, Test Loss: 26.14
Epoch 2, Train Loss: 25.82, Val Loss: 25.64, Test Loss: 25.60
Epoch 3, Train Loss: 25.20, Val Loss: 28.22, Test Loss: 28.29
Epoch 4, Train Loss: 24.40, Val Loss: 23.99, Test Loss: 24.01
Epoch 5, Train Loss: 23.98, Val Loss: 23.36, Test Loss: 23.35
Epoch 6, Train Loss: 23.20, Val Loss: 23.05, Test Loss: 23.04
Epoch 7, Train Loss: 22.84, Val Loss: 23.14, Test Loss: 23.15
Epoch 8, Train Loss: 22.22, Val Loss: 22.12, Test Loss: 22.11
Epoch 9, Train Loss: 22.47, Val Loss: 22.74, Test Loss: 22.69
Epoch 10, Train Loss: 22.11, Val Loss: 21.85, Test Loss: 21.84
Epoch 11, Train Loss: 21.67, Val Loss: 21.56, Test Loss: 21.55
Epoch 12, Train Loss: 21.08, Val Loss: 21.09, Test Loss: 21.11
Epoch 13, Train Loss: 21.80, Val Loss: 21.17, Test Loss: 21.15
Epoch 14, Train Loss: 20.44, Val Loss: 20.58, Test Loss: 20.58
Epoch 15, Train Loss: 20.34, Val Loss: 20.24, Test Loss: 20.23
Epoch 16, Train Loss: 20.39, Val Loss: 19.97, Test Loss: 19.99
Epoch 17, Train Loss: 19.47, Val Loss: 19.66, Test Loss: 19.70
Epoch 18, Train Loss: 20.23, Val Loss: 19.63, Test Loss: 19.68
Epoch 19, Train Loss: 18.91, Val Loss: 19.02, Test Loss: 19.08
Epoch 20, Train Loss: 18.41, Val Loss: 18.43, Test Loss: 18.49
Epoch 21, Train Loss: 17.85, Val Loss: 17.76, Test Loss: 17.83
Epoch 22, Train Loss: 17.92, Val Loss: 17.45, Test Loss: 17.53
Epoch 23, Train Loss: 16.95, Val Loss: 17.27, Test Loss: 17.37
Epoch 24, Train Loss: 16.86, Val Loss: 16.81, Test Loss: 16.87
Epoch 25, Train Loss: 16.29, Val Loss: 16.50, Test Loss: 16.55
Epoch 26, Train Loss: 16.96, Val Loss: 16.87, Test Loss: 16.90
Epoch 27, Train Loss: 16.06, Val Loss: 16.19, Test Loss: 16.21
Epoch 28, Train Loss: 15.63, Val Loss: 15.81, Test Loss: 15.83
Epoch 29, Train Loss: 15.36, Val Loss: 15.73, Test Loss: 15.78
Epoch 30, Train Loss: 15.11, Val Loss: 15.64, Test Loss: 15.72
Epoch 31, Train Loss: 14.72, Val Loss: 14.92, Test Loss: 14.97
Epoch 32, Train Loss: 14.46, Val Loss: 15.15, Test Loss: 15.17
Epoch 33, Train Loss: 14.29, Val Loss: 14.98, Test Loss: 15.02
Epoch 34, Train Loss: 13.95, Val Loss: 14.32, Test Loss: 14.34
Epoch 35, Train Loss: 13.66, Val Loss: 14.03, Test Loss: 14.04
Epoch 36, Train Loss: 13.40, Val Loss: 13.82, Test Loss: 13.79
Epoch 37, Train Loss: 13.14, Val Loss: 14.08, Test Loss: 14.13
Epoch 38, Train Loss: 14.44, Val Loss: 17.84, Test Loss: 17.73
Epoch 39, Train Loss: 13.96, Val Loss: 13.32, Test Loss: 13.27
Epoch 40, Train Loss: 12.66, Val Loss: 13.08, Test Loss: 13.01
Epoch 41, Train Loss: 12.39, Val Loss: 12.89, Test Loss: 12.82
Epoch 42, Train Loss: 12.20, Val Loss: 12.80, Test Loss: 12.70
Epoch 43, Train Loss: 12.04, Val Loss: 12.70, Test Loss: 12.58
Epoch 44, Train Loss: 11.92, Val Loss: 12.56, Test Loss: 12.48
Epoch 45, Train Loss: 11.81, Val Loss: 12.43, Test Loss: 12.36
Epoch 46, Train Loss: 11.58, Val Loss: 12.22, Test Loss: 12.11
Epoch 47, Train Loss: 11.45, Val Loss: 12.15, Test Loss: 12.07
Epoch 48, Train Loss: 11.35, Val Loss: 12.07, Test Loss: 11.94
Epoch 49, Train Loss: 11.41, Val Loss: 12.05, Test Loss: 11.92
Epoch 50, Train Loss: 11.09, Val Loss: 11.81, Test Loss: 11.72
