Epoch 0, Train Loss: 31.37, Val Loss: 27.91, Test Loss: 27.92
Epoch 1, Train Loss: 27.01, Val Loss: 26.34, Test Loss: 26.28
Epoch 2, Train Loss: 25.68, Val Loss: 25.29, Test Loss: 25.24
Epoch 3, Train Loss: 24.95, Val Loss: 24.73, Test Loss: 24.67
Epoch 4, Train Loss: 24.33, Val Loss: 24.00, Test Loss: 23.96
Epoch 5, Train Loss: 23.57, Val Loss: 23.03, Test Loss: 23.00
Epoch 6, Train Loss: 22.52, Val Loss: 22.21, Test Loss: 22.17
Epoch 7, Train Loss: 21.45, Val Loss: 21.21, Test Loss: 21.18
Epoch 8, Train Loss: 20.75, Val Loss: 20.31, Test Loss: 20.27
Epoch 9, Train Loss: 20.15, Val Loss: 19.63, Test Loss: 19.64
Epoch 10, Train Loss: 19.43, Val Loss: 19.34, Test Loss: 19.33
Epoch 11, Train Loss: 18.87, Val Loss: 18.70, Test Loss: 18.70
Epoch 12, Train Loss: 18.40, Val Loss: 18.52, Test Loss: 18.50
Epoch 13, Train Loss: 18.23, Val Loss: 18.56, Test Loss: 18.55
Epoch 14, Train Loss: 17.80, Val Loss: 17.95, Test Loss: 17.93
Epoch 15, Train Loss: 17.54, Val Loss: 17.72, Test Loss: 17.69
Epoch 16, Train Loss: 17.23, Val Loss: 17.55, Test Loss: 17.59
Epoch 17, Train Loss: 17.03, Val Loss: 17.30, Test Loss: 17.30
Epoch 18, Train Loss: 16.76, Val Loss: 17.19, Test Loss: 17.20
Epoch 19, Train Loss: 16.50, Val Loss: 16.61, Test Loss: 16.63
Epoch 20, Train Loss: 16.40, Val Loss: 17.04, Test Loss: 17.06
Epoch 21, Train Loss: 16.10, Val Loss: 16.27, Test Loss: 16.29
Epoch 22, Train Loss: 15.69, Val Loss: 17.41, Test Loss: 17.41
Epoch 23, Train Loss: 15.88, Val Loss: 15.76, Test Loss: 15.79
Epoch 24, Train Loss: 15.13, Val Loss: 15.73, Test Loss: 15.81
Epoch 25, Train Loss: 14.93, Val Loss: 15.23, Test Loss: 15.24
Epoch 26, Train Loss: 14.58, Val Loss: 15.17, Test Loss: 15.18
Epoch 27, Train Loss: 14.36, Val Loss: 14.80, Test Loss: 14.78
Epoch 28, Train Loss: 14.00, Val Loss: 14.20, Test Loss: 14.21
Epoch 29, Train Loss: 13.53, Val Loss: 14.00, Test Loss: 14.02
Epoch 30, Train Loss: 13.42, Val Loss: 13.72, Test Loss: 13.69
