Epoch 0, Train Loss: 24.81, Val Loss: 17.55, Test Loss: 17.45
Epoch 1, Train Loss: 16.24, Val Loss: 15.04, Test Loss: 14.96
Epoch 2, Train Loss: 15.30, Val Loss: 14.18, Test Loss: 14.10
Epoch 3, Train Loss: 15.04, Val Loss: 14.66, Test Loss: 14.57
Epoch 4, Train Loss: 15.31, Val Loss: 14.62, Test Loss: 14.67
Epoch 5, Train Loss: 15.22, Val Loss: 15.03, Test Loss: 14.97
Epoch 6, Train Loss: 15.31, Val Loss: 19.15, Test Loss: 19.05
Epoch 7, Train Loss: 15.18, Val Loss: 15.71, Test Loss: 15.64
Epoch     9: reducing learning rate of group 0 to 7.5000e-03.
Epoch 8, Train Loss: 15.36, Val Loss: 15.42, Test Loss: 15.30
Epoch 9, Train Loss: 13.70, Val Loss: 13.69, Test Loss: 13.61
Epoch 10, Train Loss: 13.75, Val Loss: 13.59, Test Loss: 13.55
Epoch 11, Train Loss: 13.81, Val Loss: 14.61, Test Loss: 14.61
Epoch 12, Train Loss: 13.84, Val Loss: 14.13, Test Loss: 14.15
Epoch 13, Train Loss: 13.74, Val Loss: 14.08, Test Loss: 14.03
Epoch 14, Train Loss: 14.22, Val Loss: 14.24, Test Loss: 14.19
Epoch 15, Train Loss: 13.96, Val Loss: 13.81, Test Loss: 13.79
Epoch 16, Train Loss: 14.29, Val Loss: 13.57, Test Loss: 13.47
Epoch 17, Train Loss: 13.99, Val Loss: 15.86, Test Loss: 15.88
Epoch 18, Train Loss: 14.30, Val Loss: 13.05, Test Loss: 12.97
Epoch 19, Train Loss: 14.25, Val Loss: 16.29, Test Loss: 16.19
Epoch 20, Train Loss: 14.41, Val Loss: 14.12, Test Loss: 14.07
Epoch 21, Train Loss: 14.09, Val Loss: 15.24, Test Loss: 15.19
Epoch 22, Train Loss: 14.81, Val Loss: 13.97, Test Loss: 13.92
Epoch 23, Train Loss: 14.47, Val Loss: 16.64, Test Loss: 16.57
Epoch    25: reducing learning rate of group 0 to 5.6250e-03.
Epoch 24, Train Loss: 15.12, Val Loss: 14.72, Test Loss: 14.56
Epoch 25, Train Loss: 13.68, Val Loss: 13.73, Test Loss: 13.59
Epoch 26, Train Loss: 13.51, Val Loss: 14.39, Test Loss: 14.26
Epoch 27, Train Loss: 13.56, Val Loss: 14.05, Test Loss: 13.94
Epoch 28, Train Loss: 13.41, Val Loss: 12.97, Test Loss: 12.87
Epoch 29, Train Loss: 13.33, Val Loss: 13.73, Test Loss: 13.67
Epoch 30, Train Loss: 13.52, Val Loss: 13.21, Test Loss: 13.09
Epoch 31, Train Loss: 13.67, Val Loss: 13.38, Test Loss: 13.22
Epoch 32, Train Loss: 13.38, Val Loss: 12.91, Test Loss: 12.85
Epoch 33, Train Loss: 13.43, Val Loss: 13.43, Test Loss: 13.29
Epoch 34, Train Loss: 13.37, Val Loss: 13.20, Test Loss: 13.12
Epoch 35, Train Loss: 13.50, Val Loss: 12.85, Test Loss: 12.74
Epoch 36, Train Loss: 13.62, Val Loss: 13.18, Test Loss: 13.10
Epoch 37, Train Loss: 13.72, Val Loss: 13.33, Test Loss: 13.26
Epoch 38, Train Loss: 13.93, Val Loss: 14.40, Test Loss: 14.39
Epoch 39, Train Loss: 14.04, Val Loss: 15.99, Test Loss: 15.90
Epoch 40, Train Loss: 13.96, Val Loss: 14.40, Test Loss: 14.34
Epoch    42: reducing learning rate of group 0 to 4.2188e-03.
Epoch 41, Train Loss: 13.73, Val Loss: 13.24, Test Loss: 13.11
Epoch 42, Train Loss: 12.78, Val Loss: 13.32, Test Loss: 13.22
Epoch 43, Train Loss: 12.92, Val Loss: 12.79, Test Loss: 12.59
Epoch 44, Train Loss: 12.71, Val Loss: 12.46, Test Loss: 12.31
Epoch 45, Train Loss: 12.75, Val Loss: 12.78, Test Loss: 12.68
Epoch 46, Train Loss: 12.88, Val Loss: 12.44, Test Loss: 12.38
Epoch 47, Train Loss: 12.65, Val Loss: 12.71, Test Loss: 12.60
Epoch 48, Train Loss: 12.72, Val Loss: 12.84, Test Loss: 12.69
Epoch 49, Train Loss: 12.68, Val Loss: 12.47, Test Loss: 12.38
Epoch 50, Train Loss: 12.85, Val Loss: 12.78, Test Loss: 12.67
Epoch 51, Train Loss: 12.67, Val Loss: 13.09, Test Loss: 13.00
Epoch 52, Train Loss: 12.83, Val Loss: 12.36, Test Loss: 12.28
Epoch 53, Train Loss: 12.70, Val Loss: 12.34, Test Loss: 12.27
Epoch 54, Train Loss: 12.41, Val Loss: 13.34, Test Loss: 13.18
Epoch 55, Train Loss: 12.44, Val Loss: 12.02, Test Loss: 11.97
Epoch 56, Train Loss: 12.68, Val Loss: 12.36, Test Loss: 12.28
Epoch 57, Train Loss: 12.36, Val Loss: 13.12, Test Loss: 13.04
Epoch 58, Train Loss: 12.44, Val Loss: 12.94, Test Loss: 12.80
Epoch 59, Train Loss: 12.83, Val Loss: 11.96, Test Loss: 11.87
Epoch 60, Train Loss: 12.28, Val Loss: 12.31, Test Loss: 12.27
Epoch 61, Train Loss: 12.48, Val Loss: 13.02, Test Loss: 12.93
Epoch 62, Train Loss: 12.41, Val Loss: 12.79, Test Loss: 12.71
Epoch 63, Train Loss: 12.45, Val Loss: 12.27, Test Loss: 12.19
Epoch 64, Train Loss: 12.38, Val Loss: 13.63, Test Loss: 13.58
Epoch    66: reducing learning rate of group 0 to 3.1641e-03.
Epoch 65, Train Loss: 12.30, Val Loss: 12.15, Test Loss: 12.07
Epoch 66, Train Loss: 11.86, Val Loss: 11.87, Test Loss: 11.76
Epoch 67, Train Loss: 11.81, Val Loss: 12.68, Test Loss: 12.67
Epoch 68, Train Loss: 11.86, Val Loss: 11.96, Test Loss: 11.88
Epoch 69, Train Loss: 11.94, Val Loss: 12.14, Test Loss: 12.02
Epoch 70, Train Loss: 11.84, Val Loss: 11.54, Test Loss: 11.44
Epoch 71, Train Loss: 11.71, Val Loss: 11.78, Test Loss: 11.70
Epoch 72, Train Loss: 11.70, Val Loss: 11.70, Test Loss: 11.59
Epoch 73, Train Loss: 11.76, Val Loss: 12.08, Test Loss: 11.96
Epoch 74, Train Loss: 11.62, Val Loss: 11.54, Test Loss: 11.44
Epoch 75, Train Loss: 11.59, Val Loss: 11.80, Test Loss: 11.72
Epoch    77: reducing learning rate of group 0 to 2.3730e-03.
Epoch 76, Train Loss: 11.65, Val Loss: 11.60, Test Loss: 11.50
Epoch 77, Train Loss: 11.21, Val Loss: 11.25, Test Loss: 11.18
Epoch 78, Train Loss: 11.14, Val Loss: 11.19, Test Loss: 11.11
Epoch 79, Train Loss: 11.10, Val Loss: 11.19, Test Loss: 11.14
Epoch 80, Train Loss: 11.10, Val Loss: 11.31, Test Loss: 11.27
Epoch 81, Train Loss: 11.12, Val Loss: 12.20, Test Loss: 12.19
Epoch 82, Train Loss: 11.11, Val Loss: 11.05, Test Loss: 10.97
Epoch 83, Train Loss: 11.04, Val Loss: 10.94, Test Loss: 10.88
Epoch 84, Train Loss: 11.09, Val Loss: 11.31, Test Loss: 11.28
Epoch 85, Train Loss: 11.11, Val Loss: 11.14, Test Loss: 11.10
Epoch 86, Train Loss: 11.07, Val Loss: 11.16, Test Loss: 11.12
Epoch 87, Train Loss: 11.05, Val Loss: 11.00, Test Loss: 10.96
Epoch 88, Train Loss: 11.04, Val Loss: 10.91, Test Loss: 10.87
Epoch 89, Train Loss: 11.16, Val Loss: 11.16, Test Loss: 11.12
Epoch 90, Train Loss: 11.10, Val Loss: 11.06, Test Loss: 11.03
Epoch 91, Train Loss: 11.11, Val Loss: 11.11, Test Loss: 11.05
Epoch 92, Train Loss: 11.03, Val Loss: 11.12, Test Loss: 11.07
Epoch 93, Train Loss: 11.04, Val Loss: 11.80, Test Loss: 11.78
Epoch    95: reducing learning rate of group 0 to 1.7798e-03.
Epoch 94, Train Loss: 11.03, Val Loss: 11.11, Test Loss: 11.05
Epoch 95, Train Loss: 10.67, Val Loss: 10.87, Test Loss: 10.84
Epoch 96, Train Loss: 10.67, Val Loss: 10.68, Test Loss: 10.62
Epoch 97, Train Loss: 10.70, Val Loss: 10.97, Test Loss: 10.92
Epoch 98, Train Loss: 10.69, Val Loss: 10.87, Test Loss: 10.79
Epoch 99, Train Loss: 10.69, Val Loss: 10.77, Test Loss: 10.71
Epoch 100, Train Loss: 10.66, Val Loss: 10.66, Test Loss: 10.62
Epoch 101, Train Loss: 10.64, Val Loss: 10.73, Test Loss: 10.68
Epoch 102, Train Loss: 10.65, Val Loss: 10.83, Test Loss: 10.79
Epoch 103, Train Loss: 10.70, Val Loss: 10.78, Test Loss: 10.75
Epoch 104, Train Loss: 10.66, Val Loss: 10.74, Test Loss: 10.70
Epoch 105, Train Loss: 10.63, Val Loss: 10.74, Test Loss: 10.67
Epoch 106, Train Loss: 10.65, Val Loss: 10.63, Test Loss: 10.59
Epoch 107, Train Loss: 10.72, Val Loss: 10.67, Test Loss: 10.63
Epoch 108, Train Loss: 10.64, Val Loss: 10.78, Test Loss: 10.71
Epoch 109, Train Loss: 10.62, Val Loss: 10.83, Test Loss: 10.77
Epoch 110, Train Loss: 10.63, Val Loss: 10.78, Test Loss: 10.73
Epoch 111, Train Loss: 10.67, Val Loss: 10.70, Test Loss: 10.67
Epoch 112, Train Loss: 10.62, Val Loss: 10.61, Test Loss: 10.54
Epoch 113, Train Loss: 10.65, Val Loss: 10.89, Test Loss: 10.81
Epoch 114, Train Loss: 10.58, Val Loss: 10.56, Test Loss: 10.51
Epoch 115, Train Loss: 10.55, Val Loss: 10.65, Test Loss: 10.60
Epoch 116, Train Loss: 10.58, Val Loss: 10.96, Test Loss: 10.90
Epoch 117, Train Loss: 10.57, Val Loss: 10.70, Test Loss: 10.62
Epoch 118, Train Loss: 10.58, Val Loss: 10.76, Test Loss: 10.73
Epoch 119, Train Loss: 10.52, Val Loss: 10.74, Test Loss: 10.70
Epoch   121: reducing learning rate of group 0 to 1.3348e-03.
Epoch 120, Train Loss: 10.58, Val Loss: 10.70, Test Loss: 10.62
Epoch 121, Train Loss: 10.30, Val Loss: 10.37, Test Loss: 10.32
Epoch 122, Train Loss: 10.31, Val Loss: 10.38, Test Loss: 10.36
Epoch 123, Train Loss: 10.30, Val Loss: 10.38, Test Loss: 10.36
Epoch 124, Train Loss: 10.30, Val Loss: 10.37, Test Loss: 10.33
Epoch 125, Train Loss: 10.31, Val Loss: 10.39, Test Loss: 10.36
Epoch 126, Train Loss: 10.28, Val Loss: 10.39, Test Loss: 10.36
Epoch 127, Train Loss: 10.28, Val Loss: 10.27, Test Loss: 10.23
Epoch 128, Train Loss: 10.29, Val Loss: 10.39, Test Loss: 10.35
Epoch 129, Train Loss: 10.29, Val Loss: 10.45, Test Loss: 10.40
Epoch 130, Train Loss: 10.27, Val Loss: 10.47, Test Loss: 10.44
Epoch 131, Train Loss: 10.25, Val Loss: 10.33, Test Loss: 10.31
Epoch 132, Train Loss: 10.26, Val Loss: 10.56, Test Loss: 10.53
Epoch   134: reducing learning rate of group 0 to 1.0011e-03.
Epoch 133, Train Loss: 10.26, Val Loss: 10.47, Test Loss: 10.43
Epoch 134, Train Loss: 10.11, Val Loss: 10.19, Test Loss: 10.14
Epoch 135, Train Loss: 10.08, Val Loss: 10.17, Test Loss: 10.13
Epoch 136, Train Loss: 10.09, Val Loss: 10.16, Test Loss: 10.10
Epoch 137, Train Loss: 10.08, Val Loss: 10.23, Test Loss: 10.18
Epoch 138, Train Loss: 10.09, Val Loss: 10.16, Test Loss: 10.13
Epoch 139, Train Loss: 10.06, Val Loss: 10.26, Test Loss: 10.24
Epoch 140, Train Loss: 10.09, Val Loss: 10.21, Test Loss: 10.19
Epoch 141, Train Loss: 10.08, Val Loss: 10.31, Test Loss: 10.28
Epoch   143: reducing learning rate of group 0 to 7.5085e-04.
Epoch 142, Train Loss: 10.07, Val Loss: 10.21, Test Loss: 10.18
Epoch 143, Train Loss: 9.95, Val Loss: 10.10, Test Loss: 10.05
Epoch 144, Train Loss: 9.93, Val Loss: 10.11, Test Loss: 10.07
Epoch 145, Train Loss: 9.94, Val Loss: 10.07, Test Loss: 10.03
Epoch 146, Train Loss: 9.93, Val Loss: 10.08, Test Loss: 10.05
Epoch 147, Train Loss: 9.93, Val Loss: 10.09, Test Loss: 10.04
Epoch 148, Train Loss: 9.92, Val Loss: 10.10, Test Loss: 10.07
Epoch 149, Train Loss: 9.92, Val Loss: 10.05, Test Loss: 10.01
Epoch 150, Train Loss: 9.94, Val Loss: 10.10, Test Loss: 10.08
Epoch 151, Train Loss: 9.91, Val Loss: 10.28, Test Loss: 10.23
Epoch 152, Train Loss: 9.92, Val Loss: 10.05, Test Loss: 10.01
Epoch 153, Train Loss: 9.92, Val Loss: 10.19, Test Loss: 10.17
Epoch 154, Train Loss: 9.91, Val Loss: 10.04, Test Loss: 9.98
Epoch 155, Train Loss: 9.92, Val Loss: 10.11, Test Loss: 10.07
Epoch 156, Train Loss: 9.91, Val Loss: 10.02, Test Loss: 10.00
Epoch 157, Train Loss: 9.92, Val Loss: 10.08, Test Loss: 10.04
