Epoch 0, Train Loss: 554.99, Val Loss: 422.48, Test Loss: 415.47
Epoch 1, Train Loss: 375.24, Val Loss: 344.21, Test Loss: 339.83
Epoch 2, Train Loss: 317.34, Val Loss: 312.48, Test Loss: 310.48
Epoch 3, Train Loss: 285.13, Val Loss: 272.83, Test Loss: 270.34
Epoch 4, Train Loss: 265.61, Val Loss: 264.93, Test Loss: 261.12
Epoch 5, Train Loss: 256.29, Val Loss: 258.99, Test Loss: 255.15
Epoch 6, Train Loss: 242.62, Val Loss: 252.17, Test Loss: 247.61
Epoch 7, Train Loss: 244.82, Val Loss: 268.71, Test Loss: 264.73
Epoch 8, Train Loss: 242.46, Val Loss: 238.57, Test Loss: 237.20
Epoch 9, Train Loss: 232.18, Val Loss: 246.00, Test Loss: 244.35
Epoch 10, Train Loss: 229.29, Val Loss: 232.79, Test Loss: 233.83
Epoch 11, Train Loss: 226.86, Val Loss: 239.49, Test Loss: 233.94
Epoch 12, Train Loss: 226.48, Val Loss: 248.06, Test Loss: 242.81
Epoch 13, Train Loss: 236.62, Val Loss: 233.68, Test Loss: 231.17
Epoch 14, Train Loss: 221.05, Val Loss: 232.34, Test Loss: 230.03
Epoch 15, Train Loss: 228.04, Val Loss: 237.53, Test Loss: 233.52
Epoch 16, Train Loss: 222.77, Val Loss: 239.45, Test Loss: 236.58
Epoch 17, Train Loss: 220.11, Val Loss: 253.81, Test Loss: 250.42
Epoch 18, Train Loss: 221.28, Val Loss: 221.86, Test Loss: 218.93
Epoch 19, Train Loss: 214.32, Val Loss: 223.18, Test Loss: 219.75
Epoch 20, Train Loss: 210.55, Val Loss: 238.81, Test Loss: 234.64
Epoch 21, Train Loss: 225.40, Val Loss: 247.17, Test Loss: 242.54
Epoch 22, Train Loss: 219.61, Val Loss: 225.49, Test Loss: 223.40
Epoch 23, Train Loss: 206.26, Val Loss: 210.70, Test Loss: 211.20
Epoch 24, Train Loss: 211.10, Val Loss: 230.23, Test Loss: 226.63
Epoch 25, Train Loss: 226.84, Val Loss: 240.21, Test Loss: 237.83
Epoch 26, Train Loss: 215.17, Val Loss: 229.61, Test Loss: 225.21
Epoch 27, Train Loss: 212.28, Val Loss: 223.14, Test Loss: 222.23
Epoch 28, Train Loss: 213.00, Val Loss: 248.98, Test Loss: 248.57
Epoch    30: reducing learning rate of group 0 to 7.5000e-03.
Epoch 29, Train Loss: 217.10, Val Loss: 224.45, Test Loss: 221.43
Epoch 30, Train Loss: 197.92, Val Loss: 200.92, Test Loss: 197.86
Epoch 31, Train Loss: 187.61, Val Loss: 201.69, Test Loss: 198.25
Epoch 32, Train Loss: 187.21, Val Loss: 199.67, Test Loss: 195.31
Epoch 33, Train Loss: 188.41, Val Loss: 207.18, Test Loss: 202.43
Epoch 34, Train Loss: 191.68, Val Loss: 207.73, Test Loss: 205.19
Epoch 35, Train Loss: 194.78, Val Loss: 247.40, Test Loss: 235.25
Epoch 36, Train Loss: 196.40, Val Loss: 207.26, Test Loss: 200.55
Epoch 37, Train Loss: 185.29, Val Loss: 230.15, Test Loss: 225.53
Epoch    39: reducing learning rate of group 0 to 5.6250e-03.
Epoch 38, Train Loss: 194.19, Val Loss: 221.28, Test Loss: 219.16
Epoch 39, Train Loss: 183.19, Val Loss: 196.41, Test Loss: 192.73
Epoch 40, Train Loss: 180.04, Val Loss: 203.27, Test Loss: 197.28
Epoch 41, Train Loss: 179.94, Val Loss: 192.53, Test Loss: 186.64
Epoch 42, Train Loss: 174.50, Val Loss: 192.29, Test Loss: 189.87
Epoch 43, Train Loss: 171.54, Val Loss: 191.81, Test Loss: 189.20
Epoch 44, Train Loss: 171.44, Val Loss: 190.89, Test Loss: 186.91
Epoch 45, Train Loss: 176.99, Val Loss: 205.69, Test Loss: 202.50
Epoch 46, Train Loss: 183.11, Val Loss: 194.51, Test Loss: 192.02
Epoch 47, Train Loss: 175.12, Val Loss: 192.74, Test Loss: 187.41
Epoch 48, Train Loss: 169.66, Val Loss: 190.84, Test Loss: 187.70
Epoch 49, Train Loss: 172.84, Val Loss: 199.10, Test Loss: 194.67
Epoch 50, Train Loss: 176.46, Val Loss: 195.09, Test Loss: 190.41
Epoch 51, Train Loss: 174.07, Val Loss: 194.14, Test Loss: 186.90
Epoch 52, Train Loss: 179.00, Val Loss: 199.97, Test Loss: 193.31
Epoch 53, Train Loss: 173.08, Val Loss: 202.78, Test Loss: 196.95
Epoch    55: reducing learning rate of group 0 to 4.2188e-03.
Epoch 54, Train Loss: 174.80, Val Loss: 191.25, Test Loss: 187.99
Epoch 55, Train Loss: 165.70, Val Loss: 188.83, Test Loss: 187.48
Epoch 56, Train Loss: 163.22, Val Loss: 186.06, Test Loss: 184.10
Epoch 57, Train Loss: 160.85, Val Loss: 188.19, Test Loss: 181.95
Epoch 58, Train Loss: 160.17, Val Loss: 186.37, Test Loss: 182.40
Epoch 59, Train Loss: 159.82, Val Loss: 186.95, Test Loss: 180.27
Epoch 60, Train Loss: 159.37, Val Loss: 186.68, Test Loss: 179.22
Epoch 61, Train Loss: 160.35, Val Loss: 186.84, Test Loss: 179.94
Epoch    63: reducing learning rate of group 0 to 3.1641e-03.
Epoch 62, Train Loss: 161.97, Val Loss: 186.05, Test Loss: 180.12
Epoch 63, Train Loss: 155.20, Val Loss: 179.51, Test Loss: 177.34
Epoch 64, Train Loss: 153.42, Val Loss: 182.87, Test Loss: 177.01
Epoch 65, Train Loss: 152.82, Val Loss: 182.83, Test Loss: 177.59
Epoch 66, Train Loss: 151.75, Val Loss: 177.54, Test Loss: 174.87
Epoch 67, Train Loss: 151.34, Val Loss: 179.24, Test Loss: 174.90
Epoch 68, Train Loss: 152.15, Val Loss: 180.85, Test Loss: 174.27
Epoch 69, Train Loss: 151.47, Val Loss: 180.98, Test Loss: 175.03
Epoch 70, Train Loss: 151.10, Val Loss: 179.08, Test Loss: 175.07
Epoch 71, Train Loss: 156.61, Val Loss: 188.52, Test Loss: 181.47
Epoch    73: reducing learning rate of group 0 to 2.3730e-03.
Epoch 72, Train Loss: 151.40, Val Loss: 181.92, Test Loss: 178.27
Epoch 73, Train Loss: 145.81, Val Loss: 177.90, Test Loss: 172.04
Epoch 74, Train Loss: 145.09, Val Loss: 179.80, Test Loss: 174.55
Epoch 75, Train Loss: 144.54, Val Loss: 178.73, Test Loss: 173.31
Epoch 76, Train Loss: 144.79, Val Loss: 182.83, Test Loss: 176.46
Epoch 77, Train Loss: 143.73, Val Loss: 180.26, Test Loss: 175.66
Epoch    79: reducing learning rate of group 0 to 1.7798e-03.
Epoch 78, Train Loss: 143.81, Val Loss: 180.45, Test Loss: 174.90
Epoch 79, Train Loss: 140.32, Val Loss: 180.08, Test Loss: 174.69
Epoch 80, Train Loss: 139.84, Val Loss: 180.42, Test Loss: 174.62
Epoch 81, Train Loss: 139.44, Val Loss: 180.17, Test Loss: 173.76
Epoch 82, Train Loss: 138.94, Val Loss: 180.69, Test Loss: 175.04
Epoch 83, Train Loss: 139.01, Val Loss: 180.13, Test Loss: 174.19
Epoch    85: reducing learning rate of group 0 to 1.3348e-03.
Epoch 84, Train Loss: 138.11, Val Loss: 180.85, Test Loss: 175.06
Epoch 85, Train Loss: 135.92, Val Loss: 182.19, Test Loss: 174.94
Epoch 86, Train Loss: 135.47, Val Loss: 180.83, Test Loss: 175.04
Epoch 87, Train Loss: 135.23, Val Loss: 181.69, Test Loss: 177.18
Epoch 88, Train Loss: 134.83, Val Loss: 180.87, Test Loss: 174.24
Epoch 89, Train Loss: 134.67, Val Loss: 182.29, Test Loss: 174.63
Epoch    91: reducing learning rate of group 0 to 1.0011e-03.
Epoch 90, Train Loss: 133.96, Val Loss: 184.20, Test Loss: 177.11
Epoch 91, Train Loss: 132.52, Val Loss: 182.21, Test Loss: 175.96
Epoch 92, Train Loss: 131.80, Val Loss: 182.93, Test Loss: 175.95
Epoch 93, Train Loss: 131.50, Val Loss: 182.26, Test Loss: 176.63
Epoch 94, Train Loss: 131.52, Val Loss: 184.20, Test Loss: 175.75
Epoch 95, Train Loss: 130.96, Val Loss: 183.74, Test Loss: 175.75
Epoch    97: reducing learning rate of group 0 to 7.5085e-04.
Epoch 96, Train Loss: 130.78, Val Loss: 183.34, Test Loss: 175.98
Epoch 97, Train Loss: 129.24, Val Loss: 184.86, Test Loss: 177.24
Epoch 98, Train Loss: 128.84, Val Loss: 184.22, Test Loss: 178.08
Epoch 99, Train Loss: 128.50, Val Loss: 187.27, Test Loss: 180.11
