Epoch 0, Train Loss: 535.89, Val Loss: 401.63, Test Loss: 405.27
Epoch 1, Train Loss: 359.77, Val Loss: 329.60, Test Loss: 330.34
Epoch 2, Train Loss: 299.91, Val Loss: 293.38, Test Loss: 292.98
Epoch 3, Train Loss: 272.34, Val Loss: 279.85, Test Loss: 283.64
Epoch 4, Train Loss: 256.23, Val Loss: 261.79, Test Loss: 266.20
Epoch 5, Train Loss: 245.05, Val Loss: 251.46, Test Loss: 255.52
Epoch 6, Train Loss: 233.66, Val Loss: 238.91, Test Loss: 244.56
Epoch 7, Train Loss: 236.15, Val Loss: 241.10, Test Loss: 246.46
Epoch 8, Train Loss: 231.98, Val Loss: 234.90, Test Loss: 241.06
Epoch 9, Train Loss: 226.51, Val Loss: 225.80, Test Loss: 231.55
Epoch 10, Train Loss: 222.18, Val Loss: 230.69, Test Loss: 234.70
Epoch 11, Train Loss: 223.41, Val Loss: 233.43, Test Loss: 239.05
Epoch 12, Train Loss: 223.01, Val Loss: 235.95, Test Loss: 237.58
Epoch 13, Train Loss: 218.59, Val Loss: 221.55, Test Loss: 223.81
Epoch 14, Train Loss: 214.02, Val Loss: 227.24, Test Loss: 231.26
Epoch 15, Train Loss: 222.40, Val Loss: 232.18, Test Loss: 231.66
Epoch 16, Train Loss: 220.00, Val Loss: 223.36, Test Loss: 227.31
Epoch 17, Train Loss: 214.05, Val Loss: 219.26, Test Loss: 222.20
Epoch 18, Train Loss: 219.81, Val Loss: 235.38, Test Loss: 242.57
Epoch 19, Train Loss: 235.98, Val Loss: 226.34, Test Loss: 231.63
Epoch 20, Train Loss: 211.99, Val Loss: 219.43, Test Loss: 224.63
Epoch 21, Train Loss: 212.25, Val Loss: 252.64, Test Loss: 257.15
Epoch 22, Train Loss: 220.21, Val Loss: 230.87, Test Loss: 232.75
Epoch    24: reducing learning rate of group 0 to 7.5000e-03.
Epoch 23, Train Loss: 213.79, Val Loss: 231.45, Test Loss: 231.57
Epoch 24, Train Loss: 195.73, Val Loss: 202.20, Test Loss: 205.83
Epoch 25, Train Loss: 197.38, Val Loss: 212.32, Test Loss: 214.89
Epoch 26, Train Loss: 195.97, Val Loss: 206.69, Test Loss: 207.47
Epoch 27, Train Loss: 201.06, Val Loss: 216.17, Test Loss: 217.30
Epoch 28, Train Loss: 202.05, Val Loss: 210.12, Test Loss: 215.69
Epoch 29, Train Loss: 196.23, Val Loss: 212.91, Test Loss: 217.70
Epoch    31: reducing learning rate of group 0 to 5.6250e-03.
Epoch 30, Train Loss: 193.41, Val Loss: 211.11, Test Loss: 212.94
Epoch 31, Train Loss: 184.10, Val Loss: 199.08, Test Loss: 202.90
Epoch 32, Train Loss: 182.30, Val Loss: 198.85, Test Loss: 202.58
Epoch 33, Train Loss: 178.65, Val Loss: 198.05, Test Loss: 199.78
Epoch 34, Train Loss: 179.58, Val Loss: 195.32, Test Loss: 197.46
Epoch 35, Train Loss: 180.26, Val Loss: 200.62, Test Loss: 204.67
Epoch 36, Train Loss: 182.85, Val Loss: 198.74, Test Loss: 202.01
Epoch 37, Train Loss: 186.51, Val Loss: 203.22, Test Loss: 204.96
Epoch 38, Train Loss: 180.46, Val Loss: 202.54, Test Loss: 202.65
Epoch 39, Train Loss: 180.25, Val Loss: 200.57, Test Loss: 200.10
Epoch    41: reducing learning rate of group 0 to 4.2188e-03.
Epoch 40, Train Loss: 180.49, Val Loss: 198.60, Test Loss: 201.14
Epoch 41, Train Loss: 172.33, Val Loss: 193.00, Test Loss: 196.12
Epoch 42, Train Loss: 169.99, Val Loss: 192.84, Test Loss: 195.07
Epoch 43, Train Loss: 170.74, Val Loss: 191.65, Test Loss: 194.40
Epoch 44, Train Loss: 169.32, Val Loss: 196.27, Test Loss: 200.10
Epoch 45, Train Loss: 169.08, Val Loss: 192.52, Test Loss: 193.01
Epoch 46, Train Loss: 169.94, Val Loss: 197.81, Test Loss: 197.11
Epoch 47, Train Loss: 169.21, Val Loss: 198.56, Test Loss: 197.11
Epoch 48, Train Loss: 176.24, Val Loss: 203.18, Test Loss: 208.24
Epoch    50: reducing learning rate of group 0 to 3.1641e-03.
Epoch 49, Train Loss: 170.06, Val Loss: 196.14, Test Loss: 196.75
Epoch 50, Train Loss: 163.14, Val Loss: 187.96, Test Loss: 187.98
Epoch 51, Train Loss: 161.11, Val Loss: 189.91, Test Loss: 193.94
Epoch 52, Train Loss: 160.41, Val Loss: 188.41, Test Loss: 191.08
Epoch 53, Train Loss: 160.38, Val Loss: 188.86, Test Loss: 188.71
