Epoch 0, Train Loss: 807.54, Val Loss: 716.51, Test Loss: 715.21
Epoch 1, Train Loss: 676.37, Val Loss: 652.08, Test Loss: 651.79
Epoch 2, Train Loss: 636.66, Val Loss: 638.04, Test Loss: 638.69
Epoch 3, Train Loss: 620.74, Val Loss: 630.68, Test Loss: 626.73
Epoch 4, Train Loss: 605.67, Val Loss: 626.08, Test Loss: 613.25
Epoch 5, Train Loss: 590.29, Val Loss: 609.23, Test Loss: 600.25
Epoch 6, Train Loss: 578.23, Val Loss: 598.66, Test Loss: 587.32
Epoch 7, Train Loss: 570.91, Val Loss: 589.46, Test Loss: 587.82
Epoch 8, Train Loss: 558.07, Val Loss: 575.97, Test Loss: 576.39
Epoch 9, Train Loss: 548.45, Val Loss: 571.52, Test Loss: 569.77
Epoch 10, Train Loss: 542.67, Val Loss: 560.62, Test Loss: 554.29
Epoch 11, Train Loss: 534.56, Val Loss: 552.85, Test Loss: 548.15
Epoch 12, Train Loss: 526.70, Val Loss: 556.53, Test Loss: 556.64
Epoch 13, Train Loss: 522.08, Val Loss: 544.62, Test Loss: 536.24
Epoch 14, Train Loss: 516.95, Val Loss: 557.09, Test Loss: 549.36
Epoch 15, Train Loss: 520.59, Val Loss: 544.80, Test Loss: 544.60
Epoch 16, Train Loss: 517.37, Val Loss: 547.07, Test Loss: 541.89
Epoch 17, Train Loss: 512.49, Val Loss: 555.37, Test Loss: 543.80
Epoch 18, Train Loss: 523.10, Val Loss: 544.71, Test Loss: 538.43
Epoch    20: reducing learning rate of group 0 to 7.5000e-03.
Epoch 19, Train Loss: 517.20, Val Loss: 544.72, Test Loss: 532.04
Epoch 20, Train Loss: 501.78, Val Loss: 526.68, Test Loss: 524.12
Epoch 21, Train Loss: 493.27, Val Loss: 519.94, Test Loss: 518.30
Epoch 22, Train Loss: 495.34, Val Loss: 529.87, Test Loss: 530.84
Epoch 23, Train Loss: 498.56, Val Loss: 523.18, Test Loss: 522.61
Epoch 24, Train Loss: 492.09, Val Loss: 521.36, Test Loss: 524.01
Epoch 25, Train Loss: 490.65, Val Loss: 526.53, Test Loss: 525.28
Epoch 26, Train Loss: 494.98, Val Loss: 519.26, Test Loss: 524.66
Epoch 27, Train Loss: 489.91, Val Loss: 518.69, Test Loss: 517.57
Epoch 28, Train Loss: 486.81, Val Loss: 515.87, Test Loss: 516.61
Epoch 29, Train Loss: 483.42, Val Loss: 518.78, Test Loss: 521.16
Epoch 30, Train Loss: 481.63, Val Loss: 519.66, Test Loss: 518.82
Epoch 31, Train Loss: 485.65, Val Loss: 520.57, Test Loss: 522.42
Epoch 32, Train Loss: 485.06, Val Loss: 515.85, Test Loss: 520.54
Epoch 33, Train Loss: 485.73, Val Loss: 530.23, Test Loss: 530.38
Epoch 34, Train Loss: 489.20, Val Loss: 513.47, Test Loss: 522.04
Epoch 35, Train Loss: 480.55, Val Loss: 511.16, Test Loss: 514.22
Epoch 36, Train Loss: 483.13, Val Loss: 513.39, Test Loss: 516.00
Epoch 37, Train Loss: 482.70, Val Loss: 513.59, Test Loss: 525.61
Epoch 38, Train Loss: 479.92, Val Loss: 528.87, Test Loss: 528.42
Epoch 39, Train Loss: 478.95, Val Loss: 514.04, Test Loss: 520.32
Epoch 40, Train Loss: 484.78, Val Loss: 514.89, Test Loss: 516.90
Epoch    42: reducing learning rate of group 0 to 5.6250e-03.
Epoch 41, Train Loss: 482.51, Val Loss: 520.34, Test Loss: 519.51
Epoch 42, Train Loss: 469.71, Val Loss: 507.68, Test Loss: 512.61
Epoch 43, Train Loss: 466.75, Val Loss: 506.80, Test Loss: 505.31
Epoch 44, Train Loss: 464.73, Val Loss: 505.32, Test Loss: 507.97
Epoch 45, Train Loss: 464.47, Val Loss: 505.97, Test Loss: 507.29
