Epoch 0, Train Loss: 554.24, Val Loss: 439.76, Test Loss: 439.37
Epoch 1, Train Loss: 383.57, Val Loss: 364.21, Test Loss: 363.48
Epoch 2, Train Loss: 320.65, Val Loss: 306.71, Test Loss: 309.13
Epoch 3, Train Loss: 289.88, Val Loss: 285.53, Test Loss: 280.07
Epoch 4, Train Loss: 271.40, Val Loss: 286.95, Test Loss: 280.70
Epoch 5, Train Loss: 252.88, Val Loss: 255.73, Test Loss: 249.97
Epoch 6, Train Loss: 244.33, Val Loss: 253.67, Test Loss: 246.00
Epoch 7, Train Loss: 240.86, Val Loss: 247.30, Test Loss: 242.87
Epoch 8, Train Loss: 241.61, Val Loss: 255.90, Test Loss: 252.87
Epoch 9, Train Loss: 237.92, Val Loss: 236.66, Test Loss: 233.34
Epoch 10, Train Loss: 225.76, Val Loss: 242.40, Test Loss: 239.83
Epoch 11, Train Loss: 226.49, Val Loss: 238.98, Test Loss: 231.27
Epoch 12, Train Loss: 223.18, Val Loss: 229.30, Test Loss: 222.09
Epoch 13, Train Loss: 218.83, Val Loss: 235.43, Test Loss: 229.41
Epoch 14, Train Loss: 217.42, Val Loss: 237.84, Test Loss: 228.75
Epoch 15, Train Loss: 221.35, Val Loss: 224.76, Test Loss: 219.11
Epoch 16, Train Loss: 211.65, Val Loss: 228.09, Test Loss: 220.43
Epoch 17, Train Loss: 207.58, Val Loss: 222.77, Test Loss: 216.08
Epoch 18, Train Loss: 207.66, Val Loss: 217.56, Test Loss: 212.33
Epoch 19, Train Loss: 208.85, Val Loss: 224.71, Test Loss: 219.39
Epoch 20, Train Loss: 211.36, Val Loss: 223.08, Test Loss: 219.89
Epoch 21, Train Loss: 208.69, Val Loss: 215.53, Test Loss: 208.32
Epoch 22, Train Loss: 210.73, Val Loss: 217.61, Test Loss: 213.68
Epoch 23, Train Loss: 204.53, Val Loss: 222.06, Test Loss: 217.68
Epoch 24, Train Loss: 207.74, Val Loss: 231.09, Test Loss: 224.54
Epoch 25, Train Loss: 206.24, Val Loss: 231.54, Test Loss: 224.14
Epoch 26, Train Loss: 207.39, Val Loss: 212.72, Test Loss: 208.64
Epoch 27, Train Loss: 196.59, Val Loss: 207.26, Test Loss: 200.92
Epoch 28, Train Loss: 203.95, Val Loss: 226.82, Test Loss: 221.18
Epoch 29, Train Loss: 192.44, Val Loss: 210.92, Test Loss: 204.02
Epoch 30, Train Loss: 204.85, Val Loss: 263.28, Test Loss: 262.04
Epoch 31, Train Loss: 207.21, Val Loss: 215.60, Test Loss: 212.59
Epoch 32, Train Loss: 203.57, Val Loss: 224.34, Test Loss: 217.15
Epoch    34: reducing learning rate of group 0 to 7.5000e-03.
Epoch 33, Train Loss: 201.03, Val Loss: 230.42, Test Loss: 222.54
Epoch 34, Train Loss: 184.05, Val Loss: 194.02, Test Loss: 188.11
Epoch 35, Train Loss: 170.96, Val Loss: 186.87, Test Loss: 179.39
Epoch 36, Train Loss: 174.38, Val Loss: 190.81, Test Loss: 187.45
Epoch 37, Train Loss: 172.00, Val Loss: 191.12, Test Loss: 184.80
Epoch 38, Train Loss: 171.35, Val Loss: 194.36, Test Loss: 192.13
Epoch 39, Train Loss: 182.79, Val Loss: 217.68, Test Loss: 211.93
Epoch 40, Train Loss: 180.03, Val Loss: 201.26, Test Loss: 193.67
Epoch    42: reducing learning rate of group 0 to 5.6250e-03.
Epoch 41, Train Loss: 180.45, Val Loss: 197.76, Test Loss: 191.20
Epoch 42, Train Loss: 167.45, Val Loss: 183.16, Test Loss: 176.26
Epoch 43, Train Loss: 159.38, Val Loss: 178.95, Test Loss: 175.29
Epoch 44, Train Loss: 158.35, Val Loss: 178.70, Test Loss: 174.79
Epoch 45, Train Loss: 156.62, Val Loss: 183.44, Test Loss: 174.74
Epoch 46, Train Loss: 156.59, Val Loss: 181.51, Test Loss: 177.40
Epoch 47, Train Loss: 156.58, Val Loss: 179.40, Test Loss: 176.17
Epoch 48, Train Loss: 161.00, Val Loss: 190.97, Test Loss: 184.75
Epoch 49, Train Loss: 159.95, Val Loss: 193.43, Test Loss: 185.95
Epoch    51: reducing learning rate of group 0 to 4.2188e-03.
Epoch 50, Train Loss: 160.95, Val Loss: 186.25, Test Loss: 181.16
Epoch 51, Train Loss: 150.85, Val Loss: 173.11, Test Loss: 169.01
Epoch 52, Train Loss: 146.03, Val Loss: 173.13, Test Loss: 168.77
Epoch 53, Train Loss: 146.20, Val Loss: 197.16, Test Loss: 191.12
Epoch 54, Train Loss: 150.29, Val Loss: 173.95, Test Loss: 169.95
Epoch 55, Train Loss: 145.99, Val Loss: 178.40, Test Loss: 173.51
Epoch 56, Train Loss: 146.12, Val Loss: 174.50, Test Loss: 171.63
Epoch    58: reducing learning rate of group 0 to 3.1641e-03.
Epoch 57, Train Loss: 144.10, Val Loss: 175.20, Test Loss: 171.87
Epoch 58, Train Loss: 141.52, Val Loss: 173.46, Test Loss: 169.95
Epoch 59, Train Loss: 140.37, Val Loss: 172.77, Test Loss: 168.67
Epoch 60, Train Loss: 138.63, Val Loss: 172.46, Test Loss: 168.35
Epoch 61, Train Loss: 139.92, Val Loss: 176.91, Test Loss: 173.38
Epoch 62, Train Loss: 139.81, Val Loss: 176.90, Test Loss: 167.23
Epoch 63, Train Loss: 139.02, Val Loss: 172.74, Test Loss: 165.21
Epoch 64, Train Loss: 141.18, Val Loss: 174.26, Test Loss: 168.18
Epoch 65, Train Loss: 138.67, Val Loss: 175.39, Test Loss: 174.94
Epoch 66, Train Loss: 138.67, Val Loss: 172.04, Test Loss: 165.60
Epoch 67, Train Loss: 137.38, Val Loss: 174.27, Test Loss: 168.19
Epoch 68, Train Loss: 137.21, Val Loss: 176.90, Test Loss: 169.96
Epoch 69, Train Loss: 140.20, Val Loss: 174.36, Test Loss: 167.24
Epoch 70, Train Loss: 137.42, Val Loss: 172.82, Test Loss: 166.60
Epoch 71, Train Loss: 138.38, Val Loss: 172.26, Test Loss: 167.73
Epoch    73: reducing learning rate of group 0 to 2.3730e-03.
Epoch 72, Train Loss: 137.42, Val Loss: 173.53, Test Loss: 170.21
Epoch 73, Train Loss: 133.26, Val Loss: 174.84, Test Loss: 169.38
Epoch 74, Train Loss: 133.77, Val Loss: 171.21, Test Loss: 166.39
Epoch 75, Train Loss: 131.26, Val Loss: 172.28, Test Loss: 165.62
Epoch 76, Train Loss: 131.76, Val Loss: 172.56, Test Loss: 169.20
Epoch 77, Train Loss: 132.00, Val Loss: 172.41, Test Loss: 168.25
Epoch 78, Train Loss: 131.75, Val Loss: 177.45, Test Loss: 166.11
Epoch 79, Train Loss: 131.33, Val Loss: 176.92, Test Loss: 168.42
Epoch    81: reducing learning rate of group 0 to 1.7798e-03.
Epoch 80, Train Loss: 130.99, Val Loss: 174.13, Test Loss: 169.40
Epoch 81, Train Loss: 128.39, Val Loss: 173.41, Test Loss: 166.99
Epoch 82, Train Loss: 127.24, Val Loss: 171.91, Test Loss: 166.52
Epoch 83, Train Loss: 127.05, Val Loss: 175.76, Test Loss: 171.24
Epoch 84, Train Loss: 127.03, Val Loss: 171.95, Test Loss: 169.63
Epoch 85, Train Loss: 126.43, Val Loss: 173.33, Test Loss: 167.31
Epoch    87: reducing learning rate of group 0 to 1.3348e-03.
Epoch 86, Train Loss: 126.62, Val Loss: 174.17, Test Loss: 171.82
Epoch 87, Train Loss: 124.97, Val Loss: 176.81, Test Loss: 171.42
Epoch 88, Train Loss: 123.93, Val Loss: 175.79, Test Loss: 171.58
Epoch 89, Train Loss: 123.50, Val Loss: 175.19, Test Loss: 170.70
Epoch 90, Train Loss: 123.30, Val Loss: 175.31, Test Loss: 173.74
Epoch 91, Train Loss: 123.43, Val Loss: 174.13, Test Loss: 170.74
Epoch    93: reducing learning rate of group 0 to 1.0011e-03.
Epoch 92, Train Loss: 123.02, Val Loss: 177.62, Test Loss: 171.58
Epoch 93, Train Loss: 121.65, Val Loss: 175.95, Test Loss: 168.89
Epoch 94, Train Loss: 121.02, Val Loss: 177.73, Test Loss: 173.13
Epoch 95, Train Loss: 121.04, Val Loss: 177.36, Test Loss: 172.95
Epoch 96, Train Loss: 120.49, Val Loss: 177.84, Test Loss: 173.80
Epoch 97, Train Loss: 120.81, Val Loss: 178.00, Test Loss: 172.51
Epoch    99: reducing learning rate of group 0 to 7.5085e-04.
Epoch 98, Train Loss: 120.45, Val Loss: 178.98, Test Loss: 173.16
Epoch 99, Train Loss: 119.08, Val Loss: 179.22, Test Loss: 174.12
