Initialized dataset with  64000  samples.
Epoch 0, Train Loss: 482.98, Val Loss: 382.76, Test Loss: 384.44
Epoch 1, Train Loss: 362.34, Val Loss: 350.60, Test Loss: 352.10
Epoch 2, Train Loss: 340.14, Val Loss: 336.47, Test Loss: 338.09
Epoch 3, Train Loss: 325.45, Val Loss: 325.03, Test Loss: 326.89
Epoch 4, Train Loss: 314.01, Val Loss: 317.24, Test Loss: 319.13
Epoch 5, Train Loss: 305.90, Val Loss: 312.57, Test Loss: 314.47
Epoch 6, Train Loss: 300.27, Val Loss: 308.71, Test Loss: 310.76
Epoch 7, Train Loss: 295.63, Val Loss: 305.88, Test Loss: 307.94
Epoch 8, Train Loss: 292.15, Val Loss: 304.51, Test Loss: 306.67
Epoch 9, Train Loss: 289.05, Val Loss: 303.30, Test Loss: 305.28
Epoch 10, Train Loss: 286.14, Val Loss: 301.64, Test Loss: 303.51
Epoch 11, Train Loss: 283.93, Val Loss: 298.40, Test Loss: 300.41
Epoch 12, Train Loss: 281.81, Val Loss: 299.07, Test Loss: 300.89
Epoch 13, Train Loss: 279.91, Val Loss: 297.07, Test Loss: 299.46
Epoch 14, Train Loss: 278.74, Val Loss: 296.62, Test Loss: 299.43
Epoch 15, Train Loss: 276.99, Val Loss: 295.53, Test Loss: 298.00
Epoch 16, Train Loss: 275.67, Val Loss: 296.72, Test Loss: 298.91
Epoch 17, Train Loss: 274.35, Val Loss: 294.76, Test Loss: 296.48
Epoch 18, Train Loss: 273.30, Val Loss: 295.58, Test Loss: 297.99
Epoch 19, Train Loss: 272.26, Val Loss: 293.45, Test Loss: 295.81
Epoch 20, Train Loss: 271.01, Val Loss: 293.51, Test Loss: 295.53
Epoch 21, Train Loss: 270.22, Val Loss: 293.46, Test Loss: 296.17
Epoch 22, Train Loss: 269.55, Val Loss: 292.26, Test Loss: 294.70
Epoch 23, Train Loss: 268.67, Val Loss: 292.31, Test Loss: 294.56
Epoch 24, Train Loss: 268.06, Val Loss: 293.55, Test Loss: 296.10
Epoch 25, Train Loss: 267.29, Val Loss: 292.21, Test Loss: 294.98
Epoch 26, Train Loss: 266.71, Val Loss: 291.48, Test Loss: 294.20
Epoch 27, Train Loss: 265.99, Val Loss: 292.42, Test Loss: 295.09
Epoch 28, Train Loss: 265.63, Val Loss: 293.72, Test Loss: 296.32
Epoch 29, Train Loss: 264.95, Val Loss: 293.06, Test Loss: 295.43
