Initialized dataset with  64000  samples.
Epoch 0, Train Loss: 233.57, Val Loss: 128.75, Test Loss: 129.76
Epoch 1, Train Loss: 82.81, Val Loss: 69.58, Test Loss: 70.18
Epoch 2, Train Loss: 40.90, Val Loss: 43.82, Test Loss: 44.15
Epoch 3, Train Loss: 22.20, Val Loss: 29.75, Test Loss: 30.00
Epoch 4, Train Loss: 12.86, Val Loss: 21.29, Test Loss: 21.46
Epoch 5, Train Loss: 7.87, Val Loss: 15.77, Test Loss: 15.95
Epoch 6, Train Loss: 5.02, Val Loss: 12.03, Test Loss: 12.14
Epoch 7, Train Loss: 3.31, Val Loss: 9.30, Test Loss: 9.39
Epoch 8, Train Loss: 2.22, Val Loss: 7.30, Test Loss: 7.38
Epoch 9, Train Loss: 1.51, Val Loss: 5.80, Test Loss: 5.86
Epoch 10, Train Loss: 1.04, Val Loss: 4.61, Test Loss: 4.68
Epoch 11, Train Loss: 0.72, Val Loss: 3.72, Test Loss: 3.76
Epoch 12, Train Loss: 0.50, Val Loss: 3.00, Test Loss: 3.05
Epoch 13, Train Loss: 0.35, Val Loss: 2.45, Test Loss: 2.48
Epoch 14, Train Loss: 0.24, Val Loss: 2.00, Test Loss: 2.03
Epoch 15, Train Loss: 0.17, Val Loss: 1.65, Test Loss: 1.67
Epoch 16, Train Loss: 0.12, Val Loss: 1.36, Test Loss: 1.39
Epoch 17, Train Loss: 0.08, Val Loss: 1.13, Test Loss: 1.16
Epoch 18, Train Loss: 0.06, Val Loss: 0.95, Test Loss: 0.97
Epoch 19, Train Loss: 0.04, Val Loss: 0.80, Test Loss: 0.82
Epoch 20, Train Loss: 0.03, Val Loss: 0.67, Test Loss: 0.69
Epoch 21, Train Loss: 0.02, Val Loss: 0.57, Test Loss: 0.59
Epoch 22, Train Loss: 0.01, Val Loss: 0.49, Test Loss: 0.51
Epoch 23, Train Loss: 0.01, Val Loss: 0.42, Test Loss: 0.44
Epoch 24, Train Loss: 0.01, Val Loss: 0.37, Test Loss: 0.38
Epoch 25, Train Loss: 0.01, Val Loss: 0.32, Test Loss: 0.33
Epoch 26, Train Loss: 0.00, Val Loss: 0.28, Test Loss: 0.29
Epoch 27, Train Loss: 0.00, Val Loss: 0.24, Test Loss: 0.26
