Initialized dataset with  64000  samples.
Epoch 0, Train Loss: 483.31, Val Loss: 384.26, Test Loss: 387.86
Epoch 1, Train Loss: 362.66, Val Loss: 352.59, Test Loss: 355.48
Epoch 2, Train Loss: 340.28, Val Loss: 336.99, Test Loss: 340.71
Epoch 3, Train Loss: 325.54, Val Loss: 326.56, Test Loss: 330.24
Epoch 4, Train Loss: 314.23, Val Loss: 318.50, Test Loss: 321.56
Epoch 5, Train Loss: 305.91, Val Loss: 312.69, Test Loss: 315.98
Epoch 6, Train Loss: 299.92, Val Loss: 308.43, Test Loss: 311.91
Epoch 7, Train Loss: 295.02, Val Loss: 305.69, Test Loss: 308.97
Epoch 8, Train Loss: 291.31, Val Loss: 303.91, Test Loss: 307.68
Epoch 9, Train Loss: 288.19, Val Loss: 302.29, Test Loss: 305.37
Epoch 10, Train Loss: 285.67, Val Loss: 300.30, Test Loss: 303.69
Epoch 11, Train Loss: 283.53, Val Loss: 299.54, Test Loss: 302.89
Epoch 12, Train Loss: 281.58, Val Loss: 299.88, Test Loss: 303.29
Epoch 13, Train Loss: 280.13, Val Loss: 299.35, Test Loss: 302.24
Epoch 14, Train Loss: 278.68, Val Loss: 299.92, Test Loss: 303.30
Epoch 15, Train Loss: 277.18, Val Loss: 296.71, Test Loss: 299.98
Epoch 16, Train Loss: 275.77, Val Loss: 295.90, Test Loss: 299.09
Epoch 17, Train Loss: 274.42, Val Loss: 296.50, Test Loss: 299.26
Epoch 18, Train Loss: 273.52, Val Loss: 296.41, Test Loss: 299.25
Epoch 19, Train Loss: 272.30, Val Loss: 294.99, Test Loss: 298.55
Epoch 20, Train Loss: 271.29, Val Loss: 294.56, Test Loss: 297.55
Epoch 21, Train Loss: 270.49, Val Loss: 295.27, Test Loss: 298.26
Epoch 22, Train Loss: 269.82, Val Loss: 294.35, Test Loss: 297.92
Epoch 23, Train Loss: 268.93, Val Loss: 294.45, Test Loss: 297.82
Epoch 24, Train Loss: 268.49, Val Loss: 295.02, Test Loss: 297.87
Epoch 25, Train Loss: 267.70, Val Loss: 294.26, Test Loss: 297.77
Epoch 26, Train Loss: 266.96, Val Loss: 294.06, Test Loss: 297.28
Epoch 27, Train Loss: 266.52, Val Loss: 293.03, Test Loss: 296.22
Epoch 28, Train Loss: 265.86, Val Loss: 293.34, Test Loss: 296.67
Epoch 29, Train Loss: 265.38, Val Loss: 294.22, Test Loss: 297.47
Epoch 30, Train Loss: 264.92, Val Loss: 293.97, Test Loss: 297.15
Epoch 31, Train Loss: 264.57, Val Loss: 292.78, Test Loss: 296.14
