Epoch 0, Train Loss: 9.85, Val Loss: 8.25, Test Loss: 8.57
Epoch 1, Train Loss: 8.06, Val Loss: 7.79, Test Loss: 9.49
Epoch 2, Train Loss: 7.73, Val Loss: 7.56, Test Loss: 9.11
Epoch 3, Train Loss: 7.51, Val Loss: 7.40, Test Loss: 9.13
Epoch 4, Train Loss: 7.33, Val Loss: 6.97, Test Loss: 7.84
Epoch 5, Train Loss: 6.93, Val Loss: 6.76, Test Loss: 9.14
Epoch 6, Train Loss: 6.90, Val Loss: 7.15, Test Loss: 19.68
Epoch 7, Train Loss: 7.80, Val Loss: 6.90, Test Loss: 7.28
Epoch 8, Train Loss: 6.86, Val Loss: 6.78, Test Loss: 7.32
Epoch 9, Train Loss: 6.73, Val Loss: 6.75, Test Loss: 9.39
Epoch 10, Train Loss: 6.91, Val Loss: 6.45, Test Loss: 6.73
Epoch 11, Train Loss: 6.39, Val Loss: 6.34, Test Loss: 7.12
Epoch 12, Train Loss: 6.37, Val Loss: 6.31, Test Loss: 7.61
Epoch 13, Train Loss: 6.39, Val Loss: 6.21, Test Loss: 6.99
Epoch 14, Train Loss: 6.25, Val Loss: 6.13, Test Loss: 6.48
Epoch 15, Train Loss: 6.13, Val Loss: 6.22, Test Loss: 8.24
Epoch 16, Train Loss: 6.31, Val Loss: 6.04, Test Loss: 6.79
Epoch 17, Train Loss: 6.04, Val Loss: 5.98, Test Loss: 7.75
Epoch 18, Train Loss: 6.08, Val Loss: 5.87, Test Loss: 7.44
Epoch 19, Train Loss: 5.94, Val Loss: 5.71, Test Loss: 6.04
Epoch 20, Train Loss: 5.68, Val Loss: 5.74, Test Loss: 7.88
Epoch 21, Train Loss: 5.86, Val Loss: 5.53, Test Loss: 6.14
Epoch 22, Train Loss: 5.53, Val Loss: 5.47, Test Loss: 6.67
Epoch 23, Train Loss: 5.49, Val Loss: 5.38, Test Loss: 6.58
Epoch 24, Train Loss: 5.40, Val Loss: 5.26, Test Loss: 6.83
Epoch 25, Train Loss: 5.36, Val Loss: 5.25, Test Loss: 7.63
Epoch 26, Train Loss: 5.41, Val Loss: 5.49, Test Loss: 13.05
Epoch 27, Train Loss: 6.14, Val Loss: 5.74, Test Loss: 7.86
Epoch 28, Train Loss: 5.85, Val Loss: 5.56, Test Loss: 6.49
Epoch 29, Train Loss: 5.55, Val Loss: 5.36, Test Loss: 6.28
Epoch 30, Train Loss: 5.33, Val Loss: 5.08, Test Loss: 5.54
Epoch 31, Train Loss: 4.95, Val Loss: 4.81, Test Loss: 6.52
