Epoch 0, Train Loss: 10.41, Val Loss: 8.27, Test Loss: 8.41
Epoch 1, Train Loss: 8.13, Val Loss: 7.92, Test Loss: 10.34
Epoch 2, Train Loss: 8.17, Val Loss: 7.62, Test Loss: 7.85
Epoch 3, Train Loss: 7.56, Val Loss: 7.49, Test Loss: 7.96
Epoch 4, Train Loss: 7.47, Val Loss: 7.40, Test Loss: 8.00
Epoch 5, Train Loss: 7.41, Val Loss: 7.28, Test Loss: 8.15
Epoch 6, Train Loss: 7.27, Val Loss: 7.12, Test Loss: 9.18
Epoch 7, Train Loss: 7.31, Val Loss: 6.93, Test Loss: 7.71
Epoch 8, Train Loss: 6.92, Val Loss: 6.68, Test Loss: 7.21
Epoch 9, Train Loss: 6.65, Val Loss: 6.57, Test Loss: 8.43
Epoch 10, Train Loss: 6.70, Val Loss: 6.48, Test Loss: 9.28
Epoch 11, Train Loss: 6.86, Val Loss: 6.37, Test Loss: 6.56
Epoch 12, Train Loss: 6.28, Val Loss: 6.23, Test Loss: 7.20
Epoch 13, Train Loss: 6.34, Val Loss: 6.16, Test Loss: 7.25
Epoch 14, Train Loss: 6.26, Val Loss: 6.04, Test Loss: 6.59
Epoch 15, Train Loss: 6.04, Val Loss: 5.92, Test Loss: 6.61
Epoch 16, Train Loss: 5.95, Val Loss: 5.85, Test Loss: 7.09
Epoch 17, Train Loss: 5.94, Val Loss: 5.69, Test Loss: 6.35
Epoch 18, Train Loss: 5.71, Val Loss: 5.73, Test Loss: 9.04
Epoch 19, Train Loss: 6.14, Val Loss: 5.67, Test Loss: 8.20
Epoch 20, Train Loss: 5.88, Val Loss: 5.51, Test Loss: 7.17
Epoch 21, Train Loss: 5.62, Val Loss: 5.37, Test Loss: 7.32
Epoch 22, Train Loss: 5.61, Val Loss: 5.28, Test Loss: 6.94
Epoch 23, Train Loss: 5.42, Val Loss: 5.12, Test Loss: 6.14
Epoch 24, Train Loss: 5.14, Val Loss: 4.98, Test Loss: 6.29
Epoch 25, Train Loss: 5.05, Val Loss: 4.82, Test Loss: 5.63
Epoch 26, Train Loss: 4.87, Val Loss: 4.79, Test Loss: 5.87
Epoch 27, Train Loss: 4.83, Val Loss: 4.69, Test Loss: 5.98
