Epoch 0, Train Loss: 15.20, Val Loss: 14.62, Test Loss: 13.53
Epoch 1, Train Loss: 9.91, Val Loss: 9.08, Test Loss: 9.83
Epoch 2, Train Loss: 9.46, Val Loss: 8.92, Test Loss: 8.36
Epoch 3, Train Loss: 9.14, Val Loss: 8.66, Test Loss: 9.24
Epoch 4, Train Loss: 9.04, Val Loss: 9.04, Test Loss: 8.78
Epoch 5, Train Loss: 8.48, Val Loss: 8.31, Test Loss: 8.38
Epoch 6, Train Loss: 8.53, Val Loss: 8.44, Test Loss: 8.53
Epoch 7, Train Loss: 8.42, Val Loss: 8.44, Test Loss: 8.38
Epoch 8, Train Loss: 8.32, Val Loss: 8.30, Test Loss: 8.28
Epoch 9, Train Loss: 8.32, Val Loss: 8.31, Test Loss: 8.31
Epoch 10, Train Loss: 8.30, Val Loss: 8.32, Test Loss: 8.29
Epoch 11, Train Loss: 8.27, Val Loss: 8.28, Test Loss: 8.26
Epoch 12, Train Loss: 8.26, Val Loss: 8.28, Test Loss: 8.26
Epoch 13, Train Loss: 8.26, Val Loss: 8.27, Test Loss: 8.25
Epoch 14, Train Loss: 8.25, Val Loss: 8.27, Test Loss: 8.24
Epoch 15, Train Loss: 8.24, Val Loss: 8.26, Test Loss: 8.23
Epoch 16, Train Loss: 8.22, Val Loss: 8.21, Test Loss: 8.18
Epoch 17, Train Loss: 8.08, Val Loss: 7.95, Test Loss: 7.96
Epoch 18, Train Loss: 7.95, Val Loss: 7.76, Test Loss: 7.98
Epoch 19, Train Loss: 8.19, Val Loss: 7.90, Test Loss: 7.94
Epoch 20, Train Loss: 8.19, Val Loss: 7.99, Test Loss: 7.87
Epoch 21, Train Loss: 7.80, Val Loss: 7.75, Test Loss: 7.72
Epoch 22, Train Loss: 7.73, Val Loss: 7.70, Test Loss: 7.74
Epoch 23, Train Loss: 7.74, Val Loss: 7.65, Test Loss: 7.67
Epoch 24, Train Loss: 7.84, Val Loss: 7.69, Test Loss: 7.70
Epoch 25, Train Loss: 7.78, Val Loss: 7.65, Test Loss: 7.66
Epoch 26, Train Loss: 7.73, Val Loss: 7.64, Test Loss: 7.60
Epoch 27, Train Loss: 7.67, Val Loss: 7.66, Test Loss: 7.62
Epoch 28, Train Loss: 7.58, Val Loss: 7.57, Test Loss: 7.54
Epoch 29, Train Loss: 7.53, Val Loss: 7.53, Test Loss: 7.51
Epoch 30, Train Loss: 7.49, Val Loss: 7.49, Test Loss: 7.50
