Epoch 0, Train Loss: 10.40, Val Loss: 8.26, Test Loss: 8.36
Epoch 1, Train Loss: 8.12, Val Loss: 7.87, Test Loss: 9.05
Epoch 2, Train Loss: 7.86, Val Loss: 7.61, Test Loss: 8.46
Epoch 3, Train Loss: 7.63, Val Loss: 7.47, Test Loss: 8.21
Epoch 4, Train Loss: 7.52, Val Loss: 7.33, Test Loss: 7.59
Epoch 5, Train Loss: 7.17, Val Loss: 7.15, Test Loss: 10.67
Epoch 6, Train Loss: 7.54, Val Loss: 7.02, Test Loss: 10.17
Epoch 7, Train Loss: 7.31, Val Loss: 6.75, Test Loss: 7.76
Epoch 8, Train Loss: 6.74, Val Loss: 6.57, Test Loss: 7.78
Epoch 9, Train Loss: 6.62, Val Loss: 6.37, Test Loss: 6.92
Epoch 10, Train Loss: 6.36, Val Loss: 6.37, Test Loss: 9.67
Epoch 11, Train Loss: 6.91, Val Loss: 6.41, Test Loss: 7.35
Epoch 12, Train Loss: 6.36, Val Loss: 6.18, Test Loss: 6.94
Epoch 13, Train Loss: 6.23, Val Loss: 6.06, Test Loss: 6.46
Epoch 14, Train Loss: 6.06, Val Loss: 5.98, Test Loss: 7.00
Epoch 15, Train Loss: 6.08, Val Loss: 5.86, Test Loss: 6.53
Epoch 16, Train Loss: 5.90, Val Loss: 5.81, Test Loss: 7.18
Epoch 17, Train Loss: 5.91, Val Loss: 5.61, Test Loss: 5.95
Epoch 18, Train Loss: 5.59, Val Loss: 5.58, Test Loss: 7.54
Epoch 19, Train Loss: 5.77, Val Loss: 5.43, Test Loss: 6.91
Epoch 20, Train Loss: 5.58, Val Loss: 5.90, Test Loss: 16.12
Epoch 21, Train Loss: 6.83, Val Loss: 5.82, Test Loss: 6.30
Epoch 22, Train Loss: 5.68, Val Loss: 5.49, Test Loss: 6.46
Epoch 23, Train Loss: 5.50, Val Loss: 5.27, Test Loss: 6.17
Epoch 24, Train Loss: 5.31, Val Loss: 5.09, Test Loss: 5.75
Epoch 25, Train Loss: 5.08, Val Loss: 5.04, Test Loss: 6.93
Epoch 26, Train Loss: 5.19, Val Loss: 4.90, Test Loss: 6.95
Epoch 27, Train Loss: 5.17, Val Loss: 4.83, Test Loss: 5.99
Epoch 28, Train Loss: 4.91, Val Loss: 4.69, Test Loss: 5.28
Epoch 29, Train Loss: 4.71, Val Loss: 4.67, Test Loss: 6.48
Epoch 30, Train Loss: 4.90, Val Loss: 4.61, Test Loss: 5.51
Epoch 31, Train Loss: 4.69, Val Loss: 4.54, Test Loss: 5.10
Epoch 32, Train Loss: 4.56, Val Loss: 4.56, Test Loss: 5.65
Epoch 33, Train Loss: 4.62, Val Loss: 4.63, Test Loss: 7.59
Epoch 34, Train Loss: 5.00, Val Loss: 4.53, Test Loss: 6.19
Epoch 35, Train Loss: 4.70, Val Loss: 4.44, Test Loss: 5.29
Epoch 36, Train Loss: 4.50, Val Loss: 4.41, Test Loss: 5.55
Epoch 37, Train Loss: 4.51, Val Loss: 4.41, Test Loss: 5.85
Epoch 38, Train Loss: 4.54, Val Loss: 4.32, Test Loss: 5.08
Epoch 39, Train Loss: 4.38, Val Loss: 4.35, Test Loss: 6.34
Epoch 40, Train Loss: 4.58, Val Loss: 4.38, Test Loss: 6.83
Epoch 41, Train Loss: 4.65, Val Loss: 4.38, Test Loss: 5.95
Epoch 42, Train Loss: 4.50, Val Loss: 4.26, Test Loss: 5.08
Epoch 43, Train Loss: 4.31, Val Loss: 4.25, Test Loss: 5.39
Epoch 44, Train Loss: 4.33, Val Loss: 4.26, Test Loss: 5.87
Epoch 45, Train Loss: 4.37, Val Loss: 4.18, Test Loss: 5.22
Epoch 46, Train Loss: 4.27, Val Loss: 4.15, Test Loss: 5.19
Epoch 47, Train Loss: 4.24, Val Loss: 4.17, Test Loss: 5.76
Epoch 48, Train Loss: 4.32, Val Loss: 4.14, Test Loss: 5.41
Epoch 49, Train Loss: 4.23, Val Loss: 4.09, Test Loss: 4.86
Epoch 50, Train Loss: 4.12, Val Loss: 4.05, Test Loss: 4.89
Epoch 51, Train Loss: 4.09, Val Loss: 4.07, Test Loss: 5.42
Epoch 52, Train Loss: 4.15, Val Loss: 4.07, Test Loss: 5.66
Epoch 53, Train Loss: 4.19, Val Loss: 4.00, Test Loss: 4.59
Epoch 54, Train Loss: 4.00, Val Loss: 3.97, Test Loss: 4.53
Epoch 55, Train Loss: 3.97, Val Loss: 4.03, Test Loss: 5.98
Epoch 56, Train Loss: 4.21, Val Loss: 3.99, Test Loss: 5.31
Epoch 57, Train Loss: 4.07, Val Loss: 3.93, Test Loss: 4.94
Epoch 58, Train Loss: 4.00, Val Loss: 3.89, Test Loss: 4.63
Epoch 59, Train Loss: 3.93, Val Loss: 3.92, Test Loss: 5.12
Epoch 60, Train Loss: 3.97, Val Loss: 3.89, Test Loss: 4.95
Epoch 61, Train Loss: 3.94, Val Loss: 3.89, Test Loss: 4.86
Epoch 62, Train Loss: 3.90, Val Loss: 3.83, Test Loss: 4.24
Epoch 63, Train Loss: 3.79, Val Loss: 3.86, Test Loss: 5.52
Epoch 64, Train Loss: 4.00, Val Loss: 3.83, Test Loss: 5.71
Epoch 65, Train Loss: 4.04, Val Loss: 3.94, Test Loss: 6.00
Epoch 66, Train Loss: 4.04, Val Loss: 3.79, Test Loss: 4.14
Epoch 67, Train Loss: 3.74, Val Loss: 3.79, Test Loss: 4.84
Epoch 68, Train Loss: 3.86, Val Loss: 3.77, Test Loss: 4.18
Epoch 69, Train Loss: 3.74, Val Loss: 3.85, Test Loss: 6.47
Epoch 70, Train Loss: 4.09, Val Loss: 3.78, Test Loss: 4.55
Epoch 71, Train Loss: 3.79, Val Loss: 3.76, Test Loss: 4.43
Epoch 72, Train Loss: 3.75, Val Loss: 3.83, Test Loss: 6.14
Epoch 73, Train Loss: 4.00, Val Loss: 3.74, Test Loss: 4.30
Epoch 74, Train Loss: 3.74, Val Loss: 3.72, Test Loss: 4.17
Epoch 75, Train Loss: 3.70, Val Loss: 3.77, Test Loss: 5.78
Epoch 76, Train Loss: 3.94, Val Loss: 3.76, Test Loss: 4.78
Epoch 77, Train Loss: 3.78, Val Loss: 3.72, Test Loss: 4.32
