Epoch 0, Train Loss: 10.05, Val Loss: 8.27, Test Loss: 8.93
Epoch 1, Train Loss: 7.79, Val Loss: 12.09, Test Loss: 71.72
Epoch 2, Train Loss: 13.58, Val Loss: 8.20, Test Loss: 8.30
Epoch 3, Train Loss: 7.70, Val Loss: 7.90, Test Loss: 15.47
Epoch 4, Train Loss: 8.14, Val Loss: 7.58, Test Loss: 7.90
Epoch 5, Train Loss: 7.47, Val Loss: 7.48, Test Loss: 8.82
Epoch 6, Train Loss: 7.44, Val Loss: 7.31, Test Loss: 8.10
Epoch 7, Train Loss: 7.26, Val Loss: 7.26, Test Loss: 9.32
Epoch 8, Train Loss: 7.25, Val Loss: 7.11, Test Loss: 8.91
Epoch 9, Train Loss: 7.08, Val Loss: 7.36, Test Loss: 13.76
Epoch 10, Train Loss: 7.35, Val Loss: 6.91, Test Loss: 8.17
Epoch 11, Train Loss: 6.84, Val Loss: 6.93, Test Loss: 9.06
Epoch 12, Train Loss: 6.84, Val Loss: 6.63, Test Loss: 7.48
Epoch 13, Train Loss: 6.59, Val Loss: 6.60, Test Loss: 9.20
Epoch 14, Train Loss: 6.66, Val Loss: 6.49, Test Loss: 8.03
Epoch 15, Train Loss: 6.44, Val Loss: 6.57, Test Loss: 9.71
Epoch 16, Train Loss: 6.50, Val Loss: 6.42, Test Loss: 9.89
Epoch 17, Train Loss: 6.46, Val Loss: 6.30, Test Loss: 9.00
Epoch 18, Train Loss: 6.33, Val Loss: 6.23, Test Loss: 8.49
Epoch 19, Train Loss: 6.20, Val Loss: 7.09, Test Loss: 23.91
Epoch 20, Train Loss: 7.30, Val Loss: 6.41, Test Loss: 8.54
Epoch 21, Train Loss: 6.25, Val Loss: 6.03, Test Loss: 6.69
Epoch 22, Train Loss: 5.98, Val Loss: 6.14, Test Loss: 9.07
Epoch 23, Train Loss: 6.12, Val Loss: 6.03, Test Loss: 9.93
Epoch 24, Train Loss: 6.21, Val Loss: 6.10, Test Loss: 8.03
Epoch 25, Train Loss: 5.93, Val Loss: 6.01, Test Loss: 9.33
Epoch 26, Train Loss: 5.97, Val Loss: 5.72, Test Loss: 7.22
Epoch 27, Train Loss: 5.64, Val Loss: 5.96, Test Loss: 10.26
Epoch 28, Train Loss: 5.90, Val Loss: 5.55, Test Loss: 6.74
Epoch 29, Train Loss: 5.53, Val Loss: 6.11, Test Loss: 9.84
Epoch 30, Train Loss: 5.86, Val Loss: 5.65, Test Loss: 7.47
Epoch 31, Train Loss: 5.52, Val Loss: 5.73, Test Loss: 11.47
Epoch 32, Train Loss: 5.79, Val Loss: 5.30, Test Loss: 6.46
Epoch 33, Train Loss: 5.28, Val Loss: 5.50, Test Loss: 8.77
Epoch 34, Train Loss: 5.44, Val Loss: 5.62, Test Loss: 11.85
Epoch 35, Train Loss: 5.62, Val Loss: 5.38, Test Loss: 8.77
Epoch 36, Train Loss: 5.33, Val Loss: 5.23, Test Loss: 8.30
Epoch 37, Train Loss: 5.22, Val Loss: 5.10, Test Loss: 7.77
Epoch 38, Train Loss: 5.18, Val Loss: 5.12, Test Loss: 8.72
Epoch 39, Train Loss: 5.20, Val Loss: 5.05, Test Loss: 8.07
Epoch 40, Train Loss: 5.07, Val Loss: 5.06, Test Loss: 7.66
Epoch 41, Train Loss: 5.04, Val Loss: 5.37, Test Loss: 9.86
Epoch 42, Train Loss: 5.19, Val Loss: 4.81, Test Loss: 6.75
Epoch 43, Train Loss: 4.79, Val Loss: 4.80, Test Loss: 8.06
Epoch 44, Train Loss: 4.87, Val Loss: 4.87, Test Loss: 9.04
Epoch 45, Train Loss: 4.98, Val Loss: 4.67, Test Loss: 6.12
Epoch 46, Train Loss: 4.61, Val Loss: 4.74, Test Loss: 8.50
Epoch 47, Train Loss: 4.83, Val Loss: 4.74, Test Loss: 8.56
Epoch 48, Train Loss: 4.78, Val Loss: 4.72, Test Loss: 8.36
Epoch 49, Train Loss: 4.73, Val Loss: 4.59, Test Loss: 6.81
Epoch 50, Train Loss: 4.58, Val Loss: 4.72, Test Loss: 8.92
Epoch 51, Train Loss: 4.70, Val Loss: 4.81, Test Loss: 9.73
Epoch 52, Train Loss: 4.78, Val Loss: 4.57, Test Loss: 8.37
Epoch 53, Train Loss: 4.68, Val Loss: 4.62, Test Loss: 6.71
Epoch 54, Train Loss: 4.48, Val Loss: 4.40, Test Loss: 5.82
Epoch 55, Train Loss: 4.36, Val Loss: 4.55, Test Loss: 8.51
Epoch 56, Train Loss: 4.58, Val Loss: 4.84, Test Loss: 11.03
Epoch 57, Train Loss: 4.80, Val Loss: 4.94, Test Loss: 13.56
Epoch 58, Train Loss: 5.00, Val Loss: 4.48, Test Loss: 6.85
Epoch 59, Train Loss: 4.43, Val Loss: 4.56, Test Loss: 8.78
Epoch 60, Train Loss: 4.54, Val Loss: 4.34, Test Loss: 6.12
Epoch 61, Train Loss: 4.26, Val Loss: 4.36, Test Loss: 6.77
Epoch 62, Train Loss: 4.30, Val Loss: 4.48, Test Loss: 7.78
Epoch 63, Train Loss: 4.37, Val Loss: 4.36, Test Loss: 7.33
Epoch 64, Train Loss: 4.31, Val Loss: 4.59, Test Loss: 8.71
Epoch 65, Train Loss: 4.45, Val Loss: 4.40, Test Loss: 8.09
Epoch    67: reducing learning rate of group 0 to 3.7500e-04.
Epoch 66, Train Loss: 4.36, Val Loss: 4.43, Test Loss: 7.67
Epoch 67, Train Loss: 4.32, Val Loss: 4.18, Test Loss: 5.66
Epoch 68, Train Loss: 4.10, Val Loss: 4.08, Test Loss: 5.00
Epoch 69, Train Loss: 4.01, Val Loss: 4.28, Test Loss: 7.18
Epoch 70, Train Loss: 4.19, Val Loss: 4.03, Test Loss: 4.60
Epoch 71, Train Loss: 3.94, Val Loss: 4.46, Test Loss: 9.06
Epoch 72, Train Loss: 4.31, Val Loss: 4.08, Test Loss: 5.28
Epoch 73, Train Loss: 3.98, Val Loss: 4.08, Test Loss: 5.59
Epoch 74, Train Loss: 3.99, Val Loss: 4.11, Test Loss: 6.36
Epoch 75, Train Loss: 4.08, Val Loss: 4.03, Test Loss: 5.42
Epoch 76, Train Loss: 3.97, Val Loss: 4.06, Test Loss: 6.06
Epoch 77, Train Loss: 4.00, Val Loss: 4.18, Test Loss: 7.64
Epoch 78, Train Loss: 4.15, Val Loss: 3.98, Test Loss: 4.96
Epoch 79, Train Loss: 3.89, Val Loss: 4.03, Test Loss: 6.17
Epoch 80, Train Loss: 3.98, Val Loss: 3.92, Test Loss: 4.74
Epoch 81, Train Loss: 3.85, Val Loss: 4.02, Test Loss: 5.76
Epoch 82, Train Loss: 3.94, Val Loss: 4.04, Test Loss: 6.62
Epoch 83, Train Loss: 3.96, Val Loss: 3.94, Test Loss: 5.10
Epoch 84, Train Loss: 3.85, Val Loss: 3.91, Test Loss: 5.20
Epoch 85, Train Loss: 3.85, Val Loss: 3.99, Test Loss: 6.59
Epoch 86, Train Loss: 3.95, Val Loss: 4.01, Test Loss: 6.97
Epoch 87, Train Loss: 3.96, Val Loss: 4.01, Test Loss: 6.54
Epoch 88, Train Loss: 3.95, Val Loss: 4.01, Test Loss: 6.19
Epoch 89, Train Loss: 3.89, Val Loss: 4.01, Test Loss: 6.55
Epoch 90, Train Loss: 3.92, Val Loss: 3.88, Test Loss: 5.04
Epoch 91, Train Loss: 3.79, Val Loss: 4.03, Test Loss: 6.86
Epoch 92, Train Loss: 3.96, Val Loss: 3.87, Test Loss: 5.05
Epoch 93, Train Loss: 3.80, Val Loss: 3.95, Test Loss: 6.71
Epoch 94, Train Loss: 3.92, Val Loss: 3.83, Test Loss: 4.69
Epoch 95, Train Loss: 3.74, Val Loss: 3.87, Test Loss: 5.36
Epoch 96, Train Loss: 3.78, Val Loss: 3.91, Test Loss: 5.74
Epoch 97, Train Loss: 3.83, Val Loss: 3.93, Test Loss: 6.42
Epoch 98, Train Loss: 3.87, Val Loss: 3.83, Test Loss: 5.39
Epoch 99, Train Loss: 3.78, Val Loss: 3.80, Test Loss: 4.72
Epoch 100, Train Loss: 3.69, Val Loss: 3.89, Test Loss: 6.05
Epoch 101, Train Loss: 3.81, Val Loss: 3.88, Test Loss: 6.02
Epoch 102, Train Loss: 3.81, Val Loss: 3.96, Test Loss: 6.72
Epoch 103, Train Loss: 3.87, Val Loss: 3.85, Test Loss: 5.30
Epoch 104, Train Loss: 3.71, Val Loss: 4.07, Test Loss: 7.52
Epoch 105, Train Loss: 3.90, Val Loss: 3.78, Test Loss: 4.77
Epoch 106, Train Loss: 3.65, Val Loss: 3.81, Test Loss: 5.44
Epoch 107, Train Loss: 3.71, Val Loss: 3.79, Test Loss: 5.31
Epoch 108, Train Loss: 3.70, Val Loss: 3.79, Test Loss: 5.20
Epoch 109, Train Loss: 3.69, Val Loss: 3.87, Test Loss: 6.35
Epoch 110, Train Loss: 3.78, Val Loss: 3.78, Test Loss: 5.27
Epoch   112: reducing learning rate of group 0 to 2.8125e-04.
Epoch 111, Train Loss: 3.69, Val Loss: 3.88, Test Loss: 6.43
Epoch 112, Train Loss: 3.81, Val Loss: 3.74, Test Loss: 4.54
Epoch 113, Train Loss: 3.60, Val Loss: 3.74, Test Loss: 4.62
Epoch 114, Train Loss: 3.60, Val Loss: 3.70, Test Loss: 4.17
Epoch 115, Train Loss: 3.54, Val Loss: 3.77, Test Loss: 5.26
Epoch 116, Train Loss: 3.62, Val Loss: 3.70, Test Loss: 4.54
Epoch 117, Train Loss: 3.55, Val Loss: 3.72, Test Loss: 4.89
Epoch 118, Train Loss: 3.59, Val Loss: 3.69, Test Loss: 4.28
Epoch 119, Train Loss: 3.52, Val Loss: 3.72, Test Loss: 5.11
Epoch 120, Train Loss: 3.58, Val Loss: 3.76, Test Loss: 5.46
Epoch 121, Train Loss: 3.62, Val Loss: 3.69, Test Loss: 4.52
Epoch 122, Train Loss: 3.52, Val Loss: 3.75, Test Loss: 5.30
Epoch 123, Train Loss: 3.61, Val Loss: 3.69, Test Loss: 5.07
Epoch 124, Train Loss: 3.57, Val Loss: 3.68, Test Loss: 4.49
Epoch 125, Train Loss: 3.52, Val Loss: 3.67, Test Loss: 4.43
Epoch 126, Train Loss: 3.51, Val Loss: 3.72, Test Loss: 5.04
Epoch 127, Train Loss: 3.56, Val Loss: 3.72, Test Loss: 5.30
Epoch 128, Train Loss: 3.59, Val Loss: 3.70, Test Loss: 4.97
Epoch 129, Train Loss: 3.54, Val Loss: 3.64, Test Loss: 4.26
Epoch 130, Train Loss: 3.48, Val Loss: 3.67, Test Loss: 4.58
Epoch 131, Train Loss: 3.52, Val Loss: 3.73, Test Loss: 5.23
Epoch 132, Train Loss: 3.58, Val Loss: 3.64, Test Loss: 4.27
Epoch 133, Train Loss: 3.47, Val Loss: 3.75, Test Loss: 5.66
Epoch 134, Train Loss: 3.61, Val Loss: 3.63, Test Loss: 4.34
Epoch 135, Train Loss: 3.48, Val Loss: 3.73, Test Loss: 5.83
Epoch 136, Train Loss: 3.60, Val Loss: 3.70, Test Loss: 5.29
Epoch 137, Train Loss: 3.57, Val Loss: 3.79, Test Loss: 5.95
Epoch 138, Train Loss: 3.62, Val Loss: 3.67, Test Loss: 4.80
Epoch 139, Train Loss: 3.51, Val Loss: 3.68, Test Loss: 5.07
Epoch   141: reducing learning rate of group 0 to 2.1094e-04.
Epoch 140, Train Loss: 3.51, Val Loss: 3.63, Test Loss: 4.38
Epoch 141, Train Loss: 3.46, Val Loss: 3.65, Test Loss: 4.27
Epoch 142, Train Loss: 3.43, Val Loss: 3.60, Test Loss: 3.87
Epoch 143, Train Loss: 3.39, Val Loss: 3.63, Test Loss: 4.46
Epoch 144, Train Loss: 3.44, Val Loss: 3.60, Test Loss: 4.10
Epoch 145, Train Loss: 3.41, Val Loss: 3.62, Test Loss: 4.17
Epoch 146, Train Loss: 3.40, Val Loss: 3.61, Test Loss: 4.07
