Epoch 0, Train Loss: 9.82, Val Loss: 8.26, Test Loss: 9.48
Epoch 1, Train Loss: 7.76, Val Loss: 7.96, Test Loss: 12.75
Epoch 2, Train Loss: 8.05, Val Loss: 7.49, Test Loss: 9.27
Epoch 3, Train Loss: 7.33, Val Loss: 8.33, Test Loss: 21.54
Epoch 4, Train Loss: 8.06, Val Loss: 7.90, Test Loss: 16.18
Epoch 5, Train Loss: 7.49, Val Loss: 7.41, Test Loss: 19.61
Epoch 6, Train Loss: 7.55, Val Loss: 8.23, Test Loss: 32.20
Epoch 7, Train Loss: 8.25, Val Loss: 6.86, Test Loss: 8.93
Epoch 8, Train Loss: 6.83, Val Loss: 6.62, Test Loss: 7.85
Epoch 9, Train Loss: 6.61, Val Loss: 6.52, Test Loss: 8.10
Epoch 10, Train Loss: 6.52, Val Loss: 6.47, Test Loss: 10.08
Epoch 11, Train Loss: 6.58, Val Loss: 6.24, Test Loss: 6.91
Epoch 12, Train Loss: 6.20, Val Loss: 6.21, Test Loss: 8.30
Epoch 13, Train Loss: 6.19, Val Loss: 6.05, Test Loss: 8.37
Epoch 14, Train Loss: 6.10, Val Loss: 6.65, Test Loss: 13.02
Epoch 15, Train Loss: 6.45, Val Loss: 5.85, Test Loss: 6.97
Epoch 16, Train Loss: 5.85, Val Loss: 5.81, Test Loss: 7.47
Epoch 17, Train Loss: 5.82, Val Loss: 5.75, Test Loss: 8.12
Epoch 18, Train Loss: 5.80, Val Loss: 5.90, Test Loss: 9.68
Epoch 19, Train Loss: 5.88, Val Loss: 6.37, Test Loss: 14.37
Epoch 20, Train Loss: 6.25, Val Loss: 5.67, Test Loss: 9.08
Epoch 21, Train Loss: 5.70, Val Loss: 5.55, Test Loss: 8.41
Epoch 22, Train Loss: 5.53, Val Loss: 5.62, Test Loss: 11.48
Epoch 23, Train Loss: 5.79, Val Loss: 5.50, Test Loss: 8.46
Epoch 24, Train Loss: 5.37, Val Loss: 5.40, Test Loss: 10.73
Epoch 25, Train Loss: 5.47, Val Loss: 5.19, Test Loss: 8.36
Epoch 26, Train Loss: 5.12, Val Loss: 5.21, Test Loss: 8.91
Epoch 27, Train Loss: 5.13, Val Loss: 5.14, Test Loss: 10.58
Epoch 28, Train Loss: 5.27, Val Loss: 4.93, Test Loss: 9.36
Epoch 29, Train Loss: 5.08, Val Loss: 5.09, Test Loss: 10.52
Epoch 30, Train Loss: 5.09, Val Loss: 4.64, Test Loss: 7.04
Epoch 31, Train Loss: 4.62, Val Loss: 4.47, Test Loss: 6.60
Epoch 32, Train Loss: 4.50, Val Loss: 4.79, Test Loss: 11.37
Epoch 33, Train Loss: 4.92, Val Loss: 4.48, Test Loss: 7.41
Epoch 34, Train Loss: 4.48, Val Loss: 4.29, Test Loss: 5.79
Epoch 35, Train Loss: 4.30, Val Loss: 4.62, Test Loss: 9.96
Epoch 36, Train Loss: 4.66, Val Loss: 4.32, Test Loss: 7.26
Epoch 37, Train Loss: 4.39, Val Loss: 4.21, Test Loss: 5.75
Epoch 38, Train Loss: 4.24, Val Loss: 4.31, Test Loss: 7.59
Epoch 39, Train Loss: 4.34, Val Loss: 4.23, Test Loss: 6.69
Epoch 40, Train Loss: 4.27, Val Loss: 4.46, Test Loss: 8.28
Epoch 41, Train Loss: 4.39, Val Loss: 4.30, Test Loss: 7.66
Epoch 42, Train Loss: 4.31, Val Loss: 4.45, Test Loss: 8.58
Epoch    44: reducing learning rate of group 0 to 3.7500e-04.
Epoch 43, Train Loss: 4.38, Val Loss: 4.40, Test Loss: 8.12
Epoch 44, Train Loss: 4.37, Val Loss: 4.05, Test Loss: 5.72
Epoch 45, Train Loss: 4.03, Val Loss: 4.34, Test Loss: 9.07
Epoch 46, Train Loss: 4.28, Val Loss: 3.95, Test Loss: 5.13
