Epoch 0, Train Loss: 9.85, Val Loss: 8.23, Test Loss: 9.05
Epoch 1, Train Loss: 7.77, Val Loss: 8.65, Test Loss: 15.21
Epoch 2, Train Loss: 8.13, Val Loss: 7.54, Test Loss: 8.95
Epoch 3, Train Loss: 7.25, Val Loss: 7.40, Test Loss: 15.02
Epoch 4, Train Loss: 7.56, Val Loss: 7.18, Test Loss: 10.75
Epoch 5, Train Loss: 7.08, Val Loss: 7.32, Test Loss: 12.17
Epoch 6, Train Loss: 7.20, Val Loss: 7.23, Test Loss: 12.33
Epoch 7, Train Loss: 6.95, Val Loss: 7.34, Test Loss: 14.53
Epoch 8, Train Loss: 7.06, Val Loss: 7.13, Test Loss: 21.76
Epoch 9, Train Loss: 7.58, Val Loss: 6.53, Test Loss: 7.76
Epoch 10, Train Loss: 6.30, Val Loss: 6.49, Test Loss: 11.64
Epoch 11, Train Loss: 6.45, Val Loss: 6.05, Test Loss: 6.97
Epoch 12, Train Loss: 5.98, Val Loss: 6.18, Test Loss: 10.47
Epoch 13, Train Loss: 6.19, Val Loss: 6.00, Test Loss: 8.70
Epoch 14, Train Loss: 5.97, Val Loss: 5.78, Test Loss: 7.84
Epoch 15, Train Loss: 5.78, Val Loss: 5.61, Test Loss: 6.67
Epoch 16, Train Loss: 5.57, Val Loss: 5.70, Test Loss: 8.24
Epoch 17, Train Loss: 5.60, Val Loss: 5.69, Test Loss: 10.81
Epoch 18, Train Loss: 5.77, Val Loss: 6.00, Test Loss: 15.02
Epoch 19, Train Loss: 6.04, Val Loss: 5.35, Test Loss: 6.14
Epoch 20, Train Loss: 5.28, Val Loss: 5.43, Test Loss: 8.76
Epoch 21, Train Loss: 5.45, Val Loss: 5.61, Test Loss: 10.70
Epoch 22, Train Loss: 5.54, Val Loss: 5.33, Test Loss: 7.31
Epoch 23, Train Loss: 5.21, Val Loss: 5.15, Test Loss: 7.62
Epoch 24, Train Loss: 5.16, Val Loss: 5.39, Test Loss: 10.68
Epoch 25, Train Loss: 5.35, Val Loss: 5.21, Test Loss: 9.27
Epoch 26, Train Loss: 5.16, Val Loss: 4.90, Test Loss: 7.42
Epoch 27, Train Loss: 4.87, Val Loss: 5.49, Test Loss: 12.53
Epoch 28, Train Loss: 5.31, Val Loss: 4.91, Test Loss: 8.32
Epoch 29, Train Loss: 4.82, Val Loss: 4.70, Test Loss: 8.50
Epoch 30, Train Loss: 4.71, Val Loss: 4.87, Test Loss: 9.95
Epoch 31, Train Loss: 4.84, Val Loss: 4.56, Test Loss: 6.99
Epoch 32, Train Loss: 4.50, Val Loss: 4.41, Test Loss: 6.31
Epoch 33, Train Loss: 4.39, Val Loss: 4.48, Test Loss: 8.84
Epoch 34, Train Loss: 4.60, Val Loss: 4.34, Test Loss: 7.04
Epoch 35, Train Loss: 4.36, Val Loss: 4.57, Test Loss: 8.48
Epoch 36, Train Loss: 4.47, Val Loss: 4.34, Test Loss: 7.68
Epoch 37, Train Loss: 4.34, Val Loss: 4.31, Test Loss: 8.33
Epoch 38, Train Loss: 4.35, Val Loss: 4.28, Test Loss: 8.53
Epoch 39, Train Loss: 4.33, Val Loss: 4.35, Test Loss: 8.31
Epoch 40, Train Loss: 4.33, Val Loss: 4.10, Test Loss: 6.58
Epoch 41, Train Loss: 4.10, Val Loss: 4.47, Test Loss: 11.70
Epoch 42, Train Loss: 4.53, Val Loss: 4.54, Test Loss: 12.02
Epoch 43, Train Loss: 4.44, Val Loss: 4.11, Test Loss: 7.10
Epoch 44, Train Loss: 4.07, Val Loss: 4.36, Test Loss: 8.79
Epoch 45, Train Loss: 4.26, Val Loss: 4.01, Test Loss: 6.83
Epoch 46, Train Loss: 3.97, Val Loss: 4.05, Test Loss: 7.11
Epoch 47, Train Loss: 3.99, Val Loss: 3.95, Test Loss: 6.25
Epoch 48, Train Loss: 3.89, Val Loss: 4.04, Test Loss: 7.55
Epoch 49, Train Loss: 3.99, Val Loss: 4.08, Test Loss: 8.18
Epoch 50, Train Loss: 4.05, Val Loss: 3.84, Test Loss: 5.30
Epoch 51, Train Loss: 3.76, Val Loss: 3.88, Test Loss: 6.46
Epoch 52, Train Loss: 3.84, Val Loss: 3.93, Test Loss: 8.09
Epoch 53, Train Loss: 3.92, Val Loss: 3.91, Test Loss: 7.01
Epoch 54, Train Loss: 3.86, Val Loss: 3.95, Test Loss: 7.20
Epoch 55, Train Loss: 3.83, Val Loss: 3.79, Test Loss: 5.52
