Epoch 0, Train Loss: 10.58, Val Loss: 8.28, Test Loss: 8.44
Epoch 1, Train Loss: 8.25, Val Loss: 8.10, Test Loss: 9.20
Epoch 2, Train Loss: 7.94, Val Loss: 7.60, Test Loss: 8.21
Epoch 3, Train Loss: 7.61, Val Loss: 7.66, Test Loss: 11.21
Epoch 4, Train Loss: 8.05, Val Loss: 7.43, Test Loss: 7.69
Epoch 5, Train Loss: 7.40, Val Loss: 7.26, Test Loss: 8.85
Epoch 6, Train Loss: 7.33, Val Loss: 6.98, Test Loss: 7.42
Epoch 7, Train Loss: 6.90, Val Loss: 6.84, Test Loss: 8.88
Epoch 8, Train Loss: 7.08, Val Loss: 6.84, Test Loss: 11.14
Epoch 9, Train Loss: 7.33, Val Loss: 6.73, Test Loss: 7.16
Epoch 10, Train Loss: 6.71, Val Loss: 6.59, Test Loss: 7.41
Epoch 11, Train Loss: 6.69, Val Loss: 6.46, Test Loss: 6.83
Epoch 12, Train Loss: 6.44, Val Loss: 6.31, Test Loss: 6.78
Epoch 13, Train Loss: 6.30, Val Loss: 6.21, Test Loss: 8.68
Epoch 14, Train Loss: 6.55, Val Loss: 6.11, Test Loss: 7.41
Epoch 15, Train Loss: 6.22, Val Loss: 5.96, Test Loss: 6.63
Epoch 16, Train Loss: 6.02, Val Loss: 6.05, Test Loss: 8.44
Epoch 17, Train Loss: 6.28, Val Loss: 5.88, Test Loss: 6.76
Epoch 18, Train Loss: 5.91, Val Loss: 5.87, Test Loss: 9.62
