Epoch 0, Train Loss: 32.28, Val Loss: 34.19, Test Loss: 110.70
Epoch 1, Train Loss: 39.31, Val Loss: 28.66, Test Loss: 37.60
Epoch 2, Train Loss: 29.50, Val Loss: 27.96, Test Loss: 38.74
Epoch 3, Train Loss: 29.18, Val Loss: 27.20, Test Loss: 28.12
Epoch 4, Train Loss: 26.91, Val Loss: 26.73, Test Loss: 30.00
Epoch 5, Train Loss: 27.06, Val Loss: 26.47, Test Loss: 29.12
Epoch 6, Train Loss: 26.71, Val Loss: 26.10, Test Loss: 27.13
Epoch 7, Train Loss: 25.94, Val Loss: 25.71, Test Loss: 29.79
Epoch 8, Train Loss: 25.82, Val Loss: 25.40, Test Loss: 36.61
Epoch 9, Train Loss: 27.07, Val Loss: 25.57, Test Loss: 26.81
Epoch 10, Train Loss: 25.37, Val Loss: 25.28, Test Loss: 36.29
Epoch 11, Train Loss: 26.21, Val Loss: 24.46, Test Loss: 27.70
Epoch 12, Train Loss: 24.61, Val Loss: 23.94, Test Loss: 24.98
Epoch 13, Train Loss: 23.85, Val Loss: 23.71, Test Loss: 26.61
Epoch 14, Train Loss: 24.06, Val Loss: 23.41, Test Loss: 25.52
Epoch 15, Train Loss: 23.45, Val Loss: 23.21, Test Loss: 27.03
Epoch 16, Train Loss: 23.40, Val Loss: 22.38, Test Loss: 24.21
Epoch 17, Train Loss: 22.38, Val Loss: 22.35, Test Loss: 28.25
Epoch 18, Train Loss: 23.45, Val Loss: 21.99, Test Loss: 31.56
Epoch 19, Train Loss: 23.32, Val Loss: 21.70, Test Loss: 24.66
Epoch 20, Train Loss: 21.79, Val Loss: 21.22, Test Loss: 23.43
Epoch 21, Train Loss: 21.33, Val Loss: 23.06, Test Loss: 85.64
Epoch 22, Train Loss: 28.40, Val Loss: 24.62, Test Loss: 26.65
Epoch 23, Train Loss: 24.55, Val Loss: 25.35, Test Loss: 49.78
Epoch 24, Train Loss: 27.58, Val Loss: 24.88, Test Loss: 25.12
Epoch 25, Train Loss: 24.55, Val Loss: 24.56, Test Loss: 26.59
Epoch    27: reducing learning rate of group 0 to 7.5000e-04.
Epoch 26, Train Loss: 24.53, Val Loss: 24.16, Test Loss: 25.59
Epoch 27, Train Loss: 24.24, Val Loss: 23.95, Test Loss: 24.46
Epoch 28, Train Loss: 23.84, Val Loss: 23.75, Test Loss: 24.19
Epoch 29, Train Loss: 23.63, Val Loss: 23.59, Test Loss: 24.29
Epoch 30, Train Loss: 23.52, Val Loss: 23.51, Test Loss: 25.08
Epoch 31, Train Loss: 23.46, Val Loss: 23.18, Test Loss: 23.83
Epoch    33: reducing learning rate of group 0 to 5.6250e-04.
Epoch 32, Train Loss: 23.01, Val Loss: 22.89, Test Loss: 24.32
Epoch 33, Train Loss: 22.79, Val Loss: 22.70, Test Loss: 26.06
Epoch 34, Train Loss: 22.79, Val Loss: 22.14, Test Loss: 22.35
Epoch 35, Train Loss: 21.79, Val Loss: 21.71, Test Loss: 22.24
Epoch 36, Train Loss: 21.45, Val Loss: 21.37, Test Loss: 22.36
Epoch 37, Train Loss: 21.18, Val Loss: 21.08, Test Loss: 22.20
Epoch 38, Train Loss: 20.90, Val Loss: 20.99, Test Loss: 27.45
Epoch 39, Train Loss: 21.48, Val Loss: 20.51, Test Loss: 21.24
Epoch 40, Train Loss: 20.33, Val Loss: 20.26, Test Loss: 22.16
Epoch 41, Train Loss: 20.25, Val Loss: 19.99, Test Loss: 21.75
Epoch 42, Train Loss: 19.95, Val Loss: 19.78, Test Loss: 22.81
Epoch 43, Train Loss: 19.97, Val Loss: 19.60, Test Loss: 21.53
Epoch 44, Train Loss: 19.60, Val Loss: 19.36, Test Loss: 20.23
Epoch 45, Train Loss: 19.23, Val Loss: 19.26, Test Loss: 21.22
Epoch 46, Train Loss: 19.30, Val Loss: 19.06, Test Loss: 19.93
Epoch 47, Train Loss: 18.94, Val Loss: 18.93, Test Loss: 20.09
Epoch 48, Train Loss: 18.85, Val Loss: 18.94, Test Loss: 21.57
Epoch 49, Train Loss: 18.95, Val Loss: 19.50, Test Loss: 41.18
Epoch 50, Train Loss: 23.18, Val Loss: 20.30, Test Loss: 20.92
Epoch 51, Train Loss: 19.63, Val Loss: 19.39, Test Loss: 20.83
Epoch 52, Train Loss: 19.22, Val Loss: 18.93, Test Loss: 20.00
Epoch 53, Train Loss: 18.78, Val Loss: 18.64, Test Loss: 19.53
Epoch 54, Train Loss: 18.51, Val Loss: 18.52, Test Loss: 20.78
Epoch 55, Train Loss: 18.62, Val Loss: 18.34, Test Loss: 19.47
Epoch 56, Train Loss: 18.27, Val Loss: 18.23, Test Loss: 20.85
Epoch 57, Train Loss: 18.35, Val Loss: 18.04, Test Loss: 18.81
Epoch 58, Train Loss: 17.90, Val Loss: 18.13, Test Loss: 23.18
Epoch 59, Train Loss: 18.39, Val Loss: 17.77, Test Loss: 18.92
Epoch 60, Train Loss: 17.62, Val Loss: 17.48, Test Loss: 18.60
Epoch 61, Train Loss: 17.33, Val Loss: 17.24, Test Loss: 20.11
Epoch 62, Train Loss: 17.31, Val Loss: 17.09, Test Loss: 22.21
Epoch 63, Train Loss: 17.54, Val Loss: 16.67, Test Loss: 17.97
Epoch 64, Train Loss: 16.50, Val Loss: 16.25, Test Loss: 16.99
Epoch 65, Train Loss: 16.05, Val Loss: 16.41, Test Loss: 24.71
Epoch 66, Train Loss: 16.93, Val Loss: 15.74, Test Loss: 16.56
Epoch 67, Train Loss: 15.52, Val Loss: 15.51, Test Loss: 17.61
Epoch 68, Train Loss: 15.53, Val Loss: 15.43, Test Loss: 19.66
Epoch 69, Train Loss: 15.67, Val Loss: 15.12, Test Loss: 17.40
Epoch 70, Train Loss: 15.10, Val Loss: 15.07, Test Loss: 21.71
Epoch 71, Train Loss: 15.84, Val Loss: 14.73, Test Loss: 15.36
Epoch 72, Train Loss: 14.58, Val Loss: 14.64, Test Loss: 18.00
Epoch 73, Train Loss: 15.00, Val Loss: 14.44, Test Loss: 15.48
Epoch 74, Train Loss: 14.40, Val Loss: 14.39, Test Loss: 16.23
Epoch 75, Train Loss: 14.45, Val Loss: 14.22, Test Loss: 15.27
Epoch 76, Train Loss: 14.18, Val Loss: 14.22, Test Loss: 16.94
Epoch 77, Train Loss: 14.39, Val Loss: 14.07, Test Loss: 16.15
Epoch 78, Train Loss: 14.17, Val Loss: 14.11, Test Loss: 17.40
Epoch 79, Train Loss: 14.33, Val Loss: 13.89, Test Loss: 15.58
Epoch 80, Train Loss: 13.93, Val Loss: 14.00, Test Loss: 20.17
Epoch 81, Train Loss: 14.47, Val Loss: 13.78, Test Loss: 15.83
Epoch 82, Train Loss: 13.83, Val Loss: 13.71, Test Loss: 18.05
Epoch 83, Train Loss: 14.21, Val Loss: 13.66, Test Loss: 17.24
Epoch 84, Train Loss: 14.01, Val Loss: 13.50, Test Loss: 15.03
Epoch 85, Train Loss: 13.53, Val Loss: 13.50, Test Loss: 15.63
Epoch 86, Train Loss: 13.54, Val Loss: 13.41, Test Loss: 16.86
Epoch 87, Train Loss: 13.77, Val Loss: 13.42, Test Loss: 15.45
Epoch 88, Train Loss: 13.38, Val Loss: 13.49, Test Loss: 20.86
Epoch 89, Train Loss: 14.03, Val Loss: 13.22, Test Loss: 14.90
Epoch 90, Train Loss: 13.20, Val Loss: 13.20, Test Loss: 16.38
Epoch 91, Train Loss: 13.40, Val Loss: 13.09, Test Loss: 14.85
Epoch 92, Train Loss: 13.07, Val Loss: 13.33, Test Loss: 23.33
Epoch 93, Train Loss: 14.62, Val Loss: 13.08, Test Loss: 14.94
Epoch 94, Train Loss: 13.06, Val Loss: 12.90, Test Loss: 13.67
Epoch 95, Train Loss: 12.79, Val Loss: 12.86, Test Loss: 14.52
Epoch 96, Train Loss: 12.88, Val Loss: 12.93, Test Loss: 17.72
Epoch 97, Train Loss: 13.37, Val Loss: 12.86, Test Loss: 15.54
Epoch 98, Train Loss: 13.01, Val Loss: 12.99, Test Loss: 18.68
Epoch 99, Train Loss: 13.37, Val Loss: 12.79, Test Loss: 14.63
Epoch 100, Train Loss: 12.78, Val Loss: 12.70, Test Loss: 15.15
Epoch 101, Train Loss: 12.84, Val Loss: 12.72, Test Loss: 15.18
Epoch 102, Train Loss: 12.83, Val Loss: 12.65, Test Loss: 14.77
Epoch 103, Train Loss: 12.67, Val Loss: 12.63, Test Loss: 14.86
Epoch 104, Train Loss: 12.68, Val Loss: 12.74, Test Loss: 18.65
Epoch 105, Train Loss: 13.22, Val Loss: 12.49, Test Loss: 13.18
Epoch 106, Train Loss: 12.34, Val Loss: 12.46, Test Loss: 13.19
Epoch 107, Train Loss: 12.33, Val Loss: 12.57, Test Loss: 16.82
Epoch 108, Train Loss: 12.96, Val Loss: 12.54, Test Loss: 16.42
Epoch 109, Train Loss: 12.83, Val Loss: 12.47, Test Loss: 15.03
Epoch 110, Train Loss: 12.55, Val Loss: 12.34, Test Loss: 13.29
Epoch 111, Train Loss: 12.25, Val Loss: 12.54, Test Loss: 19.15
Epoch 112, Train Loss: 13.18, Val Loss: 12.38, Test Loss: 13.60
Epoch 113, Train Loss: 12.26, Val Loss: 12.30, Test Loss: 13.43
Epoch 114, Train Loss: 12.18, Val Loss: 12.24, Test Loss: 13.04
Epoch 115, Train Loss: 12.10, Val Loss: 12.27, Test Loss: 13.66
Epoch 116, Train Loss: 12.17, Val Loss: 12.40, Test Loss: 15.92
Epoch 117, Train Loss: 12.51, Val Loss: 12.34, Test Loss: 17.13
Epoch 118, Train Loss: 12.73, Val Loss: 12.26, Test Loss: 14.31
Epoch 119, Train Loss: 12.29, Val Loss: 12.22, Test Loss: 14.83
Epoch 120, Train Loss: 12.29, Val Loss: 12.14, Test Loss: 13.25
Epoch 121, Train Loss: 11.98, Val Loss: 12.24, Test Loss: 15.64
