Epoch 0, Train Loss: 31.34, Val Loss: 73.46, Test Loss: 320.34
Epoch 1, Train Loss: 38.39, Val Loss: 32.66, Test Loss: 63.97
Epoch 2, Train Loss: 29.17, Val Loss: 31.36, Test Loss: 56.63
Epoch 3, Train Loss: 28.56, Val Loss: 44.57, Test Loss: 138.90
Epoch 4, Train Loss: 30.70, Val Loss: 29.76, Test Loss: 48.10
Epoch 5, Train Loss: 27.85, Val Loss: 46.68, Test Loss: 167.97
Epoch 6, Train Loss: 30.29, Val Loss: 38.36, Test Loss: 94.72
Epoch 7, Train Loss: 29.48, Val Loss: 30.29, Test Loss: 53.99
Epoch 8, Train Loss: 27.98, Val Loss: 28.57, Test Loss: 40.94
Epoch 9, Train Loss: 27.02, Val Loss: 41.53, Test Loss: 135.85
Epoch 10, Train Loss: 29.25, Val Loss: 27.55, Test Loss: 38.05
Epoch 11, Train Loss: 26.44, Val Loss: 32.73, Test Loss: 67.71
Epoch 12, Train Loss: 26.78, Val Loss: 33.95, Test Loss: 80.29
Epoch 13, Train Loss: 27.01, Val Loss: 27.38, Test Loss: 45.67
Epoch 14, Train Loss: 25.75, Val Loss: 34.38, Test Loss: 99.44
Epoch 15, Train Loss: 26.87, Val Loss: 34.24, Test Loss: 95.19
Epoch 16, Train Loss: 26.48, Val Loss: 25.72, Test Loss: 40.15
Epoch 17, Train Loss: 24.87, Val Loss: 26.24, Test Loss: 47.50
Epoch 18, Train Loss: 24.55, Val Loss: 29.33, Test Loss: 58.23
Epoch 19, Train Loss: 25.12, Val Loss: 26.91, Test Loss: 52.24
Epoch 20, Train Loss: 24.43, Val Loss: 28.32, Test Loss: 70.32
Epoch 21, Train Loss: 24.72, Val Loss: 26.80, Test Loss: 51.78
Epoch    23: reducing learning rate of group 0 to 7.5000e-05.
Epoch 22, Train Loss: 24.37, Val Loss: 34.21, Test Loss: 101.31
Epoch 23, Train Loss: 26.67, Val Loss: 23.67, Test Loss: 31.05
Epoch 24, Train Loss: 22.92, Val Loss: 30.48, Test Loss: 66.32
Epoch 25, Train Loss: 24.31, Val Loss: 30.17, Test Loss: 105.24
Epoch 26, Train Loss: 24.59, Val Loss: 23.21, Test Loss: 33.30
Epoch 27, Train Loss: 22.42, Val Loss: 23.42, Test Loss: 32.67
Epoch 28, Train Loss: 22.52, Val Loss: 25.79, Test Loss: 70.03
Epoch 29, Train Loss: 23.10, Val Loss: 23.06, Test Loss: 37.16
Epoch 30, Train Loss: 22.21, Val Loss: 22.60, Test Loss: 33.69
Epoch 31, Train Loss: 21.87, Val Loss: 24.20, Test Loss: 50.00
Epoch 32, Train Loss: 22.36, Val Loss: 33.50, Test Loss: 105.24
Epoch 33, Train Loss: 24.60, Val Loss: 22.28, Test Loss: 28.93
Epoch 34, Train Loss: 21.57, Val Loss: 23.17, Test Loss: 46.52
Epoch 35, Train Loss: 21.75, Val Loss: 24.67, Test Loss: 52.87
Epoch 36, Train Loss: 22.01, Val Loss: 27.07, Test Loss: 82.63
Epoch 37, Train Loss: 22.12, Val Loss: 23.92, Test Loss: 45.83
Epoch 38, Train Loss: 21.15, Val Loss: 24.09, Test Loss: 54.36
Epoch    40: reducing learning rate of group 0 to 5.6250e-05.
Epoch 39, Train Loss: 21.47, Val Loss: 30.07, Test Loss: 91.55
Epoch 40, Train Loss: 22.89, Val Loss: 22.25, Test Loss: 33.36
Epoch 41, Train Loss: 20.74, Val Loss: 22.61, Test Loss: 42.63
Epoch 42, Train Loss: 20.64, Val Loss: 25.62, Test Loss: 64.65
Epoch 43, Train Loss: 21.14, Val Loss: 21.43, Test Loss: 32.73
Epoch 44, Train Loss: 20.46, Val Loss: 21.61, Test Loss: 37.32
Epoch 45, Train Loss: 20.35, Val Loss: 21.07, Test Loss: 30.21
Epoch 46, Train Loss: 20.20, Val Loss: 24.49, Test Loss: 54.61
Epoch 47, Train Loss: 20.94, Val Loss: 24.08, Test Loss: 54.11
Epoch 48, Train Loss: 20.74, Val Loss: 20.37, Test Loss: 26.35
Epoch 49, Train Loss: 19.80, Val Loss: 29.18, Test Loss: 93.27
Epoch 50, Train Loss: 21.70, Val Loss: 20.63, Test Loss: 30.60
Epoch 51, Train Loss: 19.57, Val Loss: 21.40, Test Loss: 38.22
Epoch 52, Train Loss: 19.99, Val Loss: 20.76, Test Loss: 32.64
Epoch 53, Train Loss: 19.68, Val Loss: 21.61, Test Loss: 43.10
Epoch    55: reducing learning rate of group 0 to 4.2188e-05.
Epoch 54, Train Loss: 19.84, Val Loss: 23.76, Test Loss: 67.78
Epoch 55, Train Loss: 20.61, Val Loss: 19.91, Test Loss: 26.55
Epoch 56, Train Loss: 19.18, Val Loss: 19.72, Test Loss: 25.58
Epoch 57, Train Loss: 19.15, Val Loss: 19.62, Test Loss: 25.20
Epoch 58, Train Loss: 19.02, Val Loss: 21.83, Test Loss: 41.71
Epoch 59, Train Loss: 19.49, Val Loss: 21.32, Test Loss: 30.89
Epoch 60, Train Loss: 19.98, Val Loss: 22.92, Test Loss: 44.73
Epoch 61, Train Loss: 20.56, Val Loss: 19.71, Test Loss: 26.67
Epoch 62, Train Loss: 18.94, Val Loss: 19.59, Test Loss: 25.07
Epoch 63, Train Loss: 19.14, Val Loss: 20.17, Test Loss: 28.47
Epoch 64, Train Loss: 19.05, Val Loss: 32.04, Test Loss: 114.61
Epoch 65, Train Loss: 20.90, Val Loss: 19.11, Test Loss: 23.28
Epoch 66, Train Loss: 18.65, Val Loss: 20.12, Test Loss: 34.32
Epoch 67, Train Loss: 18.95, Val Loss: 19.30, Test Loss: 26.27
Epoch 68, Train Loss: 18.64, Val Loss: 20.26, Test Loss: 33.66
Epoch 69, Train Loss: 18.95, Val Loss: 19.33, Test Loss: 25.48
Epoch 70, Train Loss: 18.67, Val Loss: 20.07, Test Loss: 37.65
Epoch    72: reducing learning rate of group 0 to 3.1641e-05.
Epoch 71, Train Loss: 18.83, Val Loss: 21.94, Test Loss: 55.18
