Epoch 0, Train Loss: 32.80, Val Loss: 57.20, Test Loss: 415.54
Epoch 1, Train Loss: 78.26, Val Loss: 34.08, Test Loss: 41.80
Epoch 2, Train Loss: 34.60, Val Loss: 32.35, Test Loss: 33.04
Epoch 3, Train Loss: 30.02, Val Loss: 28.98, Test Loss: 44.01
Epoch 4, Train Loss: 30.70, Val Loss: 28.01, Test Loss: 28.89
Epoch 5, Train Loss: 27.75, Val Loss: 27.47, Test Loss: 28.73
Epoch 6, Train Loss: 27.41, Val Loss: 27.08, Test Loss: 30.24
Epoch 7, Train Loss: 27.30, Val Loss: 26.74, Test Loss: 29.43
Epoch 8, Train Loss: 26.88, Val Loss: 26.37, Test Loss: 30.15
Epoch 9, Train Loss: 26.86, Val Loss: 26.16, Test Loss: 29.77
Epoch 10, Train Loss: 26.56, Val Loss: 25.85, Test Loss: 27.03
Epoch 11, Train Loss: 25.89, Val Loss: 25.88, Test Loss: 30.57
Epoch 12, Train Loss: 26.35, Val Loss: 25.56, Test Loss: 28.22
Epoch 13, Train Loss: 25.69, Val Loss: 25.38, Test Loss: 29.24
Epoch 14, Train Loss: 25.65, Val Loss: 25.36, Test Loss: 33.99
Epoch 15, Train Loss: 26.81, Val Loss: 25.84, Test Loss: 27.68
Epoch 16, Train Loss: 25.37, Val Loss: 25.76, Test Loss: 41.43
Epoch 17, Train Loss: 26.57, Val Loss: 24.98, Test Loss: 27.14
Epoch 18, Train Loss: 25.07, Val Loss: 24.63, Test Loss: 25.89
Epoch 19, Train Loss: 24.66, Val Loss: 24.40, Test Loss: 25.64
Epoch 20, Train Loss: 24.44, Val Loss: 24.20, Test Loss: 27.62
Epoch 21, Train Loss: 24.73, Val Loss: 24.10, Test Loss: 25.83
Epoch 22, Train Loss: 24.13, Val Loss: 23.73, Test Loss: 27.76
Epoch 23, Train Loss: 24.56, Val Loss: 23.83, Test Loss: 28.77
Epoch 24, Train Loss: 24.52, Val Loss: 23.60, Test Loss: 25.08
Epoch 25, Train Loss: 23.62, Val Loss: 23.49, Test Loss: 28.96
Epoch 26, Train Loss: 24.24, Val Loss: 23.35, Test Loss: 25.44
Epoch 27, Train Loss: 23.47, Val Loss: 23.18, Test Loss: 25.21
Epoch 28, Train Loss: 23.28, Val Loss: 22.99, Test Loss: 26.91
Epoch 29, Train Loss: 23.69, Val Loss: 23.14, Test Loss: 26.26
