Epoch 0, Train Loss: 32.44, Val Loss: 46.95, Test Loss: 240.53
Epoch 1, Train Loss: 52.63, Val Loss: 77.43, Test Loss: 551.91
Epoch 2, Train Loss: 84.82, Val Loss: 33.03, Test Loss: 49.33
Epoch 3, Train Loss: 34.34, Val Loss: 30.70, Test Loss: 32.02
Epoch 4, Train Loss: 29.73, Val Loss: 29.44, Test Loss: 43.53
Epoch 5, Train Loss: 31.28, Val Loss: 29.19, Test Loss: 36.01
Epoch 6, Train Loss: 29.52, Val Loss: 27.97, Test Loss: 29.34
Epoch 7, Train Loss: 27.74, Val Loss: 27.20, Test Loss: 30.16
Epoch 8, Train Loss: 27.43, Val Loss: 26.79, Test Loss: 30.81
Epoch 9, Train Loss: 27.31, Val Loss: 26.38, Test Loss: 27.52
Epoch 10, Train Loss: 26.39, Val Loss: 26.56, Test Loss: 37.85
Epoch 11, Train Loss: 27.94, Val Loss: 26.10, Test Loss: 27.29
Epoch 12, Train Loss: 26.06, Val Loss: 25.71, Test Loss: 26.87
Epoch 13, Train Loss: 25.76, Val Loss: 25.94, Test Loss: 37.12
Epoch 14, Train Loss: 27.40, Val Loss: 25.54, Test Loss: 28.26
Epoch 15, Train Loss: 25.66, Val Loss: 25.03, Test Loss: 28.88
Epoch 16, Train Loss: 25.43, Val Loss: 24.77, Test Loss: 32.51
Epoch 17, Train Loss: 26.65, Val Loss: 25.40, Test Loss: 27.72
Epoch 18, Train Loss: 25.23, Val Loss: 24.60, Test Loss: 28.05
Epoch 19, Train Loss: 24.90, Val Loss: 24.21, Test Loss: 26.37
Epoch 20, Train Loss: 24.34, Val Loss: 23.91, Test Loss: 26.21
Epoch 21, Train Loss: 24.16, Val Loss: 23.92, Test Loss: 31.11
Epoch 22, Train Loss: 24.91, Val Loss: 24.18, Test Loss: 31.60
Epoch 23, Train Loss: 25.86, Val Loss: 24.59, Test Loss: 25.44
Epoch 24, Train Loss: 24.42, Val Loss: 24.28, Test Loss: 29.28
Epoch 25, Train Loss: 24.76, Val Loss: 23.90, Test Loss: 27.36
Epoch 26, Train Loss: 24.18, Val Loss: 23.74, Test Loss: 29.05
Epoch 27, Train Loss: 24.35, Val Loss: 23.44, Test Loss: 24.97
Epoch 28, Train Loss: 23.54, Val Loss: 23.32, Test Loss: 24.73
