Epoch 0, Train Loss: 32.63, Val Loss: 73.10, Test Loss: 641.89
Epoch 1, Train Loss: 108.04, Val Loss: 31.84, Test Loss: 34.92
Epoch 2, Train Loss: 30.75, Val Loss: 32.19, Test Loss: 51.02
Epoch 3, Train Loss: 31.99, Val Loss: 28.37, Test Loss: 32.00
Epoch 4, Train Loss: 28.46, Val Loss: 27.68, Test Loss: 32.18
Epoch 5, Train Loss: 28.02, Val Loss: 27.04, Test Loss: 28.31
Epoch 6, Train Loss: 26.88, Val Loss: 26.56, Test Loss: 29.23
Epoch 7, Train Loss: 26.66, Val Loss: 26.27, Test Loss: 30.76
Epoch 8, Train Loss: 26.60, Val Loss: 26.22, Test Loss: 34.61
Epoch 9, Train Loss: 27.16, Val Loss: 25.69, Test Loss: 28.96
Epoch 10, Train Loss: 25.85, Val Loss: 25.39, Test Loss: 29.09
Epoch 11, Train Loss: 25.70, Val Loss: 25.00, Test Loss: 26.55
Epoch 12, Train Loss: 24.91, Val Loss: 24.86, Test Loss: 33.60
Epoch 13, Train Loss: 26.41, Val Loss: 25.08, Test Loss: 26.98
Epoch 14, Train Loss: 24.91, Val Loss: 24.57, Test Loss: 28.64
Epoch 15, Train Loss: 24.92, Val Loss: 24.70, Test Loss: 41.10
Epoch 16, Train Loss: 26.65, Val Loss: 24.76, Test Loss: 27.09
Epoch 17, Train Loss: 24.56, Val Loss: 24.02, Test Loss: 25.92
Epoch 18, Train Loss: 24.03, Val Loss: 23.75, Test Loss: 24.87
Epoch 19, Train Loss: 23.61, Val Loss: 23.54, Test Loss: 26.39
Epoch 20, Train Loss: 23.84, Val Loss: 24.41, Test Loss: 48.39
Epoch 21, Train Loss: 28.14, Val Loss: 25.73, Test Loss: 28.04
Epoch 22, Train Loss: 24.94, Val Loss: 23.98, Test Loss: 25.47
Epoch 23, Train Loss: 23.72, Val Loss: 23.86, Test Loss: 32.02
Epoch 24, Train Loss: 25.07, Val Loss: 23.67, Test Loss: 27.25
Epoch 25, Train Loss: 23.99, Val Loss: 23.38, Test Loss: 24.08
Epoch 26, Train Loss: 23.18, Val Loss: 23.55, Test Loss: 31.43
Epoch 27, Train Loss: 24.74, Val Loss: 23.29, Test Loss: 24.81
Epoch 28, Train Loss: 23.16, Val Loss: 23.08, Test Loss: 24.23
Epoch 29, Train Loss: 23.01, Val Loss: 23.53, Test Loss: 39.80
Epoch 30, Train Loss: 26.01, Val Loss: 24.46, Test Loss: 25.97
Epoch 31, Train Loss: 24.20, Val Loss: 23.93, Test Loss: 25.15
Epoch 32, Train Loss: 23.70, Val Loss: 23.94, Test Loss: 34.59
Epoch 33, Train Loss: 25.38, Val Loss: 23.74, Test Loss: 23.77
Epoch    35: reducing learning rate of group 0 to 7.5000e-04.
Epoch 34, Train Loss: 23.08, Val Loss: 23.20, Test Loss: 25.32
Epoch 35, Train Loss: 23.17, Val Loss: 22.99, Test Loss: 23.53
Epoch 36, Train Loss: 22.77, Val Loss: 23.10, Test Loss: 27.47
Epoch 37, Train Loss: 23.33, Val Loss: 22.87, Test Loss: 23.53
Epoch 38, Train Loss: 22.58, Val Loss: 22.89, Test Loss: 26.87
Epoch 39, Train Loss: 23.19, Val Loss: 22.71, Test Loss: 23.34
Epoch 40, Train Loss: 22.42, Val Loss: 22.99, Test Loss: 32.82
Epoch 41, Train Loss: 24.26, Val Loss: 22.74, Test Loss: 24.03
Epoch 42, Train Loss: 22.44, Val Loss: 22.47, Test Loss: 25.59
Epoch 43, Train Loss: 22.69, Val Loss: 22.34, Test Loss: 23.69
Epoch 44, Train Loss: 22.19, Val Loss: 22.18, Test Loss: 23.68
Epoch 45, Train Loss: 22.02, Val Loss: 22.03, Test Loss: 23.38
