Epoch 0, Train Loss: 32.83, Val Loss: 53.59, Test Loss: 393.09
Epoch 1, Train Loss: 69.14, Val Loss: 37.26, Test Loss: 145.94
Epoch 2, Train Loss: 43.34, Val Loss: 29.27, Test Loss: 41.78
Epoch 3, Train Loss: 30.88, Val Loss: 28.61, Test Loss: 29.12
Epoch 4, Train Loss: 28.02, Val Loss: 28.12, Test Loss: 41.69
Epoch 5, Train Loss: 29.32, Val Loss: 26.96, Test Loss: 27.75
Epoch 6, Train Loss: 26.81, Val Loss: 26.47, Test Loss: 27.29
Epoch 7, Train Loss: 26.37, Val Loss: 26.22, Test Loss: 29.65
Epoch 8, Train Loss: 26.47, Val Loss: 25.96, Test Loss: 32.85
Epoch 9, Train Loss: 26.73, Val Loss: 25.42, Test Loss: 27.56
Epoch 10, Train Loss: 25.42, Val Loss: 24.93, Test Loss: 28.12
