Epoch 0, Train Loss: 32.47, Val Loss: 71.35, Test Loss: 416.83
Epoch 1, Train Loss: 75.14, Val Loss: 36.86, Test Loss: 63.62
Epoch 2, Train Loss: 34.64, Val Loss: 30.19, Test Loss: 43.82
Epoch 3, Train Loss: 31.03, Val Loss: 28.51, Test Loss: 29.76
Epoch 4, Train Loss: 28.20, Val Loss: 27.52, Test Loss: 30.79
Epoch 5, Train Loss: 27.70, Val Loss: 26.99, Test Loss: 31.84
Epoch 6, Train Loss: 27.58, Val Loss: 26.66, Test Loss: 28.41
Epoch 7, Train Loss: 26.69, Val Loss: 26.43, Test Loss: 30.08
Epoch 8, Train Loss: 26.82, Val Loss: 26.25, Test Loss: 31.12
Epoch 9, Train Loss: 26.77, Val Loss: 25.84, Test Loss: 27.43
Epoch 10, Train Loss: 25.81, Val Loss: 26.13, Test Loss: 39.24
Epoch 11, Train Loss: 27.69, Val Loss: 25.64, Test Loss: 27.88
Epoch 12, Train Loss: 25.45, Val Loss: 25.22, Test Loss: 37.33
Epoch 13, Train Loss: 26.98, Val Loss: 25.62, Test Loss: 26.63
Epoch 14, Train Loss: 25.46, Val Loss: 25.24, Test Loss: 29.20
Epoch 15, Train Loss: 25.67, Val Loss: 25.15, Test Loss: 30.52
Epoch 16, Train Loss: 25.70, Val Loss: 24.79, Test Loss: 26.08
Epoch 17, Train Loss: 24.73, Val Loss: 24.54, Test Loss: 26.85
Epoch 18, Train Loss: 24.67, Val Loss: 24.37, Test Loss: 28.98
Epoch 19, Train Loss: 25.01, Val Loss: 24.15, Test Loss: 26.47
Epoch 20, Train Loss: 24.25, Val Loss: 24.03, Test Loss: 33.09
Epoch 21, Train Loss: 25.43, Val Loss: 23.81, Test Loss: 25.59
Epoch 22, Train Loss: 23.81, Val Loss: 23.51, Test Loss: 28.91
Epoch 23, Train Loss: 24.42, Val Loss: 23.18, Test Loss: 26.58
Epoch 24, Train Loss: 23.54, Val Loss: 22.98, Test Loss: 26.90
Epoch 25, Train Loss: 23.29, Val Loss: 22.45, Test Loss: 25.32
Epoch 26, Train Loss: 22.77, Val Loss: 22.31, Test Loss: 30.26
Epoch 27, Train Loss: 24.07, Val Loss: 22.76, Test Loss: 56.57
Epoch 28, Train Loss: 26.97, Val Loss: 24.52, Test Loss: 27.77
Epoch 29, Train Loss: 24.63, Val Loss: 24.20, Test Loss: 27.52
Epoch 30, Train Loss: 24.55, Val Loss: 24.03, Test Loss: 26.20
Epoch 31, Train Loss: 24.22, Val Loss: 24.03, Test Loss: 27.01
Epoch    33: reducing learning rate of group 0 to 7.5000e-04.
Epoch 32, Train Loss: 24.30, Val Loss: 23.78, Test Loss: 25.02
Epoch 33, Train Loss: 23.82, Val Loss: 23.75, Test Loss: 26.72
Epoch 34, Train Loss: 24.04, Val Loss: 23.56, Test Loss: 24.27
Epoch 35, Train Loss: 23.51, Val Loss: 23.45, Test Loss: 25.44
Epoch 36, Train Loss: 23.51, Val Loss: 23.13, Test Loss: 23.88
Epoch 37, Train Loss: 22.99, Val Loss: 22.92, Test Loss: 26.45
Epoch    39: reducing learning rate of group 0 to 5.6250e-04.
Epoch 38, Train Loss: 23.14, Val Loss: 22.31, Test Loss: 23.28
Epoch 39, Train Loss: 22.21, Val Loss: 21.91, Test Loss: 22.90
Epoch 40, Train Loss: 21.84, Val Loss: 21.63, Test Loss: 22.72
Epoch 41, Train Loss: 21.57, Val Loss: 21.42, Test Loss: 25.03
Epoch 42, Train Loss: 21.94, Val Loss: 21.27, Test Loss: 22.63
Epoch 43, Train Loss: 21.23, Val Loss: 21.08, Test Loss: 22.31
Epoch 44, Train Loss: 21.09, Val Loss: 20.91, Test Loss: 21.77
Epoch 45, Train Loss: 20.91, Val Loss: 20.89, Test Loss: 23.35
Epoch 46, Train Loss: 21.15, Val Loss: 21.14, Test Loss: 32.35
Epoch 47, Train Loss: 24.46, Val Loss: 22.84, Test Loss: 24.23
Epoch 48, Train Loss: 21.54, Val Loss: 20.83, Test Loss: 22.47
Epoch 49, Train Loss: 20.82, Val Loss: 20.55, Test Loss: 21.42
Epoch 50, Train Loss: 20.49, Val Loss: 20.49, Test Loss: 23.56
Epoch 51, Train Loss: 20.81, Val Loss: 20.36, Test Loss: 23.10
Epoch 52, Train Loss: 20.56, Val Loss: 20.32, Test Loss: 22.89
Epoch 53, Train Loss: 20.37, Val Loss: 20.11, Test Loss: 24.44
Epoch 54, Train Loss: 20.68, Val Loss: 20.01, Test Loss: 22.37
Epoch 55, Train Loss: 20.06, Val Loss: 19.75, Test Loss: 22.63
Epoch 56, Train Loss: 20.04, Val Loss: 19.65, Test Loss: 23.77
Epoch 57, Train Loss: 20.07, Val Loss: 19.97, Test Loss: 35.47
Epoch 58, Train Loss: 23.25, Val Loss: 21.12, Test Loss: 22.41
Epoch 59, Train Loss: 20.48, Val Loss: 19.83, Test Loss: 21.69
Epoch 60, Train Loss: 19.55, Val Loss: 19.11, Test Loss: 20.02
Epoch 61, Train Loss: 18.94, Val Loss: 18.88, Test Loss: 20.00
Epoch 62, Train Loss: 18.78, Val Loss: 19.21, Test Loss: 30.11
Epoch 63, Train Loss: 21.64, Val Loss: 20.48, Test Loss: 22.87
Epoch 64, Train Loss: 20.15, Val Loss: 19.44, Test Loss: 22.82
Epoch 65, Train Loss: 19.20, Val Loss: 18.62, Test Loss: 20.99
Epoch 66, Train Loss: 18.63, Val Loss: 18.31, Test Loss: 19.34
Epoch 67, Train Loss: 18.23, Val Loss: 18.13, Test Loss: 19.13
Epoch 68, Train Loss: 18.11, Val Loss: 18.25, Test Loss: 22.05
Epoch 69, Train Loss: 18.49, Val Loss: 18.03, Test Loss: 22.70
Epoch 70, Train Loss: 18.85, Val Loss: 18.04, Test Loss: 20.70
Epoch 71, Train Loss: 18.08, Val Loss: 18.07, Test Loss: 26.60
Epoch 72, Train Loss: 19.29, Val Loss: 17.82, Test Loss: 19.29
Epoch 73, Train Loss: 17.73, Val Loss: 17.66, Test Loss: 19.35
Epoch 74, Train Loss: 17.64, Val Loss: 18.17, Test Loss: 31.97
Epoch 75, Train Loss: 21.28, Val Loss: 19.82, Test Loss: 28.02
Epoch 76, Train Loss: 20.93, Val Loss: 18.71, Test Loss: 21.58
Epoch 77, Train Loss: 18.09, Val Loss: 17.47, Test Loss: 19.86
Epoch 78, Train Loss: 17.55, Val Loss: 17.16, Test Loss: 17.72
Epoch 79, Train Loss: 17.02, Val Loss: 17.02, Test Loss: 17.87
