Epoch 0, Train Loss: 33.32, Val Loss: 76.95, Test Loss: 955.78
Epoch 1, Train Loss: 113.71, Val Loss: 45.66, Test Loss: 193.18
Epoch 2, Train Loss: 38.93, Val Loss: 42.13, Test Loss: 161.08
Epoch 3, Train Loss: 37.90, Val Loss: 56.08, Test Loss: 477.92
Epoch 4, Train Loss: 60.95, Val Loss: 39.06, Test Loss: 176.83
Epoch 5, Train Loss: 39.16, Val Loss: 33.23, Test Loss: 88.30
Epoch 6, Train Loss: 35.07, Val Loss: 31.81, Test Loss: 87.32
Epoch 7, Train Loss: 35.47, Val Loss: 36.53, Test Loss: 60.83
Epoch 8, Train Loss: 32.07, Val Loss: 32.33, Test Loss: 60.42
Epoch 9, Train Loss: 33.30, Val Loss: 33.46, Test Loss: 79.23
Epoch 10, Train Loss: 32.67, Val Loss: 39.56, Test Loss: 175.40
Epoch 11, Train Loss: 37.03, Val Loss: 37.35, Test Loss: 129.27
Epoch 12, Train Loss: 35.71, Val Loss: 28.93, Test Loss: 31.99
Epoch 13, Train Loss: 28.08, Val Loss: 27.22, Test Loss: 32.13
Epoch 14, Train Loss: 27.90, Val Loss: 26.71, Test Loss: 28.32
Epoch 15, Train Loss: 26.84, Val Loss: 27.11, Test Loss: 37.39
Epoch 16, Train Loss: 28.27, Val Loss: 26.75, Test Loss: 32.71
Epoch 17, Train Loss: 27.64, Val Loss: 26.94, Test Loss: 36.19
Epoch 18, Train Loss: 28.24, Val Loss: 26.47, Test Loss: 29.59
Epoch 19, Train Loss: 26.79, Val Loss: 26.04, Test Loss: 27.98
Epoch 20, Train Loss: 26.34, Val Loss: 25.98, Test Loss: 30.10
Epoch 21, Train Loss: 26.61, Val Loss: 25.97, Test Loss: 29.29
Epoch 22, Train Loss: 26.36, Val Loss: 25.82, Test Loss: 29.46
Epoch 23, Train Loss: 26.27, Val Loss: 25.66, Test Loss: 28.25
Epoch 24, Train Loss: 26.03, Val Loss: 25.70, Test Loss: 30.24
Epoch 25, Train Loss: 26.33, Val Loss: 25.68, Test Loss: 33.73
Epoch 26, Train Loss: 26.92, Val Loss: 25.59, Test Loss: 27.89
Epoch 27, Train Loss: 25.76, Val Loss: 25.34, Test Loss: 28.11
Epoch 28, Train Loss: 25.82, Val Loss: 25.17, Test Loss: 26.80
